System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-05,09:30:51.600,1.12,3.43,0.33,1.12,0.19,5.43,0.97,0.86,0.0000,0.0001, 11880,0.03,0.02,98,40,58284.47,17011.52,2599.21,6.85,171.31,2.24,56.06,0.12,1.25,0.10,1.22,0.15,6.42,0.98,0.91,0.0000,0.0010, 20720,0.01,0.01,93,34,6161.47,4940.37,2599.21,2.49,62.36,0.24,5.93,29.34,52.68,0.00,17.98,0.00,100.00,0.00,0.00,0.00,0.00,7.76,20.04,0.06,72.14,0.00,100.00,0.00,0.00,0.00,0.00,82.01,52.87,4.04 ,4.27 ,2178.78 ,273.65 ,3.00,3.00,3.17,3.93,0.81,1.12,0.00,0.61,0.99,0.11,0.0000,0.0001,  2880,72.22,27.78,0.00,0.00,0.00,41,8227.21,2093.60,2599.21,7.86,196.48,6.33,158.26,
2024-03-05,09:30:52.601,0.27,3.35,0.08,1.12,0.13,3.95,0.97,0.48,0.0000,0.0003, 17280,0.23,0.12,99,41,14069.99,4199.70,2598.41,6.70,167.51,0.54,13.54,0.05,1.53,0.04,1.18,0.07,1.80,0.96,0.91,0.0000,0.0006, 23040,0.04,0.00,87,34,2806.89,1829.01,2598.41,3.07,76.73,0.11,2.70,7.25,67.98,0.06,24.71,0.00,100.00,0.00,0.00,0.00,0.00,2.98,35.05,0.11,61.86,0.00,100.00,0.00,0.00,0.00,0.00,76.77,58.13,4.25 ,4.29 ,537683.18 ,539927.23 ,3.00,3.00,0.84,3.84,0.22,1.12,0.00,0.44,0.99,0.11,0.0000,0.0002,  4360,19.50,80.50,0.00,0.00,0.00,41,2171.25,565.22,2598.41,7.68,192.07,1.67,41.78,
2024-03-05,09:30:53.601,0.19,2.93,0.06,1.12,0.12,5.34,0.98,0.55,0.0000,0.0005, 18560,0.54,0.30,99,40,9716.14,3311.62,2598.11,5.87,146.70,0.37,9.35,0.03,1.67,0.02,1.22,0.02,1.14,0.98,0.41,0.0000,0.0006, 23400,0.11,0.01,91,34,1774.37,1064.70,2598.11,3.33,83.33,0.07,1.71,5.71,76.34,0.02,17.92,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.27,0.13,69.91,0.00,100.00,0.00,0.00,0.00,0.00,80.44,53.82,4.36 ,4.27 ,0.33 ,0.30 ,3.00,3.00,0.57,3.66,0.15,1.12,0.00,0.65,0.99,0.10,0.0000,0.0004,  3960,13.87,86.13,0.00,0.00,0.00,41,1469.77,401.97,2598.11,7.31,182.82,1.13,28.29,
2024-03-05,09:30:54.601,0.19,2.96,0.07,1.12,0.13,5.50,0.98,0.54,0.0000,0.0005, 19520,0.55,0.30,99,40,10012.87,3382.11,2597.51,5.92,148.03,0.39,9.64,0.03,1.68,0.02,1.22,0.01,1.12,0.99,0.31,0.0000,0.0007, 23840,0.11,0.01,89,34,1716.66,1022.18,2597.51,3.36,83.97,0.07,1.65,5.84,76.41,0.02,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.19,0.12,70.08,0.00,100.00,0.00,0.00,0.00,0.00,80.57,53.80,4.38 ,4.27 ,0.33 ,0.33 ,3.00,3.00,0.59,3.72,0.16,1.12,0.00,0.66,0.99,0.10,0.0000,0.0004,  4400,14.26,85.74,0.00,0.00,0.00,41,1536.44,413.19,2597.51,7.44,185.93,1.18,29.58,
2024-03-05,09:30:55.601,0.19,2.92,0.07,1.12,0.14,5.48,0.97,0.56,0.0000,0.0006, 18920,0.55,0.30,99,40,9957.93,3406.30,2597.66,5.85,146.17,0.38,9.58,0.03,1.70,0.02,1.22,0.01,1.14,0.99,0.30,0.0000,0.0007, 23920,0.11,0.01,88,33,1708.24,1007.46,2597.66,3.39,84.78,0.07,1.64,5.88,76.42,0.02,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.26,0.12,70.03,0.00,100.00,0.00,0.00,0.00,0.00,80.57,53.89,4.37 ,4.29 ,0.33 ,0.33 ,3.00,3.00,0.58,3.65,0.16,1.12,0.00,0.66,0.99,0.10,0.0000,0.0004,  4360,14.27,85.73,0.00,0.00,0.00,42,1507.94,413.51,2597.66,7.29,182.34,1.16,29.03,
2024-03-05,09:30:56.601,0.19,2.92,0.07,1.12,0.14,5.40,0.97,0.56,0.0000,0.0005, 19440,0.55,0.30,99,40,9856.68,3381.17,2597.57,5.83,145.76,0.38,9.49,0.03,1.62,0.02,1.22,0.01,1.15,0.99,0.31,0.0000,0.0007, 23960,0.10,0.01,88,33,1686.45,1044.08,2597.57,3.23,80.76,0.06,1.62,5.84,76.59,0.02,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.42,0.11,69.82,0.00,100.00,0.00,0.00,0.00,0.00,80.61,53.90,4.38 ,4.27 ,0.28 ,0.17 ,3.00,3.00,0.59,3.67,0.16,1.12,0.00,0.67,0.99,0.10,0.0000,0.0004,  4360,14.29,85.71,0.00,0.00,0.00,41,1521.43,414.00,2597.57,7.35,183.75,1.17,29.29,
2024-03-05,09:30:57.602,0.18,3.02,0.06,1.12,0.12,5.46,0.98,0.45,0.0000,0.0006, 20840,0.54,0.30,99,40,9534.57,3161.13,2597.56,6.03,150.81,0.37,9.18,0.04,1.74,0.02,1.19,0.02,1.17,0.99,0.82,0.0000,0.0006, 23280,0.11,0.01,90,34,2062.85,1185.77,2597.56,3.48,86.98,0.08,1.99,5.46,73.18,0.06,21.31,0.00,100.00,0.00,0.00,0.00,0.00,1.92,32.59,0.16,65.34,0.00,100.00,0.00,0.00,0.00,0.00,78.47,56.16,4.37 ,4.27 ,0.33 ,0.33 ,3.00,3.00,0.57,3.67,0.15,1.12,0.00,0.66,0.99,0.10,0.0000,0.0004,  5120,13.84,86.16,0.00,0.00,0.00,40,1473.28,400.98,2597.56,7.35,183.71,1.13,28.36,
2024-03-05,09:30:58.601,0.19,2.92,0.07,1.12,0.13,5.46,0.98,0.55,0.0000,0.0005, 20360,0.55,0.30,99,40,9959.88,3406.46,2595.68,5.85,146.19,0.38,9.59,0.03,1.67,0.02,1.22,0.01,1.13,0.99,0.30,0.0000,0.0007, 23280,0.11,0.01,88,33,1716.17,1025.16,2595.68,3.35,83.70,0.07,1.65,5.88,76.63,0.02,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.37,0.14,69.87,0.00,100.00,0.00,0.00,0.00,0.00,80.53,53.84,4.35 ,4.27 ,0.33 ,0.33 ,3.00,3.00,0.59,3.69,0.16,1.12,0.00,0.66,0.99,0.10,0.0000,0.0004,  4800,14.30,85.70,0.00,0.00,0.00,41,1526.54,413.89,2595.68,7.38,184.41,1.18,29.41,
2024-03-05,09:30:59.602,0.19,2.93,0.06,1.12,0.15,5.55,0.97,0.51,0.0000,0.0006, 22840,0.56,0.31,98,40,9796.37,3340.13,2597.50,5.87,146.65,0.38,9.43,0.04,1.66,0.02,1.20,0.03,1.26,0.98,0.69,0.0000,0.0007, 24440,0.12,0.01,83,35,1839.51,1109.30,2597.50,3.32,82.91,0.07,1.77,5.76,74.97,0.01,19.25,0.00,100.00,0.00,0.00,0.00,0.00,1.77,30.90,0.16,67.17,0.00,100.00,0.00,0.00,0.00,0.00,79.53,55.26,4.37 ,4.29 ,0.33 ,0.33 ,3.00,3.00,0.59,3.69,0.16,1.12,0.00,0.66,0.99,0.10,0.0000,0.0004,  1800,14.25,85.75,0.00,0.00,0.00,40,1522.34,412.75,2597.50,7.38,184.42,1.17,29.30,
