Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1709627448,Device: id=1,RX,0.058142712318642,165.29062239558,174.59345636656,68798,24447742
1709627449,Device: id=1,RX,0.052411886487314,147.94546184626,156.33136368424,123206,43645240
1709627450,Device: id=1,RX,0.059694563670377,169.13540317957,178.68653336683,183139,64871612
1709627451,Device: id=1,RX,0.074463600801816,211.37209224139,223.28626836968,257604,91293620
1709627452,Device: id=1,RX,0.26922758879097,763.13027369522,806.20668790178,526845,186689656
1709627453,Device: id=1,RX,0.35280303395214,1000.0617323274,1056.5102177597,879677,311707636
1709627454,Device: id=1,RX,0.35444144201744,999.97857313108,1056.6892038539,1234182,436727372
1709627455,Device: id=1,RX,0.35351829534104,999.97331876241,1056.536246017,1587720,561731004
1709627456,Device: id=1,RX,0.35388126127162,999.96866740774,1056.5896692112,1941605,686728408
1709627457,Device: id=1,RX,0.35307162840389,999.95047759048,1056.4419381351,2294718,811736864
1709627458,Device: id=1,RX,0.35326113078183,1000.0177154022,1056.5394963273,2647980,936739386
1709627459,Device: id=1,RX,0.35261909416946,998.23995417903,1054.6590092461,3000636,1061532440
