Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1679575725,Device: id=1,RX,0,0,0,0,0
1679575726,Device: id=1,RX,0,0,0,0,0
1679575727,Device: id=1,RX,1.7375060116055,4858.7587969212,5136.7597587781,1737545,607358478
1679575728,Device: id=1,RX,2.6125531603581,7393.3896345328,7811.39814019,4350112,1531537078
1679575729,Device: id=1,RX,2.6294794840208,7429.2200096633,7849.9367271066,6979613,2460197178
1679575730,Device: id=1,RX,2.6335442315664,7436.281427063,7857.6485041137,9613198,3389746746
1679575731,Device: id=1,RX,2.6171575201563,7404.0015470538,7822.7467502789,12230375,4315253828
1679575732,Device: id=1,RX,2.5921763015589,7320.967528361,7735.7157366104,14822564,5230379252
1679575733,Device: id=1,RX,2.631692078868,7444.329429429,7865.4001620479,17454297,6160934900
1679575734,Device: id=1,RX,2.632894553258,7445.9733620665,7867.2364905878,20087237,7091697636
1679575735,Device: id=1,RX,2.6275525816925,7436.4330656696,7856.8414787404,22714804,8021256870
1679575736,Device: id=1,RX,2.6311703035537,7437.853147983,7858.8403965516,25345996,8950996180
