Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683667808,Device: id=1,RX,0,0,0,0,0
1683667809,Device: id=1,RX,0,0,0,0,0
1683667810,Device: id=1,RX,0.061871258277994,176.11130768774,186.01070901222,61889,22020226
1683667811,Device: id=1,RX,0.072898143243522,205.46063140757,217.12433432653,134831,47718256
1683667812,Device: id=1,RX,0.069072670232418,194.38982566186,205.44145289905,203905,72017452
1683667813,Device: id=1,RX,0.07238729444731,204.78872259209,216.37068970366,276298,97618060
1683667814,Device: id=1,RX,0.070195216394938,198.28922321769,209.52045784088,346527,122416142
1683667815,Device: id=1,RX,0.070103178009012,198.37685745439,209.59336593583,416638,147216016
1683667816,Device: id=1,RX,0.088142893591529,249.05453133467,263.15739430932,504781,178347870
1683667817,Device: id=1,RX,0.36103767049912,994.35340388711,1052.119431167,865823,302643536
1683667818,Device: id=1,RX,0.30937143299835,874.20077207322,923.70020135296,1175196,411919186
1683667819,Device: id=1,RX,0.18032003441608,508.32898390698,537.18018941355,1355519,475461354
