Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683672167,Device: id=0,TX,0.043727794964033,123.84360551924,130.84005271348,43781,15500538
1683672168,Device: id=0,TX,0.070393601876105,198.28044974216,209.54342604234,114214,40299466
1683672169,Device: id=0,TX,0.070923352263274,199.98297945941,211.33071582153,185158,65304616
1683672170,Device: id=0,TX,0.069868829726046,199.9996530557,211.17866581186,255046,90311432
1683672171,Device: id=0,TX,0.070679480908186,199.99552745547,211.30424440078,325768,115325912
1683672172,Device: id=0,TX,0.070656241241859,200.00402165218,211.30902025088,396456,140337652
1683672173,Device: id=0,TX,0.07044637501072,199.98648455098,211.2579045527,466954,165354282
1683672174,Device: id=0,TX,0.070887551993346,199.99563346634,211.33764178527,537899,190373996
1683672175,Device: id=0,TX,0.32438396388036,917.22136271036,969.12279693122,862285,305027386
1683672176,Device: id=0,TX,1.6143124990959,4557.6552895863,4815.9452894416,2476631,874746120
1683672177,Device: id=0,TX,1.6125021736489,4558.6819217752,4816.682269559,4089193,1444602502
1683672178,Device: id=0,TX,1.6112897502175,4557.0001030343,4814.8064630691,5700498,2014232906
