Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683840138,Device: id=1,RX,0,0,0,0,0
1683840139,Device: id=1,RX,0,0,0,0,0
1683840140,Device: id=1,RX,0,0,0,0,0
1683840141,Device: id=1,RX,0,0,0,0,0
1683840142,Device: id=1,RX,0,0,0,0,0
1683840143,Device: id=1,RX,0,0,0,0,0
1683840144,Device: id=1,RX,1.0629513220174,2999.5269055592,3169.599117082,1062976,374949568
1683840145,Device: id=1,RX,1.6803165386734,4751.8416341773,5020.692280365,2743343,968947610
1683840146,Device: id=1,RX,1.3304533675534,3748.230987672,3961.1035264805,4073834,1437489736
1683840147,Device: id=1,RX,0.98615776897003,2786.1340886584,2943.9193316936,5060007,1785761876
1683840148,Device: id=1,RX,1.1358182173063,3205.8143895437,3387.5453043127,6195867,2186503416
1683840149,Device: id=1,RX,1.1223223056419,3175.4697380536,3355.0413069563,7318223,2583449050
