Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683840138,Device: id=0,TX,0.39153727781562,1107.6953488733,1170.3413133238,391566,138474590
1683840138,Device: id=0,TX,1.6469168098988,4656.6469952128,4920.1536847966,2038919,720709630
1683840139,Device: id=0,TX,1.6867443616038,4774.4525403917,5044.3316382483,3725672,1317519254
1683840140,Device: id=0,TX,1.688522967997,4784.6044772303,5054.7681521098,5414220,1915603680
1683840141,Device: id=0,TX,1.6582866933045,4686.3598938879,4951.6857648166,7072562,2501418204
1683840142,Device: id=0,TX,1.6813688255774,4758.6584201155,5027.6774322079,8753932,3096250922
1683840143,Device: id=0,TX,1.6930691609072,4791.6289802067,5062.5200459518,10447051,3695222176
1683840144,Device: id=0,TX,1.6811513208802,4753.459343787,5022.4435551278,12128203,4289404834
1683840145,Device: id=0,TX,1.4633687713926,4139.2734453134,4373.4124487362,13592153,4807019522
1683840146,Device: id=0,TX,1.5019316795149,4252.7162805645,4493.0253492869,15094093,5338612002
1683840147,Device: id=0,TX,1.6879466579823,4770.822471517,5040.8939367942,16782074,5934976944
1683840148,Device: id=0,TX,1.6895455534425,4778.1981591997,5048.5254477505,18473005,6532741486
