Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683879803,Device: id=1,RX,0,0,0,0,0
1683879804,Device: id=1,RX,0,0,0,0,0
1683879805,Device: id=1,RX,0,0,0,0,0
1683879806,Device: id=1,RX,1.251459135941,3517.775233869,3718.0086956196,1251504,439737668
1683879807,Device: id=1,RX,1.7600078051112,4971.9881349632,5253.589383781,3011539,1061245788
1683879808,Device: id=1,RX,1.7557035966521,4975.2424114131,5256.1549868775,4767278,1683163630
1683879809,Device: id=1,RX,1.7248521419795,4881.7593041496,5157.7356468663,6492161,2293394460
1683879810,Device: id=1,RX,1.6628577511147,4677.0724903959,4943.1297305743,8155069,2878046188
1683879811,Device: id=1,RX,1.7610222323798,4976.4907401604,5258.2542973412,9916152,3500128996
1683879812,Device: id=1,RX,1.6916340227428,4779.7537709142,5050.4152145531,11607800,4097603154
1683879813,Device: id=1,RX,1.0160602179209,2875.0081717617,3037.577806629,12623881,4456986526
1683879814,Device: id=1,RX,1.0443749788567,2952.7136463909,3119.813643008,13668275,4826082454
