Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683879803,Device: id=0,TX,0.62821326965784,1776.460562941,1876.9746860862,628248,222071866
1683879804,Device: id=0,TX,1.7227747167557,4871.5164464676,5147.1604011485,2351049,831020712
1683879805,Device: id=0,TX,1.7657293969801,4992.2861811015,5274.8028846183,4116782,1455057758
1683879806,Device: id=0,TX,1.7646574660737,4982.6125887419,5264.9577833137,5881495,2077903932
1683879807,Device: id=0,TX,1.7601286314559,4971.8934183116,5253.5139993446,7641674,2699408394
1683879808,Device: id=0,TX,1.755598212093,4975.289666614,5256.1853805488,9397308,3321332280
1683879809,Device: id=0,TX,1.7565718499259,4974.1866077341,5255.2381037222,11153916,3943118402
1683879810,Device: id=0,TX,1.7591099089216,4969.6145253226,5251.0721107501,12913072,4564336494
1683879811,Device: id=0,TX,1.7611458996088,4976.5003557367,5258.2836996741,14674223,5186400840
1683879812,Device: id=0,TX,1.7617683346769,4977.1622849509,5259.0452184992,16436039,5808562958
1683879813,Device: id=0,TX,1.7602778331309,4977.3896605786,5259.0341138795,18196391,6430762880
1683879814,Device: id=0,TX,1.76215032865,4982.6833264498,5264.6273790338,19958544,7053599240
