input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
6731641.21142036,6687215.8244701,727940.8,6733454.4,6691824.2,6691580.6,6691821.8,6691818.4,0.0,0.0,0.0,0.0,0.0,2891418947.8,2847293997.0,2830652100.2,2857270422.8,2824668406.4
6423109.73874978,6425686.11978164,28101.2,6425721.4,6432440.2,6432453.0,6432454.8,6432351.2,0.0,0.0,0.0,0.0,0.0,2830699122.4,2891653475.4,2890247794.6,2862555280.4,2857443102.0
6326416.92660636,6332827.147492399,8755.8,6328692.2,6334728.6,6334710.4,6334726.2,6334741.6,0.0,0.0,0.0,0.0,0.0,2857605287.0,2891595962.2,2890106088.4,2892030324.0,2891495141.2
10158528.2072051,10001764.54557906,1150265.6,9954086.0,10002617.0,10002353.6,10002357.0,10002376.6,200173.0,0.0,0.0,0.0,0.0,2873851543.4,2891728359.2,2890287365.2,2891507669.2,2891763418.2
4337813.87687502,4340936.94584762,307716.6,4341456.0,4344344.4,4344351.0,4344371.8,4344359.2,0.0,0.0,0.0,0.0,0.0,2891234406.8,2887468343.6,2890198723.6,2890830088.2,2891467860.2
9202527.65685192,9265876.701141259,117879.4,9268987.4,9265231.2,9265251.4,9265243.0,9265239.8,0.0,0.0,0.0,0.0,0.0,2891556525.2,2891863467.6,2891269666.8,2891894730.6,2891863044.2
9772466.44367618,9828002.9074795,559731.8,9835200.4,9834098.4,9834107.8,9834103.4,9834120.6,0.0,0.0,0.0,0.0,0.0,2891288978.6,2891867896.0,2891158351.8,2891887570.8,2891894659.8
7244882.37774732,7231505.216243461,180418.6,7234260.6,7233575.6,7233539.8,7233526.0,7233529.6,0.0,0.0,0.0,0.0,0.0,2891777886.2,2861883001.8,2891094206.0,2891768878.2,2891895362.0
10240456.0621548,5704838.888669239,6228569.4,6177192.4,5785958.2,5789201.4,5785895.0,5785887.8,3810402.8,0.0,574313.2,0.0,0.0,2879458403.0,2892022945.4,1839590050.2,2304771165.8,2892022999.0
10322197.4216832,1645447.0902911602,15000000.0,10234200.6,1830105.2,9102596.8,1830169.2,1830201.2,39989.6,7275819.6,873459.8,0.0,0.0,2846696580.2,2892399145.6,2853152771.2,2856615208.0,321174351.6
3599745.48784324,1022249.6392243719,12001613.4,3159910.6,2636302.2,2636354.2,1125603.2,1122340.2,443291.6,0.0,0.0,1510746.2,0.0,2891275902.2,958105551.2,2360500397.4,2856707788.6,2891363553.6
8728004.90946972,1884966.9014527802,12007127.2,1766933.4,1911033.0,1911052.2,1893057.6,1893064.0,19403.0,0.0,0.0,17994.6,0.0,738445624.0,2892243603.6,2891670585.6,2892266555.4,2867985934.2
