Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1680527254,Device: id=1,RX,0,0,0,0,0
1680527255,Device: id=1,RX,0,0,0,0,0
1680527256,Device: id=1,RX,0.55141548815173,2693.2198596474,2781.4463377517,551418,336654016
1680527257,Device: id=1,RX,0.80365132945748,5081.3069691245,5209.8911818377,1355136,971870080
1680527258,Device: id=1,RX,0.80096091502267,5066.2177693577,5194.3715157614,2156115,1605161600
1680527259,Device: id=1,RX,0.80396130558587,5083.8173195714,5212.4511284652,2960119,2240672512
1680527260,Device: id=1,RX,0.80356572649978,5082.0250812661,5210.5955975061,3763723,2875955904
1680527261,Device: id=1,RX,0.80383701927664,5083.452509953,5212.0664330372,4567563,3511389824
1680527262,Device: id=1,RX,0.66459241173622,3941.7180716616,4048.0528575394,5232264,4004185088
1680527263,Device: id=1,RX,0.42245420334052,1955.3791240049,2022.9717965394,5654817,4248664640
1680527264,Device: id=1,RX,0.28209658545183,1828.0225515325,1873.1580052048,5936992,4477230976
1680527265,Device: id=1,RX,0.22643999039002,1854.9646647046,1891.195063167,6163485,4709155840
