Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1689751553,Device: id=1,RX,0,0,0,0,0
1689751554,Device: id=1,RX,0,0,0,0,0
1689751555,Device: id=1,RX,0,0,0,0,0
1689751556,Device: id=1,RX,0.15459129812116,436.19169327335,460.92630097274,154596,54525620
1689751557,Device: id=1,RX,0.18080920586863,511.78741510257,540.71688804156,335460,118518434
1689751558,Device: id=1,RX,0.17730591998263,499.53697909358,527.9059262908,512786,180967628
1689751559,Device: id=1,RX,0.17729488244579,500.39123100574,528.75841219707,690117,243529274
1689751560,Device: id=1,RX,0.17630074864154,498.95027888938,527.15839867202,866434,305903808
1689751561,Device: id=1,RX,0.17728381043034,499.96676369922,528.33217336808,1043783,368422634
1689751562,Device: id=1,RX,0.17647535870219,499.97191835975,528.2079757521,1220267,430922184
1689751563,Device: id=1,RX,0.17674880279393,499.96200166005,528.24181010708,1397035,493424222
1689751564,Device: id=1,RX,0.17589481054965,499.95553867278,528.09870836073,1572938,555921574
