Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1689751553,Device: id=0,TX,0.087100453869664,246.42228834186,260.358360961,87141,30816868
1689751554,Device: id=0,TX,0.17122460414989,487.07509269485,514.47102935884,258374,91704240
1689751555,Device: id=0,TX,0.17605453343761,497.81859190959,525.98731725961,434471,153946574
1689751556,Device: id=0,TX,0.17707777309245,499.44736779914,527.77981149393,611654,216414594
1689751557,Device: id=0,TX,0.17654433521567,499.96752784663,528.21462148113,788272,278936612
1689751558,Device: id=0,TX,0.17748986888381,499.94879972622,528.34717874763,965802,341444342
1689751559,Device: id=0,TX,0.17682758250919,499.95655476271,528.24896796418,1142635,403940826
1689751560,Device: id=0,TX,0.1764620305224,498.96560251915,527.19952740273,1319118,466318938
1689751561,Device: id=0,TX,0.17734181522791,499.9568999249,528.33159036137,1496461,528813968
1689751562,Device: id=0,TX,0.17633792672806,499.97535066986,528.18941894635,1672850,591328988
1689751563,Device: id=0,TX,0.17683010126743,499.9523039158,528.24512011859,1849711,653833946
1689751564,Device: id=0,TX,0.17594897406635,499.9568603622,528.10869621282,2025828,716388234
