System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2025-09-06,01:35:14.716,0.14,1.55,0.09,1.10,2.53,4.38,0.42,0.01,0.0002,0.0003,0.17,4.14,71,14259.03,9180.27,2599.85,3.11,77.66,0.27,6.86,7.99,8.91,0.00,83.09,0.00,70.93,29.07,0.00,0.00,0.00,75.12,8.09,1963671.97,2.15,0.27,1.68,0.16,1.19,1.79,2.42,0.26,0.01,0.0001,0.0002, 25600,0.16,4.12,71,42,14204.51,8461.42,2599.85,3.36,83.94,0.55,13.66,0.00,0.08,0.01,0.61,0.74,1.96,0.62,0.03,0.0135,0.0359, 25480,0.01,0.02,74,46,54.52,718.85,2599.85,0.15,3.79,0.00,0.05,13.72,14.39,0.00,71.89,0.00,100.00,0.00,0.00,0.00,0.00,2.27,3.44,0.01,94.29,0.00,41.86,58.14,0.00,0.00,0.00,55.36,19.76,5.30 ,2.79 ,1188367.01 ,3988828.56 ,3.00,1.29,2.56,2.12,1.21,1.21,0.08,0.10,0.26,0.35,0.0000,0.0000,   120,99.55,0.45,0.00,0.00,0.00,42,6648.36,3140.37,2599.85,4.23,105.85,5.11,127.86,
2025-09-06,01:35:15.717,0.14,1.56,0.09,1.17,2.55,3.27,0.22,0.01,0.0002,0.0002,0.17,4.65,0,14896.13,9526.17,2598.07,3.13,78.19,0.29,7.17,7.84,8.00,0.00,84.16,0.00,100.00,0.00,0.00,0.00,0.00,85.41,8.77,0.00,2.69,0.29,2.23,0.13,1.24,0.03,0.40,0.92,0.34,0.0000,0.0000, 25600,0.16,4.65,0,40,14811.24,6655.32,2598.07,4.45,111.27,0.57,14.25,0.00,0.03,0.06,1.03,2.52,2.86,0.12,0.00,0.0297,0.0337, 25960,0.01,0.01,91,45,84.90,2870.86,2598.07,0.06,1.48,0.00,0.08,10.31,10.46,0.00,79.23,0.00,100.00,0.00,0.00,0.00,0.00,5.37,5.54,0.00,89.09,0.00,100.00,0.00,0.00,0.00,0.00,53.82,31.60,5.43 ,3.35 ,0.00 ,0.00 ,3.00,2.37,2.69,2.13,1.26,1.27,0.01,0.02,0.67,0.66,0.0000,0.0000,   120,99.84,0.16,0.00,0.00,0.00,41,6982.99,3283.79,2598.07,4.25,106.33,5.38,134.39,
2025-09-06,01:35:16.717,0.15,1.64,0.09,1.15,2.14,5.72,0.62,0.09,0.0001,0.0004,0.15,3.13,1,15291.59,9344.04,2597.89,3.27,81.83,0.29,7.36,7.82,9.38,0.02,82.78,0.00,98.94,1.06,0.00,0.00,0.00,89.89,8.43,0.00,2.77,0.28,2.22,0.13,1.23,0.15,1.09,0.86,0.36,0.0000,0.0001, 25160,0.12,3.13,0,41,14762.48,6657.16,2597.89,4.44,110.88,0.57,14.21,0.01,0.20,0.05,0.99,2.00,4.62,0.57,0.08,0.0038,0.0087, 24680,0.03,0.01,75,46,529.11,2686.89,2597.89,0.39,9.85,0.02,0.51,10.43,11.65,0.00,77.92,0.00,100.00,0.00,0.00,0.00,0.00,5.22,7.10,0.05,87.64,0.00,97.88,2.12,0.00,0.00,0.00,53.98,35.90,4.77 ,3.67 ,0.00 ,0.00 ,3.00,2.55,2.68,2.13,1.26,1.26,0.01,0.04,0.67,0.60,0.0000,0.0000,   480,99.86,0.14,0.00,0.00,0.00,41,6950.22,3269.86,2597.89,4.25,106.28,5.35,133.77,
2025-09-06,01:35:17.718,0.17,1.54,0.11,0.98,0.33,43.94,0.99,0.44,0.0000,0.0025,0.09,0.20,94,17554.26,11414.41,2598.05,3.08,76.90,0.34,8.45,11.17,11.42,0.00,77.41,0.00,95.37,4.63,0.00,0.00,0.00,81.29,6.83,0.00,2.40,0.26,2.02,0.13,1.24,0.14,17.62,0.99,0.20,0.0000,0.0013, 23040,0.08,0.18,94,42,13464.23,6662.37,2598.05,4.04,101.05,0.52,12.96,0.08,0.86,0.09,0.76,0.19,26.33,0.99,0.52,0.0000,0.0064, 25600,0.02,0.02,91,45,4090.03,4752.04,2598.05,1.72,43.03,0.16,3.94,10.33,10.43,0.00,79.24,0.00,100.00,0.00,0.00,0.00,0.00,12.00,12.40,0.01,75.58,0.00,90.75,9.25,0.00,0.00,0.00,53.23,28.07,3.84 ,2.99 ,0.00 ,0.00 ,3.00,1.79,2.17,1.72,1.26,1.27,0.08,16.97,1.00,0.18,0.0000,0.0030,  2760,99.88,0.12,0.00,0.00,0.00,43,5638.72,3285.48,2598.05,3.43,85.81,4.34,108.52,
2025-09-06,01:35:18.718,0.22,1.27,0.17,1.12,0.11,101.89,1.00,0.41,0.0000,0.0045,0.15,0.41,99,22824.80,17911.72,2598.07,2.55,63.71,0.44,10.98,15.33,15.73,0.00,68.94,0.00,100.00,0.00,0.00,0.00,0.00,103.44,8.16,0.07,2.79,0.22,1.73,0.13,1.24,0.05,43.66,1.00,0.20,0.0000,0.0038, 23160,0.15,0.40,99,42,11509.29,6658.66,2598.07,3.46,86.42,0.44,11.07,0.22,1.01,0.22,1.06,0.06,58.22,1.00,0.50,0.0000,0.0051, 25200,0.01,0.01,89,44,11315.51,11253.06,2598.07,2.01,50.28,0.44,10.89,10.29,10.35,0.00,79.36,0.00,100.00,0.00,0.00,0.00,0.00,20.37,21.11,0.00,58.52,0.00,100.00,0.00,0.00,0.00,0.00,53.21,50.23,4.37 ,3.79 ,0.03 ,846354.22 ,3.00,2.58,1.43,1.13,1.27,1.27,0.03,42.75,1.00,0.18,0.0000,0.0115,  3240,99.91,0.09,0.00,0.00,0.00,42,3703.42,3288.17,2598.07,2.25,56.31,2.85,71.27,
2025-09-06,01:35:19.718,0.23,1.29,0.18,1.15,0.55,104.66,0.99,0.41,0.0000,0.0043,0.19,0.42,95,24074.17,18668.14,2595.45,2.58,64.48,0.46,11.59,15.65,18.30,0.04,66.01,0.00,100.00,0.00,0.00,0.00,0.00,110.71,8.69,0.33,3.00,0.22,1.72,0.13,1.19,0.24,45.28,0.99,0.21,0.0000,0.0039, 22120,0.16,0.40,98,41,11482.54,6672.62,2595.45,3.44,86.04,0.44,11.06,0.24,1.05,0.23,1.13,0.31,59.38,0.99,0.50,0.0000,0.0047, 25360,0.03,0.02,66,43,12591.62,11995.52,2595.45,2.10,52.48,0.49,12.13,10.77,13.73,0.04,75.46,0.00,100.00,0.00,0.00,0.00,0.00,20.53,22.88,0.04,56.55,0.00,100.00,0.00,0.00,0.00,0.00,53.05,57.66,4.39 ,4.30 ,0.33 ,0.33 ,3.00,3.00,1.42,1.14,1.25,1.25,0.02,42.68,1.00,0.18,0.0000,0.0116,  3360,99.77,0.23,0.00,0.00,0.00,43,3686.11,3235.04,2595.45,2.28,56.97,2.84,71.01,
2025-09-06,01:35:20.718,0.24,1.34,0.18,1.17,0.07,101.68,1.00,0.41,0.0000,0.0041,0.15,0.39,99,25085.93,18652.10,2598.06,2.69,67.25,0.48,12.07,15.30,15.80,0.00,68.90,0.00,100.00,0.00,0.00,0.00,0.00,111.78,8.51,0.03,3.00,0.22,1.74,0.13,1.25,0.02,43.64,1.00,0.20,0.0000,0.0038, 22200,0.14,0.39,99,42,11549.32,6655.91,2598.06,3.47,86.76,0.44,11.11,0.26,1.13,0.23,1.14,0.04,58.04,1.00,0.50,0.0000,0.0043, 25080,0.01,0.00,78,42,13536.61,11996.19,2598.06,2.26,56.42,0.52,13.03,10.29,10.37,0.00,79.34,0.00,100.00,0.00,0.00,0.00,0.00,20.30,21.22,0.01,58.47,0.00,100.00,0.00,0.00,0.00,0.00,53.23,58.55,4.38 ,4.13 ,0.07 ,0.00 ,3.00,3.00,1.44,1.14,1.27,1.27,0.01,42.72,1.00,0.18,0.0000,0.0114,  3640,99.90,0.10,0.00,0.00,0.00,42,3744.86,3287.52,2598.06,2.28,56.96,2.88,72.07,
2025-09-06,01:35:21.718,0.24,1.34,0.18,1.17,0.16,102.17,1.00,0.41,0.0000,0.0041,0.16,0.39,98,25110.80,18706.95,2597.99,2.68,67.12,0.48,12.08,15.38,15.90,0.01,68.71,0.00,100.00,0.00,0.00,0.00,0.00,111.95,8.54,0.17,3.00,0.22,1.72,0.13,1.24,0.06,43.87,1.00,0.20,0.0000,0.0038, 22760,0.14,0.38,99,41,11516.11,6677.70,2597.99,3.45,86.23,0.44,11.08,0.26,1.13,0.23,1.13,0.10,58.30,1.00,0.50,0.0000,0.0043, 25360,0.02,0.01,87,42,13594.70,12029.25,2597.99,2.26,56.51,0.52,13.08,10.34,10.48,0.01,79.17,0.00,100.00,0.00,0.00,0.00,0.00,20.42,21.32,0.01,58.25,0.00,100.00,0.00,0.00,0.00,0.00,53.28,58.67,4.36 ,4.18 ,0.33 ,0.00 ,3.00,3.00,1.43,1.13,1.26,1.27,0.01,42.73,1.00,0.18,0.0000,0.0115,  3680,99.82,0.18,0.00,0.00,0.00,41,3714.84,3282.75,2597.99,2.26,56.58,2.86,71.49,
2025-09-06,01:35:22.729,0.24,1.34,0.18,1.17,0.15,103.10,1.00,0.41,0.0000,0.0041,0.15,0.39,99,25299.79,18867.49,2624.27,2.68,67.05,0.48,12.05,15.37,15.94,0.00,68.69,0.00,100.00,0.00,0.00,0.00,0.00,112.92,8.47,0.00,3.00,0.22,1.73,0.13,1.24,0.05,44.18,1.00,0.20,0.0000,0.0038, 21920,0.14,0.38,99,40,11644.86,6731.39,2624.27,3.46,86.50,0.44,11.09,0.26,1.13,0.23,1.13,0.11,58.92,1.00,0.50,0.0000,0.0043, 25640,0.01,0.01,82,42,13654.93,12136.09,2624.27,2.25,56.26,0.52,13.01,10.35,10.51,0.00,79.13,0.00,100.00,0.00,0.00,0.00,0.00,20.38,21.37,0.00,58.25,0.00,100.00,0.00,0.00,0.00,0.00,53.76,59.17,4.40 ,4.07 ,0.00 ,0.00 ,3.00,3.00,1.44,1.14,1.26,1.27,0.02,43.13,1.00,0.18,0.0000,0.0114,  4240,99.83,0.17,0.00,0.00,0.00,41,3766.48,3315.54,2624.27,2.27,56.80,2.87,71.76,
