,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2025-09-06,01:35:14.702,   77.11, 2028.44,   80.46, 2031.78,,,,,  157.58, 4060.22,2108830790, 4217.80,    6.18,   12.02,    4.74,   10.57,,,,,   10.92,   22.60,2108796598,   33.51,    168.49,   4082.82,   4251.31
2025-09-06,01:35:15.702,   80.10, 2319.36,   83.65, 2322.74,,,,,  163.75, 4642.10,2134127052, 4805.85,    6.67,    4.35,    3.20,    0.94,,,,,    9.87,    5.28,2134052021,   15.16,    173.62,   4647.39,   4821.01
2025-09-06,01:35:16.703,   61.05, 1601.30,   64.55, 1604.67,,,,,  125.60, 3205.97,2133416465, 3331.57,   16.80,    4.40,   13.36,    1.07,,,,,   30.16,    5.47,2133517455,   35.63,    155.76,   3211.44,   3367.20
2025-09-06,01:35:17.703,   35.44,   87.73,   38.87,   91.40,,,,,   74.31,  179.13,2133639014,  253.45,    9.51,   10.59,    6.45,    7.51,,,,,   15.96,   18.11,2133637814,   34.07,     90.27,    197.24,    287.51
2025-09-06,01:35:18.703,   73.01,  200.67,   76.18,  204.45,,,,,  149.19,  405.12,2131373908,  554.31,    5.05,    4.94,    1.68,    1.55,,,,,    6.73,    6.49,2131351304,   13.21,    155.92,    411.61,    567.52
2025-09-06,01:35:19.704,   76.25,  200.35,   79.68,  203.91,,,,,  155.93,  404.26,2133369200,  560.18,   18.49,   11.74,   15.55,    8.43,,,,,   34.05,   20.17,2133397446,   54.22,    189.97,    424.43,    614.40
2025-09-06,01:35:20.704,   69.79,  192.58,   73.51,  196.44,,,,,  143.30,  389.02,2133454810,  532.32,    4.55,    3.90,    1.16,    0.52,,,,,    5.71,    4.43,2133450654,   10.14,    149.01,    393.44,    542.46
2025-09-06,01:35:21.705,   68.93,  188.54,   72.68,  193.15,,,,,  141.61,  381.69,2133427334,  523.30,   10.96,    6.49,    7.59,    3.14,,,,,   18.55,    9.64,2133406325,   28.19,    160.16,    391.33,    551.49
2025-09-06,01:35:22.705,   69.06,  187.52,   73.09,  192.01,,,,,  142.14,  379.52,2133323416,  521.67,    6.53,    4.29,    3.15,    0.91,,,,,    9.68,    5.21,2133334357,   14.88,    151.82,    384.73,    536.55
2025-09-06,01:35:23.721,   67.63,  186.32,   71.16,  191.10,,,,,  138.79,  377.42,2134906632,  516.22,    4.12,    3.54,    0.75,    0.17,,,,,    4.87,    3.71,2134918007,    8.58,    143.66,    381.13,    524.80
2025-09-06,01:35:24.721,   67.50,  182.98,   71.03,  187.89,,,,,  138.53,  370.87,2132977277,  509.40,    4.77,    3.65,    1.41,    0.30,,,,,    6.18,    3.95,2132974678,   10.12,    144.71,    374.82,    519.53
