SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
77,2028,80,2031,157,4060,2108830790,4217,6,12,4,10,10,22,2108796598,33,168,4082,4251
80,2319,83,2322,163,4642,2134127052,4805,6,4,3,0,9,5,2134052021,15,173,4647,4821
61,1601,64,1604,125,3205,2133416465,3331,16,4,13,1,30,5,2133517455,35,155,3211,3367
35,87,38,91,74,179,2133639014,253,9,10,6,7,15,18,2133637814,34,90,197,287
73,200,76,204,149,405,2131373908,554,5,4,1,1,6,6,2131351304,13,155,411,567
76,200,79,203,155,404,2133369200,560,18,11,15,8,34,20,2133397446,54,189,424,614
69,192,73,196,143,389,2133454810,532,4,3,1,0,5,4,2133450654,10,149,393,542
68,188,72,193,141,381,2133427334,523,10,6,7,3,18,9,2133406325,28,160,391,551
69,187,73,192,142,379,2133323416,521,6,4,3,0,9,5,2133334357,14,151,384,536
67,186,71,191,138,377,2134906632,516,4,3,0,0,4,3,2134918007,8,143,381,524
67,182,71,187,138,370,2132977277,509,4,3,1,0,6,3,2132974678,10,144,374,519
66,179,69,184,135,363,2132992131,498,4,3,1,0,6,4,2132995049,10,141,367,508
