Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-06,01:35:14.617,0,60759748,0,869624,537656,0,0,14(Total)
2025-09-06,01:35:14.617,0,14,0,222768,234962,0,1792,14(Miss)
2025-09-06,01:35:14.617,0,60759734,0,646856,302694,0,0,0(Hit)
2025-09-06,01:35:14.617,1,15177176,0,1116556,981442,0,0,0(Total)
2025-09-06,01:35:14.617,1,0,0,122878,275016,0,0,0(Miss)
2025-09-06,01:35:14.617,1,15177176,0,993678,706426,0,0,0(Hit)
Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-06,01:35:15.630,0,14,14,37142,59458,0,1624,14(Total)
2025-09-06,01:35:15.630,0,14,0,21042,13496,0,1624,14(Miss)
2025-09-06,01:35:15.630,0,0,14,16100,45962,0,0,0(Hit)
2025-09-06,01:35:15.630,1,0,0,154504,51156,0,0,0(Total)
2025-09-06,01:35:15.630,1,0,0,65282,62860,0,28,0(Miss)
