skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_Date-miss,skt-0_Time-miss,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_Date-hit,skt-0_Time-hit,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_Date-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_Date-miss,skt-1_Time-miss,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_Date-hit,skt-1_Time-hit,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
60759748,0,869624,537656,0,0,14,2025,1,14,0,222768,234962,0,1792,14,2025,1,60759734,0,646856,302694,0,0,0,2025,15177176,0,1116556,981442,0,0,0,2025,1,0,0,122878,275016,0,0,0,2025,1,15177176,0,993678,706426,0,0,0
14,14,37142,59458,0,1624,14,2025,1,14,0,21042,13496,0,1624,14,2025,1,0,14,16100,45962,0,0,0,2025,0,0,154504,51156,0,0,0,2025,1,0,0,65282,62860,0,28,0,2025,1,0,0,89222,0,0,0,0
14,28,38248,132244,0,1596,14,2025,1,14,0,490,13986,0,0,0,2025,1,0,28,37758,118258,0,1596,14,2025,0,0,81886,241178,0,3234,21112,2025,1,0,0,123382,344596,0,0,29470,2025,1,0,0,0,0,0,3234,0
0,0,238126,63154,8746346,1456,414428,2025,1,14,0,112,10024,112,0,415226,2025,1,0,0,238014,53130,8746234,1456,0,2025,0,0,64442,145978,8494192,112,2084768,2025,1,0,0,11368,24150,0,224,2011618,2025,1,0,0,53074,121828,8494192,0,73150
26987268,11471964,107898,33592118,13521340,1792,414050,2025,1,1512,2197832,364,31766,4052300,0,415198,2025,1,26985756,9274132,107534,33560352,9469040,1792,0,2025,30010960,11026582,505274,37905798,13561604,0,2082178,2025,1,42,252,2758,30128,56,0,2089318,2025,1,30010918,11026330,502516,37875670,13561548,0,0
26939416,11456760,345296,33945100,13534780,1568,415128,2025,1,3752,2130716,98,136094,3946404,0,414134,2025,1,26935664,9326044,345198,33809006,9588376,1568,994,2025,30036692,11186042,518140,37883496,13565734,0,2065756,2025,1,0,448,2604,116592,84,616,2062480,2025,1,30036692,11185594,515536,37766904,13565650,0,3276
26921552,11438140,195370,33563236,13513164,1652,415156,2025,1,1792,2121658,658,10388,3907666,0,414120,2025,1,26919760,9316482,194712,33552848,9605498,1652,1036,2025,30004226,11240628,617960,37603048,13545784,0,2080008,2025,1,0,28,2380,8652,28,616,2073862,2025,1,30004226,11240600,615580,37594396,13545756,0,6146
26927012,11433954,201446,33573414,13520486,0,415716,2025,1,2604,2078412,36554,7882,3790080,1708,414064,2025,1,26924408,9355542,164892,33565532,9730406,0,1652,2025,29983786,11194750,336406,37671998,13549354,0,2083872,2025,1,0,0,47194,10094,98,0,2076326,2025,1,29983786,11194750,289212,37661904,13549256,0,7546
26963090,11460456,367024,33167260,13550334,0,415170,2025,1,2646,2070670,42,10332,3758356,1624,414162,2025,1,26960444,9389786,366982,33156928,9791978,0,1008,2025,30002644,11192356,675318,37363690,13588750,0,2055718,2025,1,0,0,4872,12586,42,0,2043748,2025,1,30002644,11192356,670446,37351104,13588708,0,11970
26898494,11435256,243964,33595758,13549172,42,413896,2025,1,2016,2057440,0,8974,3752210,1568,414148,2025,1,26896478,9377816,243964,33586784,9796962,0,0,2025,29940414,11169130,328776,37510914,13581372,0,2047556,2025,1,0,112,0,8008,28,0,2049474,2025,1,29940414,11169018,328776,37502906,13581344,0,0
26843362,11430972,260834,33446126,13550026,0,414344,2025,1,2156,2047430,14,28098,3683022,1568,413882,2025,1,26841206,9383542,260820,33418028,9867004,0,462,2025,29912596,11201736,385742,37571324,13577452,0,2071440,2025,1,0,14,532,163996,0,0,2073470,2025,1,29912596,11201722,385210,37407328,13577452,0,0
26880154,11435018,102914,33474084,13554044,1512,414288,2025,1,1344,2000334,42,12894,3584756,1680,415128,2025,1,26878810,9434684,102872,33461190,9969288,0,0,2025,29913324,11200294,268576,37541406,13587028,0,2051014,2025,1,0,0,2324,19754,14,0,2063194,2025,1,29913324,11200294,266252,37521652,13587014,0,0
