Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1757115318,Device: id=1,RX,6.6039579919539,7975.6146686462,9032.2479473588,9520921,1437304910
1757115319,Device: id=1,RX,6.6002560375048,7971.1190385144,9027.1600045151,16121579,2433755471
1757115320,Device: id=1,RX,6.6005679580017,7971.5054976174,9027.5963708977,22722748,3430284393
1757115321,Device: id=1,RX,6.6003463387586,7971.2297524612,9027.2851666626,29323437,4426739841
1757115322,Device: id=1,RX,6.5951173678022,7964.9323595358,9020.1511383842,35919610,5422515747
1757115323,Device: id=1,RX,6.6003398705905,7971.2222383762,9027.2766176706,42521446,6419144386
1757115324,Device: id=1,RX,6.6008882980959,7971.8958106115,9028.0379383069,49122770,7415697137
1757115325,Device: id=1,RX,6.6005870795985,7971.5248839886,9027.6188167244,55724727,8412344554
1757115326,Device: id=1,RX,6.6008691969107,7971.8676103592,9028.0066818649,62326064,9408898626
1757115327,Device: id=1,RX,6.2467834794719,7544.2431693816,8543.7285260971,68633651,10361108077
1757115328,Device: id=1,RX,5.8149886390957,7022.7660272231,7953.1642094784,74448931,11238997815
1757115329,Device: id=1,RX,5.8142041000221,7021.8159856947,7952.0886416982,80263485,12116777635
