Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1757115318,Device: id=0,TX,6.6032791061491,7974.7254876031,9031.250144587,9399345,1418950485
1757115319,Device: id=0,TX,6.6004007555633,7971.3179939496,9027.3821148398,16121437,2433736081
1757115320,Device: id=0,TX,6.6005526490103,7971.4711757195,9027.5595995612,22722359,3430225736
1757115321,Device: id=0,TX,6.6003609371883,7971.2562855066,9027.3140354567,29323338,4426726076
1757115322,Device: id=0,TX,6.5952081127847,7965.029683408,9020.2629814535,35919169,5422448819
1757115323,Device: id=0,TX,6.6002352992602,7971.1112718013,9027.148919683,42520255,6418966152
1757115324,Device: id=0,TX,6.6009058529375,7971.9116886173,9028.0566250873,49122660,7415681428
1757115325,Device: id=0,TX,6.6006702469728,7971.6286219414,9027.735861457,55723902,8412221319
1757115326,Device: id=0,TX,6.6007861839841,7971.7639919182,9027.8897813556,62325917,9408877323
1757115327,Device: id=0,TX,6.2467987042953,7544.2643891766,8543.7521818638,68633465,10361081244
1757115328,Device: id=0,TX,5.8149849751522,7022.754202394,7953.1517984184,74448824,11238981983
1757115329,Device: id=0,TX,5.81420701865,7021.8176444328,7952.0907674168,80263344,12116756437
