,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-26,13:36:08.602,  123.86,  338.94,  430.65,  500.94,,,,,  554.51,  839.88,1984896372, 1394.39,  419.91,   23.68,  418.56,   20.47,,,,,  838.48,   44.14,1985110984,  882.62,   1392.99,    884.02,   2277.01
2024-02-26,13:36:09.602,  107.64,  316.82,  379.73,  466.21,,,,,  487.37,  783.03,2132896567, 1270.40,  400.39,    6.72,  401.54,    3.37,,,,,  801.94,   10.09,2132996750,  812.02,   1289.31,    793.12,   2082.43
2024-02-26,13:36:10.602,  100.97,  302.74,  353.57,  442.36,,,,,  454.54,  745.10,2132602518, 1199.64,  396.85,    7.50,  396.21,    4.10,,,,,  793.05,   11.60,2132417855,  804.66,   1247.59,    756.71,   2004.30
2024-02-26,13:36:11.603,   97.00,  295.49,  338.02,  428.56,,,,,  435.02,  724.05,2134805859, 1159.06,  396.69,    6.60,  394.55,    3.19,,,,,  791.23,    9.80,2134763770,  801.03,   1226.25,    733.84,   1960.09
2024-02-26,13:36:12.602,   92.87,  290.96,  323.67,  419.11,,,,,  416.53,  710.07,2132579252, 1126.60,  392.02,    6.55,  389.57,    3.16,,,,,  781.59,    9.71,2132516379,  791.30,   1198.12,    719.78,   1917.90
2024-02-26,13:36:13.602,   90.63,  286.99,  315.11,  411.75,,,,,  405.74,  698.73,2132382835, 1104.47,  391.18,    7.63,  391.80,    4.25,,,,,  782.97,   11.88,2132520836,  794.85,   1188.71,    710.61,   1899.33
2024-02-26,13:36:14.603,   89.65,  286.04,  311.05,  409.20,,,,,  400.71,  695.23,2134704951, 1095.94,  392.95,    6.49,  392.58,    3.12,,,,,  785.52,    9.60,2134598420,  795.13,   1186.23,    704.84,   1891.07
2024-02-26,13:36:15.603,   87.94,  283.26,  304.87,  404.11,,,,,  392.82,  687.37,2132413258, 1080.18,  393.26,    6.29,  391.66,    2.87,,,,,  784.92,    9.16,2132393701,  794.08,   1177.74,    696.52,   1874.26
2024-02-26,13:36:16.603,   86.92,  282.82,  300.52,  402.01,,,,,  387.45,  684.83,2134448413, 1072.28,  384.97,    6.07,  383.01,    2.70,,,,,  767.98,    8.77,2134459398,  776.75,   1155.43,    693.60,   1849.02
2024-02-26,13:36:17.603,   85.27,  282.37,  294.97,  399.49,,,,,  380.24,  681.85,2132398293, 1062.09,  381.13,    5.96,  382.19,    2.56,,,,,  763.31,    8.52,2132400503,  771.83,   1143.55,    690.37,   1833.92
2024-02-26,13:36:18.604,   95.79,  305.79,  327.26,  434.08,,,,,  423.05,  739.87,2132449190, 1162.91,  425.60,   22.11,  424.59,   18.83,,,,,  850.19,   40.95,2132458014,  891.14,   1273.23,    780.82,   2054.05
