System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,13:36:08.682,0.16,2.35,0.07,1.12,0.09,23.96,1.00,0.39,0.0000,0.0029, 12680,0.59,0.90,98,47,8198.10,3493.31,2601.27,4.69,117.34,0.32,7.88,0.03,1.40,0.02,1.20,0.10,3.62,0.97,0.45,0.0001,0.0023, 23520,0.90,0.05,96,46,1595.44,1142.23,2601.27,2.79,69.84,0.06,1.53,6.02,77.01,0.10,16.87,0.00,100.00,0.00,0.00,0.00,0.00,1.83,30.70,0.25,67.23,0.00,100.00,0.00,0.00,0.00,0.00,78.78,52.86,4.60 ,4.58 ,1864497.78 ,0.00 ,3.00,3.00,0.23,1.48,0.16,1.12,0.01,3.67,1.00,0.19,0.0000,0.0061,  1440,14.14,85.86,0.00,0.00,0.00,52,605.10,410.18,2601.27,2.95,73.76,0.47,11.63,
2024-02-26,13:36:09.681,0.15,2.40,0.06,1.12,0.03,27.04,1.00,0.36,0.0000,0.0034, 13200,0.48,0.78,99,47,8032.81,3342.89,2596.44,4.81,120.15,0.31,7.73,0.03,1.49,0.02,1.22,0.01,3.12,1.00,0.40,0.0000,0.0020, 23120,0.80,0.01,98,46,1560.74,1046.86,2596.44,2.98,74.54,0.06,1.50,5.77,76.57,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.27,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.36,52.01,4.57 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.24,1.52,0.16,1.12,0.00,4.04,1.00,0.19,0.0000,0.0065,  1440,14.19,85.81,0.00,0.00,0.00,52,624.41,411.02,2596.44,3.04,75.96,0.48,12.02,
2024-02-26,13:36:10.681,0.15,2.32,0.06,1.12,0.05,26.79,1.00,0.36,0.0000,0.0035, 14360,0.45,0.74,99,47,7738.94,3340.03,2597.11,4.63,115.85,0.30,7.45,0.03,1.53,0.02,1.22,0.01,3.07,1.00,0.40,0.0000,0.0020, 24040,0.79,0.01,98,46,1530.79,1000.82,2597.11,3.06,76.48,0.06,1.47,5.77,76.58,0.01,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.29,0.13,70.00,0.00,100.00,0.00,0.00,0.00,0.00,78.40,52.07,4.53 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.24,1.51,0.16,1.12,0.01,3.95,1.00,0.20,0.0000,0.0064,  1640,14.02,85.98,0.00,0.00,0.00,51,614.78,406.01,2597.11,3.03,75.71,0.47,11.84,
2024-02-26,13:36:11.681,0.15,2.32,0.06,1.12,0.06,27.18,1.00,0.35,0.0000,0.0035, 14160,0.43,0.72,99,47,7710.95,3320.40,2596.00,4.64,116.11,0.30,7.43,0.03,1.51,0.02,1.22,0.02,3.20,0.99,0.40,0.0000,0.0021, 24000,0.79,0.01,98,46,1536.20,1019.43,2596.00,3.01,75.35,0.06,1.48,5.73,76.66,0.07,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.28,0.22,69.89,0.00,100.00,0.00,0.00,0.00,0.00,78.44,52.02,4.53 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.25,1.58,0.16,1.12,0.00,3.96,1.00,0.19,0.0000,0.0062,  1680,13.98,86.02,0.00,0.00,0.00,51,639.11,404.68,2596.00,3.16,78.97,0.49,12.31,
2024-02-26,13:36:12.682,0.15,2.30,0.06,1.12,0.04,28.15,1.00,0.35,0.0000,0.0037, 14280,0.42,0.71,99,46,7704.04,3344.86,2599.35,4.61,115.16,0.30,7.41,0.03,1.57,0.02,1.22,0.01,3.08,1.00,0.41,0.0000,0.0020, 24160,0.78,0.01,98,46,1578.53,1007.31,2599.35,3.13,78.35,0.06,1.52,5.77,76.83,0.02,17.38,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.49,0.14,69.79,0.00,100.00,0.00,0.00,0.00,0.00,78.61,52.17,4.50 ,4.52 ,463443.42 ,0.00 ,3.00,3.00,0.25,1.59,0.16,1.12,0.01,4.08,1.00,0.19,0.0000,0.0063,  1680,14.08,85.92,0.00,0.00,0.00,51,647.59,408.31,2599.35,3.17,79.30,0.50,12.46,
2024-02-26,13:36:13.683,0.15,2.25,0.07,1.12,0.04,28.27,1.00,0.34,0.0000,0.0037, 14720,0.40,0.70,99,46,7668.85,3407.20,2600.86,4.50,112.54,0.29,7.37,0.03,1.49,0.02,1.22,0.02,3.13,0.99,0.40,0.0000,0.0020, 23360,0.78,0.01,98,46,1540.84,1036.27,2600.86,2.97,74.35,0.06,1.48,5.87,77.30,0.03,16.80,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.76,0.16,69.44,0.00,100.00,0.00,0.00,0.00,0.00,78.85,52.22,4.49 ,4.53 ,0.33 ,0.47 ,3.00,3.00,0.25,1.60,0.16,1.12,0.00,4.07,1.00,0.19,0.0000,0.0062,  1640,14.10,85.90,0.00,0.00,0.00,51,653.87,409.13,2600.86,3.20,79.91,0.50,12.57,
2024-02-26,13:36:14.682,0.15,2.33,0.06,1.12,0.04,27.85,1.00,0.35,0.0000,0.0037, 14680,0.40,0.69,99,46,7585.94,3261.43,2594.47,4.65,116.30,0.29,7.31,0.03,1.52,0.02,1.22,0.03,3.12,0.99,0.40,0.0000,0.0021, 24480,0.78,0.01,98,45,1518.64,996.54,2594.47,3.05,76.20,0.06,1.46,5.63,76.73,0.02,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.22,0.15,70.06,0.00,100.00,0.00,0.00,0.00,0.00,78.50,52.07,4.49 ,4.52 ,0.30 ,0.33 ,3.00,3.00,0.25,1.62,0.15,1.12,0.00,4.01,1.00,0.19,0.0000,0.0062,  1760,13.78,86.22,0.00,0.00,0.00,51,644.81,398.76,2594.47,3.23,80.85,0.50,12.43,
2024-02-26,13:36:15.683,0.15,2.25,0.07,1.12,0.06,28.26,1.00,0.34,0.0000,0.0037, 15160,0.39,0.69,99,46,7636.15,3397.00,2600.46,4.50,112.40,0.29,7.34,0.03,1.46,0.02,1.22,0.01,3.16,1.00,0.41,0.0000,0.0020, 23760,0.78,0.01,98,45,1547.52,1057.80,2600.46,2.93,73.15,0.06,1.49,5.86,76.59,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.24,0.13,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.70,52.26,4.50 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.62,0.16,1.12,0.01,4.05,1.00,0.19,0.0000,0.0061,  1880,14.13,85.87,0.00,0.00,0.00,51,662.18,409.73,2600.46,3.23,80.81,0.51,12.73,
2024-02-26,13:36:16.682,0.15,2.32,0.06,1.12,0.04,28.99,1.00,0.34,0.0000,0.0038, 14800,0.39,0.68,99,46,7722.65,3328.74,2595.83,4.64,116.00,0.30,7.44,0.03,1.53,0.02,1.22,0.01,3.07,1.00,0.40,0.0000,0.0020, 24080,0.77,0.01,98,45,1566.18,1023.59,2595.83,3.06,76.50,0.06,1.51,5.75,76.62,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.25,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.58,52.18,4.48 ,4.52 ,0.30 ,0.33 ,3.00,3.00,0.26,1.64,0.16,1.12,0.00,4.14,1.00,0.19,0.0000,0.0061,  1760,14.17,85.83,0.00,0.00,0.00,51,674.03,410.39,2595.83,3.28,82.12,0.52,12.98,
2024-02-26,13:36:17.683,0.15,2.26,0.06,1.12,0.04,28.83,1.00,0.34,0.0000,0.0038, 14440,0.38,0.68,99,46,7606.02,3369.72,2598.71,4.51,112.86,0.29,7.32,0.03,1.52,0.02,1.22,0.02,3.07,0.99,0.40,0.0000,0.0020, 23120,0.76,0.01,98,46,1536.74,1012.94,2598.71,3.03,75.85,0.06,1.48,5.81,76.63,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.19,0.12,70.10,0.00,100.00,0.00,0.00,0.00,0.00,78.78,52.29,4.48 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.26,1.63,0.16,1.12,0.00,4.11,1.00,0.19,0.0000,0.0062,  1920,14.14,85.86,0.00,0.00,0.00,50,666.57,409.91,2598.71,3.25,81.31,0.51,12.83,
