Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708950964,Device: id=1,RX,0.1724830098744,411.02071613006,438.61799770996,201408,59994212
1708950965,Device: id=1,RX,0.23495473982213,588.82931167937,626.42207005092,436365,133598584
1708950966,Device: id=1,RX,0.27494945739186,712.05486202699,756.04677520969,713161,223203206
1708950967,Device: id=1,RX,0.44684604160932,1224.772033156,1296.2673998135,1165376,378139200
1708950968,Device: id=1,RX,2.4624981967839,6856.8397396826,7250.839451168,3627922,1235260806
1708950969,Device: id=1,RX,3.3127690726339,9359.737278021,9889.7803296424,6940720,2405238182
1708950970,Device: id=1,RX,3.3123236812041,9365.0312573615,9895.0030463542,10253054,3575870736
1708950971,Device: id=1,RX,3.3118363860584,9359.5460679337,9889.439889703,13564947,4745833994
1708950972,Device: id=1,RX,3.3159208143674,9367.862868854,9898.4101991528,16880917,5916834222
1708950973,Device: id=1,RX,3.3113200307633,9366.3426192042,9896.1538241263,20192271,7087639060
1708950974,Device: id=1,RX,3.313162544114,9371.8094645578,9901.9154716161,23505449,8259120708
1708950975,Device: id=1,RX,3.3073773191852,9361.0226241745,9890.2029952441,26812870,9429263990
