System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core6 (Socket 0)-EXEC,Core6 (Socket 0)-IPC,Core6 (Socket 0)-FREQ,Core6 (Socket 0)-AFREQ,Core6 (Socket 0)-L3MISS,Core6 (Socket 0)-L2MISS,Core6 (Socket 0)-L3HIT,Core6 (Socket 0)-L2HIT,Core6 (Socket 0)-L3MPI,Core6 (Socket 0)-L2MPI,Core6 (Socket 0)-L3OCC,Core6 (Socket 0)-C0res%,Core6 (Socket 0)-C1res%,Core6 (Socket 0)-C3res%,Core6 (Socket 0)-C6res%,Core6 (Socket 0)-C7res%,Core6 (Socket 0)-TEMP,Core6 (Socket 0)-INST,Core6 (Socket 0)-ACYC,Core6 (Socket 0)-TIME(ticks),Core6 (Socket 0)-PhysIPC,Core6 (Socket 0)-PhysIPC%,Core6 (Socket 0)-INSTnom,Core6 (Socket 0)-INSTnom%,-
2024-02-26,14:04:20.768,0.21,2.85,0.07,1.12,0.06,18.03,1.00,0.22,0.0000,0.0017, 11480,0.32,0.48,99,46,10768.83,3776.48,2598.89,5.70,142.58,0.41,10.36,0.05,1.48,0.03,1.17,0.06,3.23,0.98,0.87,0.0000,0.0012, 22760,0.46,0.01,98,43,2622.87,1769.59,2598.89,2.96,74.11,0.10,2.52,6.51,67.59,0.06,25.85,0.00,100.00,0.00,0.00,0.00,0.00,2.92,36.93,0.16,59.99,0.00,100.00,0.00,0.00,0.00,0.00,74.65,57.57,4.37 ,4.47 ,1228572.52 ,1239886.38 ,3.00,3.00,0.64,3.28,0.19,1.12,0.01,2.91,1.00,0.09,0.0000,0.0018,  4760,17.45,82.55,0.00,0.00,0.00,49,1661.62,505.86,2598.89,6.57,164.24,1.28,31.97,
2024-02-26,14:04:21.767,0.15,2.40,0.06,1.12,0.04,26.04,1.00,0.35,0.0000,0.0032, 12560,0.54,0.82,99,46,8033.74,3343.84,2595.13,4.81,120.13,0.31,7.74,0.03,1.51,0.02,1.22,0.01,3.10,1.00,0.41,0.0000,0.0020, 23400,0.79,0.01,98,42,1567.49,1040.70,2595.13,3.01,75.31,0.06,1.51,5.78,76.60,0.02,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.24,0.16,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.78,52.63,4.57 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.45,2.86,0.16,1.12,0.01,4.29,1.00,0.09,0.0000,0.0036,  5000,14.25,85.75,0.00,0.00,0.00,47,1179.29,412.42,2595.13,5.72,142.97,0.91,22.72,
2024-02-26,14:04:22.766,0.15,2.35,0.06,1.12,0.03,26.85,1.00,0.35,0.0000,0.0034, 12960,0.50,0.77,99,45,7818.39,3327.59,2594.70,4.70,117.48,0.30,7.53,0.03,1.47,0.02,1.22,0.02,3.09,0.99,0.40,0.0000,0.0020, 24240,0.77,0.01,98,43,1508.22,1029.11,2594.70,2.93,73.28,0.06,1.45,5.75,76.63,0.01,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.33,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.68,4.56 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.44,2.80,0.16,1.12,0.01,4.38,1.00,0.09,0.0000,0.0038,  4760,14.06,85.94,0.00,0.00,0.00,48,1138.42,406.92,2594.70,5.60,139.88,0.88,21.94,
2024-02-26,14:04:23.765,0.15,2.33,0.06,1.12,0.04,27.21,1.00,0.34,0.0000,0.0035, 13440,0.47,0.75,99,46,7692.77,3305.14,2594.75,4.66,116.38,0.30,7.41,0.03,1.52,0.02,1.22,0.01,3.17,1.00,0.40,0.0000,0.0020, 23640,0.77,0.01,98,42,1558.04,1022.03,2594.75,3.05,76.22,0.06,1.50,5.71,76.69,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.41,0.13,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.75,52.79,4.55 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.42,2.76,0.15,1.12,0.01,4.34,1.00,0.09,0.0000,0.0039,  5320,13.75,86.25,0.00,0.00,0.00,47,1099.70,397.85,2594.75,5.53,138.21,0.85,21.19,
2024-02-26,14:04:24.765,0.15,2.31,0.06,1.12,0.05,27.87,1.00,0.34,0.0000,0.0036, 13600,0.45,0.73,99,46,7731.36,3343.57,2597.32,4.62,115.62,0.30,7.44,0.03,1.50,0.02,1.22,0.02,3.20,0.99,0.41,0.0000,0.0020, 24040,0.78,0.01,98,42,1569.70,1044.36,2597.32,3.01,75.15,0.06,1.51,5.77,76.76,0.03,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.42,0.16,69.77,0.00,100.00,0.00,0.00,0.00,0.00,78.88,52.80,4.54 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.43,2.74,0.16,1.12,0.01,4.53,1.00,0.09,0.0000,0.0040,  5120,14.11,85.89,0.00,0.00,0.00,47,1120.18,408.83,2597.32,5.48,137.00,0.86,21.56,
2024-02-26,14:04:25.766,0.15,2.27,0.06,1.12,0.04,27.91,1.00,0.34,0.0000,0.0037, 13080,0.44,0.71,99,45,7629.01,3358.47,2597.49,4.54,113.58,0.29,7.34,0.03,1.50,0.02,1.21,0.02,3.16,0.99,0.40,0.0000,0.0021, 24280,0.77,0.01,98,42,1518.47,1011.74,2597.49,3.00,75.04,0.06,1.46,5.80,77.26,0.05,16.90,0.00,100.00,0.00,0.00,0.00,0.00,1.60,29.05,0.13,69.22,0.00,100.00,0.00,0.00,0.00,0.00,79.03,52.83,4.52 ,4.53 ,467323.70 ,0.00 ,3.00,3.00,0.42,2.69,0.16,1.12,0.01,4.54,1.00,0.09,0.0000,0.0041,  5040,14.10,85.90,0.00,0.00,0.00,46,1099.13,408.52,2597.49,5.38,134.52,0.85,21.16,
2024-02-26,14:04:26.766,0.15,2.29,0.06,1.12,0.08,27.36,1.00,0.35,0.0000,0.0036, 14640,0.46,0.77,98,45,7628.52,3332.35,2597.30,4.58,114.46,0.29,7.34,0.03,1.40,0.02,1.20,0.11,3.73,0.97,0.45,0.0001,0.0024, 24640,0.90,0.05,95,42,1567.30,1116.85,2597.30,2.81,70.17,0.06,1.51,5.75,77.41,0.04,16.79,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.65,0.21,67.36,0.00,100.00,0.00,0.00,0.00,0.00,79.20,53.53,4.54 ,4.58 ,0.33 ,0.33 ,3.00,3.00,0.42,2.77,0.15,1.12,0.01,4.38,1.00,0.09,0.0000,0.0040,  5360,13.74,86.26,0.00,0.00,0.00,46,1101.88,397.92,2597.30,5.54,138.46,0.85,21.21,
2024-02-26,14:04:27.766,0.15,2.25,0.07,1.12,0.04,28.97,1.00,0.34,0.0000,0.0038, 14920,0.40,0.70,99,44,7620.19,3380.42,2597.41,4.51,112.71,0.29,7.33,0.03,1.51,0.02,1.22,0.02,3.20,0.99,0.40,0.0000,0.0020, 24200,0.80,0.01,98,40,1567.83,1035.69,2597.41,3.03,75.69,0.06,1.51,5.83,76.47,0.01,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.19,0.13,70.05,0.00,100.00,0.00,0.00,0.00,0.00,79.00,52.82,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.42,2.66,0.16,1.12,0.01,4.67,1.00,0.10,0.0000,0.0043,  5280,14.16,85.84,0.00,0.00,0.00,46,1092.90,410.24,2597.41,5.33,133.20,0.84,21.04,
2024-02-26,14:04:28.766,0.15,2.28,0.06,1.12,0.03,29.31,1.00,0.33,0.0000,0.0038, 14240,0.39,0.69,99,44,7622.18,3338.37,2597.33,4.57,114.16,0.29,7.34,0.03,1.51,0.02,1.22,0.01,3.10,1.00,0.41,0.0000,0.0020, 24160,0.77,0.01,98,42,1565.71,1038.55,2597.33,3.02,75.38,0.06,1.51,5.76,76.55,0.02,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.25,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,79.05,52.87,4.50 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.42,2.66,0.16,1.12,0.01,4.79,1.00,0.10,0.0000,0.0044,  5160,14.26,85.74,0.00,0.00,0.00,47,1098.39,413.13,2597.33,5.32,132.94,0.85,21.14,
2024-02-26,14:04:29.766,0.15,2.27,0.06,1.12,0.05,29.51,1.00,0.33,0.0000,0.0039, 15000,0.38,0.68,99,43,7584.80,3347.21,2597.42,4.53,113.30,0.29,7.30,0.03,1.55,0.02,1.22,0.01,3.13,1.00,0.40,0.0000,0.0021, 24280,0.76,0.01,98,41,1526.59,982.40,2597.42,3.11,77.70,0.06,1.47,5.78,76.51,0.05,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.29,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,79.09,52.85,4.50 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.42,2.65,0.16,1.12,0.01,4.77,1.00,0.10,0.0000,0.0044,  5120,14.05,85.95,0.00,0.00,0.00,46,1079.42,406.94,2597.42,5.31,132.63,0.83,20.78,
