SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  113.45,  308.00,  400.57,  460.98,  514.03,  768.98,1910632019, 1283.00,  365.94,    5.73,  371.78,    8.67,  737.73,   14.40,1910617682,  752.13,   1251.75,    783.38,   2035.13
  115.73,  321.84,  407.94,  479.74,  523.66,  801.58,2132727041, 1325.25,  385.91,    3.35,  393.81,    6.66,  779.72,   10.01,2132751139,  789.73,   1303.39,    811.59,   2114.98
  108.89,  305.92,  383.36,  455.95,  492.24,  761.86,2134509292, 1254.11,  384.95,    4.61,  389.55,    7.99,  774.51,   12.60,2134497941,  787.11,   1266.75,    774.47,   2041.21
  102.94,  298.92,  363.10,  441.81,  466.03,  740.73,2132279344, 1206.76,  382.03,    3.05,  387.76,    6.41,  769.79,    9.46,2132214898,  779.25,   1235.82,    750.19,   1986.01
   99.44,  294.75,  348.71,  431.96,  448.15,  726.71,2134383363, 1174.86,  386.18,    3.68,  390.23,    7.03,  776.41,   10.71,2134495117,  787.11,   1224.56,    737.42,   1961.97
  106.20,  314.61,  365.15,  456.10,  471.35,  770.71,2132412363, 1242.06,  429.81,   22.99,  433.31,   26.08,  863.12,   49.07,2132395234,  912.19,   1334.47,    819.78,   2154.25
   91.37,  291.87,  315.69,  416.67,  407.06,  708.54,2132445519, 1115.60,  410.77,    5.15,  415.15,    8.45,  825.93,   13.60,2132423786,  839.52,   1232.99,    722.14,   1955.13
   88.54,  287.17,  306.69,  408.55,  395.22,  695.72,2134505384, 1090.94,  391.45,    3.07,  397.76,    6.42,  789.21,    9.49,2134534861,  798.71,   1184.43,    705.21,   1889.65
   86.79,  284.50,  299.71,  402.82,  386.50,  687.32,2132317623, 1073.83,  380.33,    2.78,  388.15,    6.11,  768.48,    8.89,2132301086,  777.37,   1154.98,    696.21,   1851.20
   85.81,  283.26,  296.43,  400.38,  382.24,  683.64,2134487111, 1065.89,  376.87,    2.64,  382.54,    5.97,  759.41,    8.61,2134482450,  768.02,   1141.65,    692.26,   1833.91
   84.24,  280.33,  290.28,  395.87,  374.51,  676.20,2132365381, 1050.71,  385.44,    3.95,  390.33,    7.29,  775.77,   11.24,2132318098,  787.01,   1150.28,    687.43,   1837.72
   83.79,  280.92,  289.43,  396.07,  373.22,  676.99,2134430108, 1050.21,  382.31,    3.03,  387.08,    6.35,  769.40,    9.39,2134459594,  778.78,   1142.62,    686.38,   1829.00
