System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,16:11:48.696,1.42,3.29,0.43,1.12,0.52,15.27,0.97,0.82,0.0000,0.0002, 16160,0.00,0.00,90,48,73599.39,22346.65,2599.41,6.59,164.68,2.83,70.79,0.16,1.17,0.13,1.21,0.68,12.29,0.94,0.88,0.0001,0.0015, 20960,0.00,0.00,89,48,8127.87,6937.15,2599.41,2.34,58.58,0.31,7.82,38.54,43.62,0.03,17.81,0.00,100.00,0.00,0.00,0.00,0.00,11.03,17.77,0.06,71.14,0.00,100.00,0.00,0.00,0.00,0.00,80.10,51.59,4.05 ,4.33 ,2228.08 ,192.44 ,3.00,3.00,3.99,3.86,1.03,1.12,0.01,1.69,1.00,0.12,0.0000,0.0002,   280,92.68,7.32,0.00,0.00,0.00,51,10370.77,2686.96,2599.41,7.72,192.98,7.98,199.49,
2024-02-26,16:11:49.697,0.32,3.06,0.11,1.12,0.06,12.67,1.00,0.60,0.0000,0.0008, 16040,0.14,0.22,99,49,16694.75,5462.24,2599.36,6.11,152.82,0.64,16.05,0.04,1.23,0.03,1.22,0.06,3.28,0.98,0.85,0.0000,0.0016, 23840,0.21,0.00,97,47,2012.45,1635.39,2599.36,2.46,61.53,0.08,1.94,9.42,72.05,0.01,18.52,0.00,100.00,0.00,0.00,0.00,0.00,2.59,28.38,0.17,68.87,0.00,100.00,0.00,0.00,0.00,0.00,79.06,51.89,4.27 ,4.41 ,539504.49 ,541525.94 ,3.00,3.00,0.91,3.56,0.25,1.12,0.00,1.60,1.00,0.13,0.0000,0.0007,   600,22.85,77.15,0.00,0.00,0.00,52,2357.69,662.58,2599.36,7.12,177.92,1.81,45.35,
2024-02-26,16:11:50.697,0.15,2.40,0.06,1.12,0.04,25.43,1.00,0.37,0.0000,0.0032, 17080,0.55,0.84,99,49,8030.52,3349.31,2597.06,4.80,119.88,0.31,7.73,0.03,1.54,0.02,1.22,0.03,3.23,0.99,0.40,0.0000,0.0020, 24600,0.81,0.02,98,47,1577.23,1024.95,2597.06,3.08,76.94,0.06,1.52,5.78,76.52,0.02,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.28,0.17,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.92,4.58 ,4.54 ,0.00 ,0.33 ,3.00,3.00,0.43,2.78,0.16,1.12,0.00,3.27,1.00,0.11,0.0000,0.0029,   880,14.03,85.97,0.00,0.00,0.00,51,1129.15,406.41,2597.06,5.56,138.92,0.87,21.74,
2024-02-26,16:11:51.697,0.15,2.39,0.06,1.12,0.04,25.95,1.00,0.36,0.0000,0.0033, 17400,0.51,0.79,99,48,7918.32,3308.96,2597.04,4.79,119.65,0.30,7.62,0.03,1.55,0.02,1.22,0.01,3.13,1.00,0.40,0.0000,0.0020, 24120,0.77,0.01,98,47,1578.48,1015.51,2597.04,3.11,77.72,0.06,1.52,5.71,76.61,0.01,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.25,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.28,51.91,4.56 ,4.52 ,0.00 ,0.17 ,3.00,3.00,0.43,2.76,0.15,1.12,0.00,3.36,1.00,0.11,0.0000,0.0030,  1080,13.86,86.14,0.00,0.00,0.00,52,1108.28,401.50,2597.04,5.52,138.02,0.85,21.34,
2024-02-26,16:11:52.697,0.15,2.32,0.06,1.12,0.06,26.96,1.00,0.35,0.0000,0.0034, 16920,0.49,0.76,99,49,7823.66,3371.63,2597.00,4.64,116.02,0.30,7.53,0.03,1.48,0.02,1.22,0.01,3.16,1.00,0.40,0.0000,0.0020, 23880,0.77,0.01,98,47,1559.31,1053.31,2597.00,2.96,74.02,0.06,1.50,5.82,76.53,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.33,0.14,69.86,0.00,100.00,0.00,0.00,0.00,0.00,78.22,51.96,4.55 ,4.53 ,0.00 ,0.10 ,3.00,3.00,0.42,2.66,0.16,1.12,0.00,3.49,1.00,0.11,0.0000,0.0032,  1440,14.10,85.90,0.00,0.00,0.00,51,1087.69,408.51,2597.00,5.33,133.13,0.84,20.94,
2024-02-26,16:11:53.697,0.15,2.32,0.07,1.12,0.06,27.64,1.00,0.35,0.0000,0.0035, 16680,0.47,0.74,99,49,7853.83,3391.84,2596.98,4.63,115.78,0.30,7.56,0.03,1.53,0.02,1.22,0.02,3.19,0.99,0.40,0.0000,0.0021, 23960,0.77,0.01,97,47,1549.37,1010.26,2596.98,3.07,76.68,0.06,1.49,5.85,76.73,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.36,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.21,51.95,4.55 ,4.53 ,0.24 ,0.15 ,3.00,3.00,0.42,2.64,0.16,1.12,0.00,3.59,1.00,0.12,0.0000,0.0033,  1200,14.19,85.81,0.00,0.00,0.00,51,1086.68,411.08,2596.98,5.29,132.17,0.84,20.92,
2024-02-26,16:11:54.697,0.15,2.36,0.06,1.12,0.03,26.27,1.00,0.35,0.0000,0.0034, 17280,0.45,0.72,99,48,7627.03,3232.09,2596.85,4.72,117.99,0.29,7.34,0.03,1.51,0.02,1.22,0.02,3.21,0.99,0.43,0.0000,0.0021, 25400,0.77,0.01,98,47,1555.57,1027.54,2596.85,3.03,75.69,0.06,1.50,5.58,77.06,0.01,17.35,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.49,0.13,69.75,0.00,100.00,0.00,0.00,0.00,0.00,78.41,51.95,4.53 ,4.52 ,0.33 ,0.03 ,3.00,3.00,0.40,2.65,0.15,1.12,0.00,3.42,1.00,0.12,0.0000,0.0033,  1520,13.60,86.40,0.00,0.00,0.00,51,1045.21,393.96,2596.85,5.31,132.65,0.80,20.12,
2024-02-26,16:11:55.697,0.15,2.29,0.07,1.12,0.05,28.12,1.00,0.35,0.0000,0.0036, 17480,0.44,0.71,99,48,7780.66,3400.99,2597.66,4.58,114.39,0.30,7.49,0.03,1.51,0.02,1.22,0.02,3.26,0.99,0.40,0.0000,0.0021, 24680,0.78,0.01,98,47,1564.51,1035.95,2597.66,3.02,75.51,0.06,1.51,5.87,77.15,0.02,16.95,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.59,0.14,69.63,0.00,100.00,0.00,0.00,0.00,0.00,78.51,51.97,4.52 ,4.53 ,0.27 ,0.20 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.67,1.00,0.12,0.0000,0.0034,  1600,14.10,85.90,0.00,0.00,0.00,50,1067.31,408.58,2597.66,5.22,130.61,0.82,20.54,
2024-02-26,16:11:56.697,0.15,2.30,0.06,1.12,0.05,28.40,1.00,0.34,0.0000,0.0037, 17640,0.43,0.71,99,48,7730.09,3359.93,2596.96,4.60,115.03,0.30,7.44,0.03,1.50,0.02,1.22,0.02,3.13,0.99,0.40,0.0000,0.0021, 24720,0.78,0.01,98,46,1525.39,1017.24,2596.96,3.00,74.98,0.06,1.47,5.80,76.56,0.03,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.20,0.14,70.05,0.00,100.00,0.00,0.00,0.00,0.00,78.29,51.91,4.53 ,4.52 ,0.33 ,0.17 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,3.69,1.00,0.12,0.0000,0.0035,  1600,14.11,85.89,0.00,0.00,0.00,50,1063.19,408.78,2596.96,5.20,130.04,0.82,20.47,
2024-02-26,16:11:57.697,0.15,2.28,0.06,1.12,0.05,28.26,1.00,0.34,0.0000,0.0037, 17560,0.42,0.70,99,48,7610.80,3338.13,2597.05,4.56,114.00,0.29,7.33,0.03,1.56,0.02,1.22,0.01,3.13,1.00,0.40,0.0000,0.0020, 24200,0.76,0.01,97,46,1578.21,1012.45,2597.05,3.12,77.94,0.06,1.52,5.76,76.57,0.02,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.19,0.12,70.09,0.00,100.00,0.00,0.00,0.00,0.00,78.44,51.98,4.51 ,4.51 ,0.23 ,0.30 ,3.00,3.00,0.40,2.56,0.16,1.12,0.00,3.68,1.00,0.12,0.0000,0.0035,  1720,14.01,85.99,0.00,0.00,0.00,50,1038.62,405.76,2597.05,5.12,127.99,0.80,20.00,
2024-02-26,16:11:58.698,0.15,2.29,0.06,1.12,0.08,27.65,1.00,0.35,0.0000,0.0036, 18240,0.45,0.73,98,47,7651.09,3344.85,2596.97,4.57,114.37,0.29,7.36,0.03,1.48,0.02,1.21,0.05,3.44,0.98,0.45,0.0000,0.0021, 23720,0.82,0.04,95,47,1601.27,1079.54,2596.97,2.97,74.16,0.06,1.54,5.77,77.38,0.05,16.80,0.00,100.00,0.00,0.00,0.00,0.00,1.72,30.67,0.26,67.35,0.00,100.00,0.00,0.00,0.00,0.00,78.69,52.70,4.53 ,4.55 ,0.33 ,0.33 ,3.00,3.00,0.40,2.63,0.15,1.12,0.00,3.59,1.00,0.12,0.0000,0.0034,  1080,13.81,86.19,0.00,0.00,0.00,49,1051.33,400.14,2596.97,5.25,131.37,0.81,20.24,
