System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core6 (Socket 0)-EXEC,Core6 (Socket 0)-IPC,Core6 (Socket 0)-FREQ,Core6 (Socket 0)-AFREQ,Core6 (Socket 0)-L3MISS,Core6 (Socket 0)-L2MISS,Core6 (Socket 0)-L3HIT,Core6 (Socket 0)-L2HIT,Core6 (Socket 0)-L3MPI,Core6 (Socket 0)-L2MPI,Core6 (Socket 0)-L3OCC,Core6 (Socket 0)-C0res%,Core6 (Socket 0)-C1res%,Core6 (Socket 0)-C3res%,Core6 (Socket 0)-C6res%,Core6 (Socket 0)-C7res%,Core6 (Socket 0)-TEMP,Core6 (Socket 0)-INST,Core6 (Socket 0)-ACYC,Core6 (Socket 0)-TIME(ticks),Core6 (Socket 0)-PhysIPC,Core6 (Socket 0)-PhysIPC%,Core6 (Socket 0)-INSTnom,Core6 (Socket 0)-INSTnom%,-
2024-02-26,16:11:49.724,0.32,3.09,0.10,1.12,0.08,13.07,0.99,0.59,0.0000,0.0008, 16080,0.16,0.25,99,50,16416.35,5307.53,2598.70,6.19,154.65,0.63,15.79,0.04,1.26,0.03,1.21,0.08,3.69,0.98,0.81,0.0000,0.0018, 24040,0.23,0.01,97,47,2025.60,1613.30,2598.70,2.51,62.78,0.08,1.95,9.15,72.32,0.01,18.51,0.00,100.00,0.00,0.00,0.00,0.00,2.55,28.40,0.19,68.85,0.00,100.00,0.00,0.00,0.00,0.00,79.03,51.84,4.28 ,4.41 ,2354949.27 ,2393534.49 ,3.00,3.00,0.89,3.57,0.25,1.12,0.01,1.49,1.00,0.10,0.0000,0.0006,   400,22.31,77.69,0.00,0.00,0.00,53,2307.06,646.85,2598.70,7.13,178.33,1.78,44.39,
2024-02-26,16:11:50.724,0.16,2.39,0.06,1.12,0.03,25.54,1.00,0.37,0.0000,0.0032, 16840,0.55,0.83,99,49,8059.86,3370.05,2597.23,4.78,119.58,0.31,7.76,0.03,1.52,0.02,1.22,0.02,3.17,0.99,0.40,0.0000,0.0020, 24600,0.81,0.02,98,47,1561.26,1024.89,2597.23,3.05,76.17,0.06,1.50,5.82,76.48,0.02,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.27,0.15,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.92,4.58 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.44,2.77,0.16,1.12,0.00,3.03,1.00,0.10,0.0000,0.0027,   560,14.16,85.84,0.00,0.00,0.00,53,1138.07,410.17,2597.23,5.55,138.73,0.88,21.91,
2024-02-26,16:11:51.724,0.15,2.38,0.06,1.12,0.05,26.56,1.00,0.36,0.0000,0.0033, 17160,0.51,0.78,99,49,7986.06,3361.76,2596.89,4.75,118.78,0.31,7.69,0.03,1.52,0.02,1.22,0.01,3.16,1.00,0.40,0.0000,0.0020, 24240,0.77,0.01,98,46,1574.36,1032.58,2596.89,3.05,76.23,0.06,1.52,5.80,76.51,0.02,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.22,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.26,51.91,4.56 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.43,2.74,0.16,1.12,0.00,3.18,1.00,0.10,0.0000,0.0028,   760,14.21,85.79,0.00,0.00,0.00,52,1127.68,411.74,2596.89,5.48,136.94,0.87,21.71,
2024-02-26,16:11:52.724,0.15,2.33,0.06,1.12,0.04,26.07,1.00,0.36,0.0000,0.0034, 16800,0.49,0.76,99,49,7607.38,3265.90,2596.69,4.66,116.47,0.29,7.32,0.03,1.53,0.02,1.22,0.02,3.25,0.99,0.40,0.0000,0.0021, 23840,0.77,0.01,98,47,1551.56,1011.94,2596.69,3.07,76.66,0.06,1.49,5.64,76.70,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.39,0.14,69.88,0.00,100.00,0.00,0.00,0.00,0.00,78.14,51.98,4.55 ,4.53 ,471229.32 ,470808.56 ,3.00,3.00,0.41,2.70,0.15,1.12,0.00,3.13,1.00,0.10,0.0000,0.0029,   680,13.62,86.38,0.00,0.00,0.00,51,1065.35,394.57,2596.69,5.40,135.00,0.82,20.51,
2024-02-26,16:11:53.724,0.15,2.33,0.06,1.12,0.05,27.49,1.00,0.35,0.0000,0.0035, 16360,0.47,0.74,99,48,7770.74,3339.54,2596.89,4.65,116.34,0.30,7.48,0.03,1.49,0.02,1.22,0.01,3.07,1.00,0.40,0.0000,0.0020, 23920,0.77,0.01,97,47,1521.93,1018.30,2596.89,2.99,74.73,0.06,1.47,5.76,76.82,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.35,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.30,51.88,4.55 ,4.52 ,0.30 ,0.30 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,3.32,1.00,0.10,0.0000,0.0030,   640,14.09,85.91,0.00,0.00,0.00,51,1094.26,408.00,2596.89,5.36,134.10,0.84,21.07,
2024-02-26,16:11:54.725,0.15,2.33,0.06,1.12,0.03,27.70,1.00,0.35,0.0000,0.0036, 17040,0.45,0.72,99,48,7769.06,3339.68,2599.40,4.65,116.31,0.30,7.47,0.03,1.54,0.02,1.22,0.03,3.18,0.99,0.40,0.0000,0.0020, 25320,0.78,0.01,98,46,1579.23,1024.64,2599.40,3.08,77.06,0.06,1.52,5.76,76.97,0.01,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.57,0.13,69.69,0.00,100.00,0.00,0.00,0.00,0.00,78.42,52.01,4.53 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.42,2.67,0.16,1.12,0.00,3.37,1.00,0.10,0.0000,0.0031,   680,14.06,85.94,0.00,0.00,0.00,51,1087.24,407.70,2599.40,5.33,133.34,0.84,20.91,
2024-02-26,16:11:55.725,0.15,2.27,0.06,1.12,0.05,27.56,1.00,0.35,0.0000,0.0036, 17560,0.44,0.71,99,48,7587.87,3339.03,2596.87,4.54,113.62,0.29,7.30,0.03,1.52,0.02,1.22,0.02,3.19,0.99,0.40,0.0000,0.0020, 24640,0.78,0.01,98,46,1565.53,1030.50,2596.87,3.04,75.96,0.06,1.51,5.76,77.17,0.02,17.04,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.53,0.14,69.70,0.00,100.00,0.00,0.00,0.00,0.00,78.50,51.97,4.52 ,4.53 ,0.03 ,0.20 ,3.00,3.00,0.41,2.62,0.16,1.12,0.00,3.36,1.00,0.10,0.0000,0.0032,   720,13.92,86.08,0.00,0.00,0.00,50,1055.30,403.32,2596.87,5.23,130.83,0.81,20.32,
2024-02-26,16:11:56.725,0.15,2.31,0.06,1.12,0.05,27.94,1.00,0.34,0.0000,0.0037, 17800,0.43,0.71,99,48,7614.13,3292.44,2596.85,4.63,115.63,0.29,7.33,0.03,1.52,0.02,1.22,0.02,3.16,0.99,0.40,0.0000,0.0020, 24760,0.78,0.01,98,46,1545.58,1018.89,2596.85,3.03,75.85,0.06,1.49,5.68,76.67,0.04,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.20,0.14,70.05,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.96,4.53 ,4.53 ,0.33 ,0.20 ,3.00,3.00,0.41,2.65,0.15,1.12,0.00,3.41,1.00,0.10,0.0000,0.0032,   840,13.82,86.18,0.00,0.00,0.00,51,1059.17,400.30,2596.85,5.29,132.30,0.82,20.39,
2024-02-26,16:11:57.724,0.15,2.27,0.06,1.12,0.06,28.38,1.00,0.34,0.0000,0.0037, 17520,0.42,0.70,99,48,7618.09,3356.84,2596.78,4.54,113.47,0.29,7.33,0.03,1.53,0.02,1.22,0.01,3.16,1.00,0.40,0.0000,0.0020, 24200,0.76,0.01,97,46,1558.79,1018.38,2596.78,3.06,76.53,0.06,1.50,5.79,76.53,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.18,0.12,70.09,0.00,100.00,0.00,0.00,0.00,0.00,78.45,51.94,4.51 ,4.51 ,0.00 ,0.30 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,3.47,1.00,0.10,0.0000,0.0033,  1040,14.09,85.91,0.00,0.00,0.00,51,1061.06,408.03,2596.78,5.20,130.02,0.82,20.43,
2024-02-26,16:11:58.724,0.15,2.26,0.07,1.12,0.09,27.65,1.00,0.35,0.0000,0.0036, 17920,0.45,0.74,98,46,7743.85,3421.22,2596.91,4.53,113.17,0.30,7.45,0.03,1.41,0.02,1.20,0.08,3.53,0.98,0.44,0.0000,0.0022, 23880,0.82,0.04,95,47,1586.73,1121.65,2596.91,2.83,70.73,0.06,1.53,5.91,77.31,0.06,16.72,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.73,0.26,67.22,0.00,100.00,0.00,0.00,0.00,0.00,78.62,52.72,4.53 ,4.55 ,0.00 ,0.00 ,3.00,3.00,0.42,2.66,0.16,1.12,0.00,3.32,1.00,0.10,0.0000,0.0030,   760,14.19,85.81,0.00,0.00,0.00,51,1094.41,411.12,2596.91,5.32,133.10,0.84,21.07,
