Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708960306,Device: id=0,TX,0.41054543738098,1162.4678581843,1228.1551281652,414608,146745666
1708960306,Device: id=0,TX,0.29146051366006,827.16447347807,873.79815566368,708398,250967610
1708960307,Device: id=0,TX,0.36705270948791,1038.7804545824,1097.5088881004,1087198,384970856
1708960308,Device: id=0,TX,0.43162584051303,1221.1990666323,1290.2592011144,1519001,537683394
1708960309,Device: id=0,TX,2.0464889996219,5790.1172742401,6117.5555141797,3565506,1261453712
1708960310,Device: id=0,TX,3.3186359329883,9378.6769582592,9909.6587075373,6884179,2433801426
1708960311,Device: id=0,TX,3.3180199785113,9383.045239707,9913.9284362688,10202204,3606683856
1708960312,Device: id=0,TX,3.317200961294,9380.9257992911,9911.6779530982,13519426,4779307018
1708960313,Device: id=0,TX,3.3178357463099,9386.4661942629,9917.3199136725,16837273,5952619272
1708960314,Device: id=0,TX,3.3050125128318,9348.8484350043,9877.6504370574,20142331,7121241410
1708960315,Device: id=0,TX,3.3199565439361,9383.4165908349,9914.6096378646,23462332,8294184190
1708960316,Device: id=0,TX,3.3203675628681,9387.6723864389,9918.9311964978,26782749,9467660710
