System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-03-08,19:35:02.760,0.41,3.26,0.13,1.12,0.09,10.20,0.99,0.70,0.0000,0.0005, 15720,0.10,0.15,99,47,21312.84,6541.70,2599.49,6.52,162.90,0.82,20.50,0.05,1.25,0.04,1.22,0.08,4.20,0.98,0.84,0.0000,0.0018, 23360,0.15,0.01,97,45,2379.94,1898.50,2599.49,2.51,62.68,0.09,2.29,11.28,70.10,0.03,18.59,0.00,100.00,0.00,0.00,0.00,0.00,3.00,28.10,0.18,68.72,0.00,100.00,0.00,0.00,0.00,0.00,79.76,52.24,4.18 ,4.35 ,626396.38 ,630021.13 ,3.00,3.00,1.16,3.74,0.31,1.12,0.01,1.43,0.99,0.11,0.0000,0.0005,  2120,27.74,72.26,0.00,0.00,0.00,50,3007.14,804.24,2599.49,7.48,186.96,2.31,57.84,
2024-03-08,19:35:03.760,0.15,2.43,0.06,1.12,0.03,24.48,1.00,0.38,0.0000,0.0031, 15560,0.55,0.84,99,47,7999.23,3288.09,2595.61,4.87,121.64,0.31,7.70,0.03,1.49,0.02,1.22,0.03,3.17,0.99,0.40,0.0000,0.0020, 24080,0.81,0.01,98,45,1560.47,1048.80,2595.61,2.98,74.39,0.06,1.50,5.68,76.66,0.01,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.22,0.16,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.34,4.56 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.42,2.74,0.15,1.12,0.00,3.52,1.00,0.09,0.0000,0.0032,  2320,13.75,86.25,0.00,0.00,0.00,50,1089.50,397.95,2595.61,5.48,136.89,0.84,20.99,
2024-03-08,19:35:04.760,0.15,2.38,0.06,1.12,0.04,26.04,1.00,0.37,0.0000,0.0033, 16440,0.51,0.79,99,47,7999.51,3360.50,2597.64,4.76,119.02,0.31,7.70,0.03,1.54,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 24160,0.77,0.01,98,46,1562.12,1013.65,2597.64,3.08,77.05,0.06,1.50,5.80,76.59,0.00,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.31,0.13,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.75,52.37,4.57 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,3.76,1.00,0.10,0.0000,0.0035,  2440,14.00,86.00,0.00,0.00,0.00,50,1087.17,405.71,2597.64,5.36,133.98,0.84,20.93,
2024-03-08,19:35:05.760,0.15,2.36,0.06,1.12,0.05,26.45,1.00,0.36,0.0000,0.0034, 16520,0.48,0.76,99,46,7831.16,3314.48,2597.69,4.73,118.14,0.30,7.54,0.03,1.49,0.02,1.22,0.01,3.15,1.00,0.39,0.0000,0.0021, 23880,0.77,0.01,98,45,1531.33,1027.57,2597.69,2.98,74.51,0.06,1.47,5.72,76.66,0.00,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.21,0.12,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.64,52.36,4.53 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.41,2.65,0.15,1.12,0.01,3.81,1.00,0.10,0.0000,0.0036,  2320,13.88,86.12,0.00,0.00,0.00,49,1067.38,402.21,2597.69,5.31,132.69,0.82,20.54,
2024-03-08,19:35:06.760,0.15,2.34,0.06,1.12,0.05,26.78,1.00,0.35,0.0000,0.0035, 17840,0.45,0.74,99,46,7744.18,3310.73,2597.62,4.68,116.96,0.30,7.45,0.03,1.52,0.02,1.22,0.01,3.19,1.00,0.40,0.0000,0.0020, 23000,0.77,0.01,98,45,1563.61,1026.24,2597.62,3.05,76.18,0.06,1.50,5.71,76.79,0.02,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.34,0.13,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.35,4.53 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.41,2.66,0.15,1.12,0.00,3.85,1.00,0.10,0.0000,0.0036,  2600,13.79,86.21,0.00,0.00,0.00,49,1062.78,399.51,2597.62,5.32,133.01,0.82,20.46,
2024-03-08,19:35:07.761,0.15,2.32,0.06,1.12,0.04,26.85,1.00,0.36,0.0000,0.0035, 16920,0.44,0.72,99,46,7653.10,3304.62,2597.74,4.63,115.79,0.29,7.37,0.03,1.52,0.02,1.22,0.02,3.10,0.99,0.40,0.0000,0.0020, 23120,0.75,0.01,98,44,1551.58,1024.14,2597.74,3.03,75.75,0.06,1.49,5.70,77.15,0.01,17.14,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.90,0.14,69.35,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.51,4.51 ,4.49 ,0.33 ,0.33 ,3.00,3.00,0.40,2.59,0.15,1.12,0.00,3.84,1.00,0.10,0.0000,0.0037,  3200,13.85,86.15,0.00,0.00,0.00,49,1037.45,401.30,2597.74,5.17,129.26,0.80,19.97,
2024-03-08,19:35:08.761,0.15,2.32,0.06,1.12,0.04,27.67,1.00,0.35,0.0000,0.0036, 17440,0.43,0.71,99,46,7775.23,3346.55,2598.30,4.65,116.17,0.30,7.48,0.03,1.46,0.02,1.22,0.02,3.14,0.99,0.39,0.0000,0.0021, 23400,0.77,0.01,98,45,1518.52,1036.93,2598.30,2.93,73.22,0.06,1.46,5.77,76.85,0.01,17.36,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.55,0.16,69.66,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.41,4.52 ,4.51 ,0.33 ,0.33 ,3.00,3.00,0.40,2.59,0.16,1.12,0.00,3.96,1.00,0.11,0.0000,0.0038,  3520,13.98,86.02,0.00,0.00,0.00,49,1048.32,405.03,2598.30,5.18,129.41,0.81,20.17,
2024-03-08,19:35:09.761,0.15,2.31,0.06,1.12,0.04,27.71,1.00,0.35,0.0000,0.0036, 17560,0.42,0.71,99,46,7687.75,3330.73,2597.40,4.62,115.41,0.30,7.40,0.03,1.58,0.02,1.23,0.01,3.19,1.00,0.40,0.0000,0.0020, 23120,0.78,0.01,98,44,1575.78,996.81,2597.40,3.16,79.04,0.06,1.52,5.75,76.71,0.02,17.52,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.27,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.78,52.41,4.51 ,4.51 ,0.33 ,0.33 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.98,1.00,0.10,0.0000,0.0038,  3160,13.98,86.02,0.00,0.00,0.00,48,1058.56,405.05,2597.40,5.23,130.67,0.82,20.38,
2024-03-08,19:35:10.762,0.14,2.15,0.07,1.12,0.15,25.69,0.99,0.37,0.0000,0.0034, 17520,0.47,0.75,98,45,7519.42,3500.70,2597.81,4.30,107.40,0.29,7.24,0.03,1.27,0.02,1.19,0.04,3.34,0.99,0.41,0.0000,0.0022, 24680,0.80,0.02,95,46,1537.37,1213.00,2597.81,2.53,63.37,0.06,1.48,6.04,78.40,0.03,15.53,0.00,100.00,0.00,0.00,0.00,0.00,1.95,31.90,0.22,65.93,0.00,100.00,0.00,0.00,0.00,0.00,79.19,53.42,4.53 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.39,2.57,0.15,1.12,0.00,3.63,1.00,0.10,0.0000,0.0036,  1200,13.57,86.43,0.00,0.00,0.00,48,1010.25,393.14,2597.81,5.14,128.49,0.78,19.44,
2024-03-08,19:35:11.761,0.15,2.32,0.07,1.12,0.05,27.72,1.00,0.36,0.0000,0.0035, 16680,0.42,0.78,99,46,7863.04,3388.55,2595.90,4.64,116.02,0.30,7.57,0.03,1.52,0.02,1.22,0.03,3.21,0.99,0.40,0.0000,0.0021, 24200,0.83,0.02,97,45,1556.23,1023.15,2595.90,3.04,76.05,0.06,1.50,5.85,76.52,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.62,29.03,0.20,69.16,0.00,100.00,0.00,0.00,0.00,0.00,78.82,52.58,4.51 ,4.51 ,0.00 ,473695.10 ,3.00,3.00,0.40,2.57,0.16,1.12,0.00,3.98,1.00,0.10,0.0000,0.0038,  2640,14.05,85.95,0.00,0.00,0.00,47,1043.99,406.94,2595.90,5.13,128.27,0.80,20.11,
