Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1639362760,3947104,1509004,143916416,16158240,140,623294(Total)
0,175364,2595054,26040,491204,7882686,140,632324(Miss)
0,1639187396,1352050,1482964,143425212,8275554,0,0(Hit)
1,71950536,230398,4305728,16297582,0,52668,310212(Total)
1,10120110,0,4298,152446,0,52108,313222(Miss)
1,61830426,230398,4301430,16145136,0,560,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21287462,4349912,1593130,150238746,15922340,140,649362(Total)
0,148330,2051504,25760,595756,7625884,140,612038(Miss)
0,21139132,2298408,1567370,149642990,8296456,0,37324(Hit)
1,20973302,231140,4515154,16552760,0,52486,308924(Total)
1,12160302,0,2730,21140,0,52626,314482(Miss)
