skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
1639362760.0,3947104.0,1509004.0,143916416.0,16158240.0,140.0,623294.0,175364.0,2595054.0,26040.0,491204.0,7882686.0,140.0,632324.0,1639187396.0,1352050.0,1482964.0,143425212.0,8275554.0,0.0,0.0,71950536.0,230398.0,4305728.0,16297582.0,0.0,52668.0,310212.0,10120110.0,0.0,4298.0,152446.0,0.0,52108.0,313222.0,61830426.0,230398.0,4301430.0,16145136.0,0.0,560.0,0.0
21287462.0,4349912.0,1593130.0,150238746.0,15922340.0,140.0,649362.0,148330.0,2051504.0,25760.0,595756.0,7625884.0,140.0,612038.0,21139132.0,2298408.0,1567370.0,149642990.0,8296456.0,0.0,37324.0,20973302.0,231140.0,4515154.0,16552760.0,0.0,52486.0,308924.0,12160302.0,0.0,2730.0,21140.0,0.0,52626.0,314482.0,8813000.0,231140.0,4512424.0,16531620.0,0.0,0.0,0.0
21628740.0,4593246.0,1517222.0,154958944.0,15673672.0,140.0,686574.0,127498.0,1681638.0,29036.0,656418.0,7489734.0,0.0,709156.0,21501242.0,2911608.0,1488186.0,154302526.0,8183938.0,140.0,0.0,21027524.0,232806.0,4587548.0,16563400.0,0.0,52430.0,310184.0,11618026.0,0.0,2324.0,66080.0,0.0,52934.0,313194.0,9409498.0,232806.0,4585224.0,16497320.0,0.0,0.0,0.0
21789026.0,4673116.0,1634094.0,158760154.0,15586046.0,140.0,705978.0,86646.0,1463434.0,22526.0,671636.0,7452004.0,0.0,675654.0,21702380.0,3209682.0,1611568.0,158088518.0,8134042.0,140.0,30324.0,20962900.0,232288.0,4580632.0,17031028.0,0.0,52220.0,309554.0,11828292.0,0.0,2772.0,76692.0,0.0,53074.0,313460.0,9134608.0,232288.0,4577860.0,16954336.0,0.0,0.0,0.0
22059114.0,4856012.0,1621200.0,159205564.0,15574916.0,140.0,738962.0,98042.0,1331988.0,27818.0,692790.0,7470904.0,0.0,758016.0,21961072.0,3524024.0,1593382.0,158512774.0,8104012.0,140.0,0.0,21144816.0,231868.0,4436194.0,17195500.0,0.0,52346.0,308924.0,11667012.0,0.0,2296.0,21770.0,0.0,53130.0,314286.0,9477804.0,231868.0,4433898.0,17173730.0,0.0,0.0,0.0
22512938.0,5024782.0,1616272.0,158020506.0,15569064.0,140.0,746004.0,39424.0,1247610.0,26866.0,694652.0,7423794.0,14.0,743890.0,22473514.0,3777172.0,1589406.0,157325854.0,8145270.0,126.0,2114.0,21417074.0,231644.0,4437986.0,17234070.0,0.0,52780.0,308714.0,11275922.0,0.0,2394.0,59458.0,0.0,52836.0,312606.0,10141152.0,231644.0,4435592.0,17174612.0,0.0,0.0,0.0
22561714.0,5192628.0,1551270.0,159231100.0,15551676.0,112.0,770140.0,78876.0,1197504.0,38094.0,697368.0,7495432.0,14.0,783244.0,22482838.0,3995124.0,1513176.0,158533732.0,8056244.0,98.0,0.0,21413672.0,232848.0,4669112.0,16841426.0,0.0,52822.0,308406.0,11586582.0,0.0,2604.0,82824.0,0.0,52682.0,312228.0,9827090.0,232848.0,4666508.0,16758602.0,0.0,140.0,0.0
22536192.0,5375524.0,1649410.0,161106764.0,15542702.0,140.0,741706.0,109018.0,1190966.0,23842.0,758730.0,7356230.0,14.0,775600.0,22427174.0,4184558.0,1625568.0,160348034.0,8186472.0,126.0,0.0,21417998.0,232890.0,4458790.0,16420278.0,0.0,53130.0,313292.0,11610872.0,0.0,2464.0,27258.0,0.0,52682.0,313194.0,9807126.0,232890.0,4456326.0,16393020.0,0.0,448.0,98.0
14801556.0,3784984.0,2166598.0,159495574.0,15380134.0,140.0,746956.0,193242.0,1377992.0,109312.0,480228.0,8012466.0,14.0,811188.0,14608314.0,2406992.0,2057286.0,159015346.0,7367668.0,126.0,0.0,21037856.0,230958.0,5166056.0,16388596.0,0.0,52780.0,312760.0,12009592.0,0.0,22834.0,49994.0,0.0,52850.0,310324.0,9028264.0,230958.0,5143222.0,16338602.0,0.0,0.0,2436.0
22492232.0,5667522.0,1661590.0,165613294.0,15341256.0,140.0,737016.0,85988.0,1218182.0,20314.0,567644.0,7344680.0,0.0,815458.0,22406244.0,4449340.0,1641276.0,165045650.0,7996576.0,140.0,0.0,21533638.0,234304.0,4496310.0,16605064.0,0.0,52514.0,311430.0,12085080.0,0.0,2604.0,23184.0,0.0,52948.0,310142.0,9448558.0,234304.0,4493706.0,16581880.0,0.0,0.0,1288.0
22829534.0,4404904.0,2563666.0,124066376.0,15198834.0,0.0,712670.0,75054.0,1177176.0,286552.0,1595594.0,10180604.0,140.0,492674.0,22754480.0,3227728.0,2277114.0,122470782.0,5018230.0,0.0,219996.0,21537600.0,233310.0,6007358.0,32089442.0,0.0,52990.0,313264.0,11971428.0,0.0,53018.0,1224510.0,0.0,52920.0,309330.0,9566172.0,233310.0,5954340.0,30864932.0,0.0,70.0,3934.0
