System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-05,08:57:06.136,1.03,3.49,0.29,1.12,0.29,4.94,0.94,0.77,0.0000,0.0001, 21760,18446744073.71,18446744073.71,100,49,53317.75,15272.26,2598.86,6.98,174.56,2.05,51.29,0.18,1.39,0.13,1.18,0.23,6.38,0.96,0.94,0.0000,0.0007, 19840,18446744073.71,18446744073.71,99,49,9237.74,6663.08,2598.86,2.77,69.32,0.36,8.89,26.34,45.56,0.01,28.09,0.00,100.00,0.00,0.00,0.00,0.00,10.91,24.23,0.06,64.80,0.00,100.00,0.00,0.00,0.00,0.00,74.76,54.65,4.05 ,4.28 ,261.50 ,110.64 ,3.00,3.00,1.63,1.90,0.86,1.18,0.13,3.06,0.96,0.94,0.0000,0.0007, 16520,72.76,27.24,0.00,0.00,0.00,49,4242.64,2236.06,2598.86,3.79,94.87,3.27,81.63,
2024-03-05,08:57:07.137,0.24,3.13,0.08,1.12,0.14,5.07,0.97,0.40,0.0000,0.0004, 24160,0.31,0.19,99,49,12604.07,4025.96,2599.75,6.26,156.54,0.48,12.12,0.05,1.49,0.03,1.17,0.09,2.18,0.96,0.91,0.0000,0.0008, 21440,0.09,0.01,94,48,2649.09,1781.45,2599.75,2.97,74.35,0.10,2.55,6.94,67.68,0.09,25.30,0.00,100.00,0.00,0.00,0.00,0.00,2.92,35.67,0.28,61.12,0.00,100.00,0.00,0.00,0.00,0.00,74.44,56.48,4.30 ,4.31 ,533789.02 ,536646.86 ,3.00,3.00,0.48,2.25,0.22,1.18,0.03,0.94,0.97,0.91,0.0000,0.0007, 15240,18.22,81.78,0.00,0.00,0.00,47,1261.02,560.08,2599.75,4.50,112.58,0.97,24.25,
2024-03-05,08:57:08.136,0.16,2.50,0.06,1.12,0.18,7.86,0.98,0.43,0.0000,0.0009, 24480,0.74,0.44,99,50,8280.01,3311.00,2595.33,5.00,125.04,0.32,7.98,0.03,1.65,0.02,1.21,0.02,1.41,0.99,0.68,0.0000,0.0008, 22080,0.20,0.01,93,46,1797.04,1085.89,2595.33,3.31,82.75,0.07,1.73,5.72,75.04,0.01,19.22,0.00,100.00,0.00,0.00,0.00,0.00,1.73,30.06,0.15,68.06,0.00,100.00,0.00,0.00,0.00,0.00,76.05,52.95,4.46 ,4.31 ,0.33 ,0.33 ,3.00,3.00,0.49,2.92,0.17,1.22,0.01,0.57,0.99,0.39,0.0000,0.0004, 11080,13.75,86.25,0.00,0.00,0.00,45,1271.36,435.42,2595.33,5.84,145.99,0.98,24.50,
2024-03-05,08:57:09.136,0.16,2.53,0.06,1.12,0.17,7.91,0.98,0.48,0.0000,0.0009, 24120,0.74,0.44,99,48,8456.99,3347.97,2597.13,5.05,126.30,0.33,8.14,0.03,1.64,0.02,1.22,0.01,1.40,0.99,0.36,0.0000,0.0008, 22120,0.19,0.01,93,46,1708.30,1043.23,2597.13,3.28,81.88,0.07,1.64,5.78,76.65,0.03,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.31,0.16,69.89,0.00,100.00,0.00,0.00,0.00,0.00,77.00,52.01,4.46 ,4.30 ,0.33 ,0.33 ,3.00,3.00,0.51,2.99,0.17,1.23,0.00,0.57,0.99,0.39,0.0000,0.0004,  9840,13.91,86.09,0.00,0.00,0.00,47,1332.22,445.92,2597.13,5.98,149.38,1.03,25.65,
2024-03-05,08:57:10.137,0.16,2.37,0.07,1.12,0.23,7.54,0.97,0.49,0.0000,0.0009, 24080,0.76,0.46,97,49,8207.73,3465.89,2597.36,4.74,118.41,0.32,7.90,0.03,1.43,0.02,1.20,0.12,2.07,0.94,0.43,0.0001,0.0012, 25040,0.25,0.05,85,46,1696.53,1188.43,2597.36,2.86,71.38,0.07,1.63,5.98,77.47,0.10,16.45,0.00,100.00,0.00,0.00,0.00,0.00,1.91,31.87,0.25,65.98,0.00,100.00,0.00,0.00,0.00,0.00,77.03,53.15,4.47 ,4.36 ,0.33 ,0.33 ,3.00,3.00,0.49,2.88,0.17,1.22,0.01,0.57,0.99,0.40,0.0000,0.0004,  1160,14.00,86.00,0.00,0.00,0.00,46,1281.06,444.36,2597.36,5.77,144.15,0.99,24.66,
2024-03-05,08:57:11.137,0.16,2.50,0.07,1.12,0.18,7.81,0.98,0.48,0.0000,0.0009, 22800,0.75,0.45,99,46,8522.08,3405.44,2597.92,5.00,125.12,0.33,8.20,0.03,1.59,0.02,1.22,0.03,1.42,0.98,0.37,0.0000,0.0008, 24760,0.21,0.01,92,46,1720.72,1084.27,2597.92,3.17,79.35,0.07,1.66,5.88,76.73,0.03,17.37,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.47,0.16,69.65,0.00,100.00,0.00,0.00,0.00,0.00,77.08,52.10,4.48 ,4.32 ,0.33 ,0.33 ,3.00,3.00,0.52,2.99,0.17,1.24,0.01,0.55,0.99,0.40,0.0000,0.0004,  5520,13.95,86.05,0.00,0.00,0.00,46,1341.20,448.08,2597.92,5.99,149.66,1.03,25.82,
2024-03-05,08:57:12.137,0.16,2.53,0.06,1.12,0.18,7.86,0.98,0.48,0.0000,0.0009, 23680,0.74,0.44,99,47,8509.76,3363.98,2597.70,5.06,126.48,0.33,8.19,0.03,1.69,0.02,1.22,0.01,1.35,0.99,0.37,0.0000,0.0008, 23480,0.20,0.01,93,46,1660.11,980.51,2597.70,3.39,84.66,0.06,1.60,5.81,76.97,0.02,17.20,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.84,0.17,69.44,0.00,100.00,0.00,0.00,0.00,0.00,77.22,52.10,4.49 ,4.32 ,0.33 ,0.33 ,3.00,3.00,0.50,2.94,0.17,1.23,0.01,0.55,0.98,0.40,0.0000,0.0004,  6600,13.74,86.26,0.00,0.00,0.00,46,1292.51,440.16,2597.70,5.87,146.82,1.00,24.88,
2024-03-05,08:57:13.137,0.16,2.46,0.06,1.12,0.18,7.65,0.98,0.49,0.0000,0.0009, 23720,0.75,0.44,99,47,8276.00,3357.60,2597.45,4.93,123.24,0.32,7.97,0.03,1.54,0.02,1.21,0.02,1.41,0.99,0.37,0.0000,0.0008, 23680,0.20,0.01,93,47,1705.58,1107.97,2597.45,3.08,76.97,0.07,1.64,5.79,76.79,0.02,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.77,29.80,0.16,68.27,0.00,100.00,0.00,0.00,0.00,0.00,77.19,52.53,4.47 ,4.32 ,500243.44 ,500150.47 ,3.00,3.00,0.51,2.98,0.17,1.22,0.00,0.55,1.00,0.40,0.0000,0.0004,  6560,14.05,85.95,0.00,0.00,0.00,47,1333.29,447.07,2597.45,5.96,149.11,1.03,25.66,
2024-03-05,08:57:14.137,0.16,2.52,0.06,1.12,0.18,7.89,0.98,0.48,0.0000,0.0009, 24000,0.75,0.44,99,46,8467.07,3354.64,2597.15,5.05,126.20,0.33,8.15,0.03,1.65,0.02,1.22,0.01,1.44,0.99,0.36,0.0000,0.0009, 23680,0.19,0.01,92,45,1690.70,1025.62,2597.15,3.30,82.42,0.07,1.63,5.79,76.72,0.01,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.30,0.16,69.92,0.00,100.00,0.00,0.00,0.00,0.00,77.21,52.13,4.47 ,4.32 ,0.33 ,0.33 ,3.00,3.00,0.51,2.94,0.17,1.23,0.01,0.59,0.99,0.39,0.0000,0.0004,  6200,14.01,85.99,0.00,0.00,0.00,45,1317.46,448.61,2597.15,5.87,146.84,1.01,25.36,
