System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,23:54:53.881,0.17,2.67,0.07,1.12,0.17,7.59,0.98,0.36,0.0000,0.0008, 14480,0.59,0.39,99,48,9094.72,3409.69,2599.88,5.33,133.37,0.35,8.74,0.04,1.56,0.03,1.18,0.06,1.86,0.97,0.88,0.0000,0.0008, 23160,0.21,0.01,95,47,2230.12,1431.30,2599.88,3.12,77.91,0.09,2.14,5.88,70.75,0.04,23.33,0.00,100.00,0.00,0.00,0.00,0.00,2.34,35.13,0.17,62.36,0.00,100.00,0.00,0.00,0.00,0.00,73.53,56.06,4.46 ,4.34 ,11004693.21 ,12787363.03 ,3.00,3.00,0.58,3.30,0.17,1.12,0.00,0.68,1.00,0.12,0.0000,0.0005,   240,15.63,84.37,0.00,0.00,0.00,52,1497.91,453.30,2599.88,6.61,165.22,1.15,28.81,
2024-03-04,23:54:54.881,0.14,2.14,0.06,1.12,0.17,8.97,0.98,0.46,0.0000,0.0013, 15320,0.80,0.53,99,48,7086.46,3317.87,2596.85,4.27,106.79,0.27,6.82,0.03,1.57,0.02,1.22,0.02,1.70,0.99,0.38,0.0000,0.0010, 23360,0.28,0.01,94,46,1640.88,1045.42,2596.85,3.14,78.48,0.06,1.58,5.73,77.06,0.01,17.20,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.35,0.13,69.87,0.00,100.00,0.00,0.00,0.00,0.00,75.41,52.07,4.51 ,4.33 ,53605.03 ,107234.06 ,3.00,3.00,0.44,2.89,0.15,1.12,0.00,0.82,1.00,0.12,0.0000,0.0007,   240,13.68,86.32,0.00,0.00,0.00,51,1145.35,396.22,2596.85,5.78,144.53,0.88,22.05,
2024-03-04,23:54:55.882,0.14,2.20,0.07,1.12,0.20,9.13,0.98,0.47,0.0000,0.0012, 16440,0.80,0.54,98,48,7511.68,3408.72,2597.48,4.41,110.18,0.29,7.23,0.03,1.46,0.02,1.20,0.08,2.19,0.96,0.59,0.0000,0.0013, 25160,0.32,0.04,93,47,1734.49,1189.30,2597.48,2.92,72.92,0.07,1.67,5.88,77.46,0.05,16.61,0.00,100.00,0.00,0.00,0.00,0.00,1.91,31.80,0.22,66.08,0.00,100.00,0.00,0.00,0.00,0.00,75.71,53.28,4.53 ,4.37 ,0.00 ,0.03 ,3.00,3.00,0.48,3.06,0.16,1.12,0.00,0.82,1.00,0.12,0.0000,0.0007,   160,14.04,85.96,0.00,0.00,0.00,51,1245.10,406.94,2597.48,6.12,152.98,0.96,23.96,
2024-03-04,23:54:56.882,0.14,2.09,0.07,1.12,0.23,9.20,0.98,0.48,0.0000,0.0013, 17480,0.80,0.54,98,47,7313.29,3505.10,2599.01,4.17,104.32,0.28,7.04,0.03,1.51,0.02,1.20,0.07,1.91,0.96,0.39,0.0000,0.0011, 24000,0.32,0.03,92,46,1693.57,1124.28,2599.01,3.01,75.32,0.07,1.63,6.05,77.29,0.03,16.63,0.00,100.00,0.00,0.00,0.00,0.00,1.80,30.36,0.29,67.55,0.00,100.00,0.00,0.00,0.00,0.00,75.74,52.62,4.53 ,4.36 ,0.10 ,0.03 ,3.00,3.00,0.46,2.89,0.16,1.12,0.01,0.82,0.99,0.12,0.0000,0.0007,   200,14.11,85.89,0.00,0.00,0.00,50,1182.86,409.01,2599.01,5.78,144.60,0.91,22.76,
2024-03-04,23:54:57.883,0.14,2.22,0.06,1.12,0.18,9.43,0.98,0.45,0.0000,0.0013, 17920,0.80,0.53,98,47,7431.03,3352.47,2599.96,4.43,110.83,0.29,7.15,0.03,1.55,0.02,1.21,0.04,1.68,0.98,0.46,0.0000,0.0010, 24080,0.29,0.02,95,46,1622.22,1048.53,2599.96,3.09,77.36,0.06,1.56,5.78,77.22,0.02,16.98,0.00,100.00,0.00,0.00,0.00,0.00,1.67,29.64,0.11,68.58,0.00,100.00,0.00,0.00,0.00,0.00,75.76,52.59,4.52 ,4.36 ,0.00 ,0.03 ,3.00,3.00,0.47,2.99,0.16,1.12,0.00,0.88,1.00,0.12,0.0000,0.0007,   320,14.05,85.95,0.00,0.00,0.00,51,1218.82,407.47,2599.96,5.98,149.56,0.94,23.44,
2024-03-04,23:54:58.883,0.14,2.17,0.06,1.12,0.19,9.23,0.98,0.45,0.0000,0.0013, 17560,0.80,0.53,99,47,7224.77,3332.04,2597.40,4.34,108.41,0.28,6.95,0.03,1.56,0.02,1.21,0.03,1.76,0.98,0.43,0.0000,0.0011, 25760,0.29,0.01,95,47,1669.46,1072.22,2597.40,3.11,77.85,0.06,1.61,5.75,77.53,0.03,16.69,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.50,0.16,68.64,0.00,100.00,0.00,0.00,0.00,0.00,75.77,52.45,4.52 ,4.35 ,0.33 ,0.33 ,3.00,3.00,0.45,2.94,0.15,1.12,0.00,0.85,1.00,0.12,0.0000,0.0007,   200,13.69,86.31,0.00,0.00,0.00,51,1166.97,396.53,2597.40,5.89,147.15,0.90,22.46,
2024-03-04,23:54:59.883,0.14,2.21,0.07,1.12,0.18,9.41,0.98,0.45,0.0000,0.0012, 18840,0.79,0.53,99,46,7529.70,3404.94,2597.65,4.42,110.57,0.29,7.25,0.03,1.59,0.02,1.22,0.02,1.66,0.99,0.38,0.0000,0.0010, 24840,0.28,0.01,95,46,1675.55,1053.02,2597.65,3.18,79.56,0.06,1.61,5.88,76.77,0.02,17.34,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.43,0.15,69.76,0.00,100.00,0.00,0.00,0.00,0.00,75.81,52.24,4.52 ,4.34 ,0.00 ,0.03 ,3.00,3.00,0.48,3.02,0.16,1.12,0.00,0.87,1.00,0.12,0.0000,0.0007,   280,14.20,85.80,0.00,0.00,0.00,51,1241.43,411.32,2597.65,6.04,150.91,0.96,23.89,
2024-03-04,23:55:00.883,0.14,2.23,0.06,1.12,0.17,9.40,0.98,0.45,0.0000,0.0013, 18080,0.80,0.53,99,46,7448.05,3336.20,2597.72,4.46,111.62,0.29,7.17,0.03,1.59,0.02,1.21,0.02,1.61,0.99,0.46,0.0000,0.0009, 25280,0.28,0.01,94,46,1706.08,1074.14,2597.72,3.18,79.42,0.07,1.64,5.76,76.91,0.02,17.31,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.59,0.15,68.55,0.00,100.00,0.00,0.00,0.00,0.00,75.76,52.68,4.53 ,4.34 ,0.00 ,0.03 ,3.00,3.00,0.47,3.01,0.16,1.12,0.00,0.87,1.00,0.12,0.0000,0.0007,   360,13.96,86.04,0.00,0.00,0.00,50,1215.51,404.49,2597.72,6.01,150.25,0.94,23.40,
2024-03-04,23:55:01.884,0.14,2.16,0.06,1.12,0.19,9.22,0.98,0.45,0.0000,0.0013, 18360,0.80,0.53,99,46,7267.17,3362.14,2599.42,4.32,108.07,0.28,6.99,0.03,1.57,0.02,1.21,0.01,1.66,0.99,0.37,0.0000,0.0010, 24240,0.28,0.01,94,45,1637.73,1045.31,2599.42,3.13,78.34,0.06,1.58,5.80,76.86,0.02,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.53,0.13,69.68,0.00,100.00,0.00,0.00,0.00,0.00,75.73,52.38,4.51 ,4.34 ,0.00 ,0.03 ,3.00,3.00,0.46,2.98,0.15,1.12,0.00,0.85,1.00,0.12,0.0000,0.0007,   240,13.84,86.16,0.00,0.00,0.00,50,1196.85,401.41,2599.42,5.96,149.08,0.92,23.02,
