skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
1033050172.0,1794632.0,1966664.0,60579498.0,4941090.0,0.0,210868.0,812.0,985348.0,60228.0,2018870.0,3344376.0,140.0,205002.0,1033049360.0,809284.0,1906436.0,58560628.0,1596714.0,0.0,5866.0,93266054.0,75334.0,4421130.0,7863408.0,0.0,16828.0,99932.0,1170050.0,0.0,8428.0,209244.0,0.0,16898.0,97538.0,92096004.0,75334.0,4412702.0,7654164.0,0.0,0.0,2394.0
6913424.0,1805188.0,1981518.0,60721598.0,4934412.0,0.0,211652.0,3192.0,953946.0,69104.0,1987734.0,3327772.0,140.0,207550.0,6910232.0,851242.0,1912414.0,58733864.0,1606640.0,0.0,4102.0,6338304.0,75222.0,4716642.0,7815682.0,0.0,16772.0,99050.0,4065600.0,0.0,168.0,48580.0,0.0,16800.0,99400.0,2272704.0,75222.0,4716474.0,7767102.0,0.0,0.0,0.0
6976956.0,1801534.0,1702820.0,59774106.0,4899160.0,140.0,144760.0,3962.0,946806.0,100044.0,1982988.0,3295768.0,140.0,165186.0,6972994.0,854728.0,1602776.0,57791118.0,1603392.0,0.0,0.0,6408122.0,75124.0,8418270.0,10515848.0,0.0,16702.0,98280.0,3959340.0,0.0,55692.0,263998.0,0.0,17220.0,100702.0,2448782.0,75124.0,8362578.0,10251850.0,0.0,0.0,0.0
6846476.0,1831424.0,1661198.0,62007008.0,4912964.0,140.0,206234.0,38528.0,926814.0,88578.0,1969016.0,3301340.0,0.0,219492.0,6807948.0,904610.0,1572620.0,60037992.0,1611624.0,140.0,0.0,6256208.0,75194.0,4505774.0,7996436.0,0.0,16772.0,94374.0,4282600.0,0.0,2394.0,20636.0,0.0,16912.0,99736.0,1973608.0,75194.0,4503380.0,7975800.0,0.0,0.0,0.0
7039004.0,1852522.0,1655080.0,61929532.0,4910556.0,140.0,224280.0,2786.0,921998.0,84406.0,1963640.0,3299254.0,0.0,226310.0,7036218.0,930524.0,1570674.0,59965892.0,1611302.0,140.0,0.0,6406246.0,75600.0,4690196.0,8425522.0,0.0,16646.0,99358.0,4015046.0,0.0,2338.0,46158.0,0.0,16744.0,100562.0,2391200.0,75600.0,4687858.0,8379364.0,0.0,0.0,0.0
7006916.0,1868286.0,1942192.0,62365366.0,4911256.0,224.0,226646.0,4228.0,910980.0,66598.0,2019290.0,3322312.0,0.0,217280.0,7002688.0,957306.0,1875594.0,60346076.0,1588944.0,224.0,9366.0,6428576.0,75894.0,4755240.0,8420580.0,0.0,16744.0,99750.0,4009194.0,0.0,2128.0,103278.0,0.0,17164.0,99876.0,2419382.0,75894.0,4753112.0,8317302.0,0.0,0.0,0.0
7045052.0,1871716.0,1721776.0,61852448.0,4889220.0,0.0,225540.0,5278.0,907452.0,58128.0,1999774.0,3297672.0,140.0,219254.0,7039774.0,964264.0,1663648.0,59852674.0,1591548.0,0.0,6286.0,6439132.0,76762.0,4538982.0,8203216.0,0.0,16772.0,100198.0,4071032.0,0.0,2520.0,67242.0,0.0,16842.0,99498.0,2368100.0,76762.0,4536462.0,8135974.0,0.0,0.0,700.0
7054096.0,1801730.0,1801408.0,62167644.0,4897648.0,0.0,204680.0,5614.0,894768.0,27174.0,1978060.0,3291932.0,140.0,221886.0,7048482.0,906962.0,1774234.0,60189584.0,1605716.0,0.0,0.0,6436472.0,76006.0,4925396.0,8152200.0,0.0,16842.0,100128.0,3954776.0,0.0,3430.0,66010.0,0.0,16660.0,98602.0,2481696.0,76006.0,4921966.0,8086190.0,0.0,182.0,1526.0
6986070.0,1848994.0,1720502.0,61891312.0,4932564.0,0.0,220108.0,5614.0,893228.0,47208.0,1998374.0,3289734.0,112.0,207564.0,6980456.0,955766.0,1673294.0,59892938.0,1642830.0,0.0,12544.0,6412588.0,75572.0,4644150.0,8567958.0,0.0,16856.0,100030.0,3985352.0,0.0,14.0,26516.0,0.0,16744.0,99316.0,2427236.0,75572.0,4644136.0,8541442.0,0.0,112.0,714.0
7038570.0,1767584.0,1891918.0,62138846.0,4926670.0,0.0,217840.0,5936.0,898338.0,53004.0,2009448.0,3295432.0,140.0,221900.0,7032634.0,869246.0,1838914.0,60129398.0,1631238.0,0.0,0.0,6416760.0,75306.0,4808286.0,8681036.0,0.0,16940.0,98700.0,4028696.0,0.0,448.0,90776.0,0.0,16842.0,99456.0,2388064.0,75306.0,4807838.0,8590260.0,0.0,98.0,0.0
7028014.0,1850198.0,1734488.0,61006638.0,4924346.0,140.0,218288.0,2590.0,884478.0,45164.0,1866032.0,3294256.0,112.0,226016.0,7025424.0,965720.0,1689324.0,59140606.0,1630090.0,28.0,0.0,6386226.0,76006.0,4743522.0,25974704.0,0.0,16856.0,96880.0,3992142.0,0.0,168.0,1188376.0,0.0,16688.0,100436.0,2394084.0,76006.0,4743354.0,24786328.0,0.0,168.0,0.0
7014602.0,1790558.0,1858696.0,62641012.0,4918032.0,140.0,212786.0,2842.0,877814.0,35196.0,1970850.0,3285856.0,140.0,225834.0,7011760.0,912744.0,1823500.0,60670162.0,1632176.0,0.0,0.0,6379408.0,76468.0,4712302.0,8806014.0,0.0,16842.0,97132.0,4079852.0,0.0,2604.0,46704.0,0.0,16814.0,99610.0,2299556.0,76468.0,4709698.0,8759310.0,0.0,28.0,0.0
