System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,20:20:04.011,1.36,3.39,0.40,1.12,0.12,16.68,0.99,0.78,0.0000,0.0002,  9480,0.02,0.02,95,48,70635.09,20865.18,2598.69,6.77,169.27,2.72,67.95,0.14,1.22,0.12,1.23,0.13,8.98,0.99,0.90,0.0000,0.0012, 16640,0.03,0.01,90,47,7400.74,6054.48,2598.69,2.44,61.12,0.28,7.12,35.99,46.93,0.01,17.07,0.00,100.00,0.00,0.00,0.00,0.00,9.48,16.70,0.03,73.79,0.00,100.00,0.00,0.00,0.00,0.00,80.18,50.96,3.88 ,4.27 ,1817.00 ,608.67 ,3.00,3.00,3.81,3.85,0.99,1.12,0.00,2.16,1.00,0.13,0.0000,0.0002,   520,88.73,11.27,0.00,0.00,0.00,50,9893.00,2571.80,2598.69,7.69,192.34,7.61,190.34,
2024-02-26,20:20:05.012,0.31,3.09,0.10,1.12,0.06,11.77,1.00,0.64,0.0000,0.0007, 11000,0.12,0.19,100,48,15978.63,5163.54,2596.83,6.19,154.73,0.62,15.38,0.04,1.26,0.03,1.22,0.05,3.34,0.98,0.84,0.0000,0.0017, 22400,0.18,18446744073.71,99,46,1956.93,1558.36,2596.83,2.51,62.79,0.08,1.88,8.91,71.99,0.04,19.05,0.00,100.00,0.00,0.00,0.00,0.00,2.47,28.74,0.20,68.59,0.00,100.00,0.00,0.00,0.00,0.00,78.91,51.92,4.21 ,4.40 ,994383.04 ,1002728.67 ,3.00,3.00,0.88,3.60,0.24,1.12,0.00,1.52,1.00,0.13,0.0000,0.0007,   640,21.79,78.21,0.00,0.00,0.00,51,2275.39,631.19,2596.83,7.21,180.25,1.75,43.81,
2024-02-26,20:20:06.012,0.15,2.39,0.06,1.12,0.04,25.82,1.00,0.36,0.0000,0.0032, 12440,0.54,0.82,99,48,8048.45,3361.82,2597.56,4.79,119.70,0.31,7.75,0.03,1.50,0.02,1.22,0.03,3.24,0.99,0.41,0.0000,0.0020, 23000,0.81,0.02,98,47,1592.33,1062.68,2597.56,3.00,74.92,0.06,1.53,5.80,76.50,0.00,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.21,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.54,51.90,4.57 ,4.54 ,0.00 ,0.27 ,3.00,3.00,0.43,2.69,0.16,1.12,0.00,3.43,1.00,0.13,0.0000,0.0031,  1200,14.19,85.81,0.00,0.00,0.00,51,1106.37,411.23,2597.56,5.38,134.52,0.85,21.30,
2024-02-26,20:20:07.012,0.15,2.40,0.06,1.12,0.04,26.92,1.00,0.35,0.0000,0.0033, 13520,0.50,0.78,99,48,8050.21,3355.33,2597.29,4.80,119.96,0.31,7.75,0.03,1.54,0.02,1.22,0.01,3.06,1.00,0.41,0.0000,0.0020, 23560,0.78,0.01,98,47,1536.64,996.31,2597.29,3.08,77.12,0.06,1.48,5.79,76.50,0.01,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.42,0.12,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.47,51.95,4.55 ,4.53 ,0.00 ,0.00 ,3.00,3.00,0.42,2.69,0.16,1.12,0.00,3.59,1.00,0.13,0.0000,0.0033,  1440,14.13,85.87,0.00,0.00,0.00,50,1099.56,409.39,2597.29,5.37,134.29,0.85,21.17,
2024-02-26,20:20:08.012,0.15,2.26,0.07,1.12,0.10,25.68,1.00,0.36,0.0000,0.0033, 14480,0.51,0.79,98,48,7706.93,3405.31,2597.33,4.53,113.16,0.30,7.42,0.03,1.40,0.02,1.20,0.08,3.72,0.98,0.44,0.0000,0.0023, 23680,0.84,0.04,95,47,1623.98,1157.07,2597.33,2.81,70.18,0.06,1.56,5.88,77.02,0.03,17.07,0.00,100.00,0.00,0.00,0.00,0.00,1.85,30.74,0.26,67.15,0.00,100.00,0.00,0.00,0.00,0.00,78.57,52.73,4.54 ,4.57 ,0.33 ,0.33 ,3.00,3.00,0.40,2.61,0.15,1.12,0.00,3.39,1.00,0.13,0.0000,0.0033,   960,13.71,86.29,0.00,0.00,0.00,50,1038.35,397.18,2597.33,5.23,130.72,0.80,19.99,
2024-02-26,20:20:09.012,0.15,2.36,0.06,1.12,0.04,27.80,1.00,0.34,0.0000,0.0035, 14120,0.44,0.75,99,47,7856.00,3335.20,2598.10,4.71,117.77,0.30,7.56,0.03,1.59,0.02,1.22,0.03,3.18,0.99,0.42,0.0000,0.0020, 23600,0.83,0.02,98,46,1567.19,988.03,2598.10,3.17,79.31,0.06,1.51,5.76,76.57,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.41,0.14,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.65,51.87,4.52 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.41,2.56,0.16,1.12,0.00,3.71,1.00,0.14,0.0000,0.0035,  1720,14.18,85.82,0.00,0.00,0.00,49,1052.12,410.92,2598.10,5.12,128.02,0.81,20.25,
2024-02-26,20:20:10.012,0.15,2.29,0.07,1.12,0.04,28.51,1.00,0.35,0.0000,0.0037, 14560,0.41,0.71,99,47,7732.89,3377.11,2597.14,4.58,114.49,0.30,7.44,0.03,1.45,0.02,1.21,0.05,3.20,0.98,0.40,0.0000,0.0021, 24200,0.80,0.01,98,46,1529.94,1056.44,2597.14,2.90,72.41,0.06,1.47,5.83,76.20,0.02,17.95,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.45,0.13,69.75,0.00,100.00,0.00,0.00,0.00,0.00,78.42,51.95,4.49 ,4.54 ,0.33 ,0.07 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,3.81,1.00,0.14,0.0000,0.0037,  1800,14.15,85.85,0.00,0.00,0.00,50,1036.72,409.82,2597.14,5.06,126.49,0.80,19.96,
2024-02-26,20:20:11.013,0.15,2.28,0.06,1.12,0.06,28.04,1.00,0.34,0.0000,0.0036, 14360,0.41,0.70,99,47,7694.53,3372.50,2597.25,4.56,114.08,0.30,7.41,0.03,1.55,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 23800,0.79,0.01,98,46,1544.95,996.56,2597.25,3.10,77.51,0.06,1.49,5.82,76.79,0.01,17.38,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.52,0.13,69.78,0.00,100.00,0.00,0.00,0.00,0.00,78.68,51.99,4.48 ,4.54 ,0.00 ,0.00 ,3.00,3.00,0.39,2.51,0.16,1.12,0.00,3.74,1.00,0.14,0.0000,0.0037,  1480,14.11,85.89,0.00,0.00,0.00,50,1024.41,408.63,2597.25,5.01,125.35,0.79,19.72,
2024-02-26,20:20:12.013,0.15,2.31,0.06,1.12,0.03,28.50,1.00,0.34,0.0000,0.0037, 14680,0.39,0.69,99,46,7611.47,3301.42,2597.21,4.61,115.28,0.29,7.33,0.03,1.51,0.02,1.22,0.01,3.17,1.00,0.40,0.0000,0.0021, 23680,0.77,0.01,98,46,1542.33,1023.99,2597.21,3.01,75.31,0.06,1.48,5.70,76.54,0.02,17.74,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.15,0.16,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.67,51.95,4.48 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.51,0.15,1.12,0.00,3.82,1.00,0.14,0.0000,0.0038,  1440,13.82,86.18,0.00,0.00,0.00,50,1004.58,400.45,2597.21,5.02,125.43,0.77,19.34,
