System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,20:20:04.868,0.38,3.19,0.12,1.12,0.07,9.50,0.99,0.72,0.0000,0.0005, 10840,0.05,0.08,100,48,19857.48,6230.58,2599.02,6.37,159.36,0.76,19.10,0.04,1.17,0.04,1.21,0.09,3.93,0.98,0.85,0.0000,0.0017, 21080,0.08,0.00,98,47,2275.62,1944.53,2599.02,2.34,58.51,0.09,2.19,10.75,70.24,0.05,18.97,0.00,100.00,0.00,0.00,0.00,0.00,3.08,28.16,0.20,68.56,0.00,100.00,0.00,0.00,0.00,0.00,79.20,51.93,4.13 ,4.37 ,1005825.35 ,1013192.20 ,3.00,3.00,1.09,3.72,0.29,1.12,0.00,1.37,1.00,0.14,0.0000,0.0005,  1800,26.24,73.76,0.00,0.00,0.00,51,2830.26,760.75,2599.02,7.44,186.02,2.18,54.45,
2024-02-26,20:20:05.868,0.16,2.42,0.06,1.12,0.05,25.71,1.00,0.36,0.0000,0.0032, 12600,0.55,0.83,99,48,8086.72,3346.70,2597.65,4.83,120.82,0.31,7.78,0.03,1.54,0.02,1.22,0.03,3.08,0.99,0.40,0.0000,0.0020, 23240,0.82,0.02,98,47,1530.95,995.73,2597.65,3.08,76.88,0.06,1.47,5.78,76.46,0.00,17.77,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.40,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.54,51.90,4.57 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,3.88,1.00,0.12,0.0000,0.0036,  2680,14.04,85.96,0.00,0.00,0.00,50,1088.22,406.75,2597.65,5.35,133.77,0.84,20.95,
2024-02-26,20:20:06.868,0.15,2.37,0.06,1.12,0.04,26.12,1.00,0.36,0.0000,0.0033, 12880,0.51,0.79,99,48,7953.05,3353.48,2597.17,4.74,118.58,0.31,7.66,0.03,1.50,0.02,1.22,0.03,3.19,0.99,0.40,0.0000,0.0021, 23680,0.78,0.01,98,45,1549.42,1030.96,2597.17,3.01,75.14,0.06,1.49,5.79,76.55,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.34,0.12,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.48,51.94,4.55 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,3.94,1.00,0.12,0.0000,0.0037,  2920,14.10,85.90,0.00,0.00,0.00,51,1061.93,408.47,2597.17,5.20,129.99,0.82,20.44,
2024-02-26,20:20:07.874,0.15,2.35,0.06,1.12,0.07,26.26,1.00,0.35,0.0000,0.0033, 14040,0.50,0.77,99,48,7874.69,3354.26,2597.11,4.70,117.38,0.30,7.58,0.03,1.45,0.02,1.21,0.04,3.50,0.99,0.44,0.0000,0.0022, 24920,0.81,0.03,96,47,1567.43,1080.34,2597.11,2.90,72.54,0.06,1.51,5.79,76.79,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.72,29.79,0.18,68.31,0.00,100.00,0.00,0.00,0.00,0.00,78.52,52.38,4.54 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.40,2.62,0.15,1.12,0.01,3.95,1.00,0.12,0.0000,0.0038,  1560,13.85,86.15,0.00,0.00,0.00,51,1050.13,401.18,2597.11,5.24,130.88,0.81,20.22,
2024-02-26,20:20:08.868,0.15,2.31,0.06,1.12,0.04,26.64,1.00,0.35,0.0000,0.0035, 14680,0.46,0.78,98,48,7682.16,3318.91,2596.08,4.63,115.73,0.30,7.40,0.03,1.50,0.02,1.22,0.06,3.35,0.98,0.41,0.0000,0.0021, 23720,0.86,0.03,97,46,1567.72,1045.11,2596.08,3.00,75.00,0.06,1.51,5.73,76.95,0.03,17.29,0.00,100.00,0.00,0.00,0.00,0.00,1.66,29.48,0.22,68.65,0.00,100.00,0.00,0.00,0.00,0.00,78.67,52.19,4.54 ,4.55 ,0.33 ,0.00 ,3.00,3.00,0.39,2.51,0.16,1.12,0.00,4.00,1.00,0.12,0.0000,0.0039,  3120,13.95,86.05,0.00,0.00,0.00,50,1013.43,403.79,2596.08,5.02,125.49,0.78,19.52,
2024-02-26,20:20:09.868,0.15,2.31,0.06,1.12,0.04,28.62,1.00,0.35,0.0000,0.0037, 14960,0.41,0.71,99,47,7755.88,3361.65,2597.17,4.61,115.36,0.30,7.47,0.03,1.48,0.02,1.22,0.02,3.13,0.99,0.41,0.0000,0.0020, 24160,0.81,0.01,98,46,1542.06,1043.22,2597.17,2.96,73.91,0.06,1.48,5.80,76.18,0.02,18.00,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.40,0.13,69.82,0.00,100.00,0.00,0.00,0.00,0.00,78.42,51.96,4.49 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.40,2.55,0.16,1.12,0.00,4.31,1.00,0.12,0.0000,0.0041,  3760,14.11,85.89,0.00,0.00,0.00,50,1042.12,408.79,2597.17,5.10,127.46,0.80,20.06,
2024-02-26,20:20:10.869,0.15,2.28,0.06,1.12,0.05,28.24,1.00,0.34,0.0000,0.0037, 14880,0.41,0.71,99,47,7667.39,3360.71,2599.57,4.56,114.07,0.29,7.37,0.03,1.59,0.02,1.22,0.01,3.14,1.00,0.41,0.0000,0.0020, 24080,0.79,0.01,98,46,1585.08,997.09,2599.57,3.18,79.49,0.06,1.52,5.80,76.86,0.01,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.61,0.13,69.70,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.04,4.48 ,4.54 ,0.00 ,0.00 ,3.00,3.00,0.39,2.50,0.16,1.12,0.00,4.25,1.00,0.12,0.0000,0.0042,  3280,14.09,85.91,0.00,0.00,0.00,49,1019.40,408.44,2599.57,4.99,124.79,0.78,19.61,
2024-02-26,20:20:11.869,0.15,2.30,0.06,1.12,0.03,28.09,1.00,0.34,0.0000,0.0037, 14760,0.39,0.69,99,46,7575.93,3292.61,2596.88,4.60,115.04,0.29,7.29,0.03,1.50,0.02,1.22,0.01,3.14,1.00,0.40,0.0000,0.0020, 23600,0.77,0.01,98,45,1569.67,1047.59,2596.88,3.00,74.92,0.06,1.51,5.68,76.54,0.02,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.11,0.17,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.66,51.90,4.48 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.51,0.15,1.12,0.00,4.23,1.00,0.12,0.0000,0.0042,  3520,13.81,86.19,0.00,0.00,0.00,50,1004.99,399.96,2596.88,5.03,125.63,0.77,19.35,
2024-02-26,20:20:12.869,0.15,2.30,0.06,1.12,0.05,28.60,1.00,0.34,0.0000,0.0037, 14760,0.39,0.69,99,46,7638.27,3327.31,2596.94,4.59,114.78,0.29,7.35,0.03,1.53,0.02,1.22,0.03,3.18,0.99,0.43,0.0000,0.0021, 23880,0.77,0.01,97,46,1542.12,1008.67,2596.94,3.06,76.44,0.06,1.48,5.74,76.52,0.01,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.26,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.63,51.99,4.47 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.39,2.50,0.16,1.12,0.00,4.30,1.00,0.12,0.0000,0.0042,  3400,14.02,85.98,0.00,0.00,0.00,50,1016.87,406.02,2596.94,5.01,125.22,0.78,19.58,
