System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-26,20:20:05.048,0.28,2.95,0.10,1.12,0.07,16.11,1.00,0.55,0.0000,0.0011, 10960,0.16,0.24,99,48,14704.61,4977.45,2598.75,5.91,147.71,0.57,14.14,0.04,1.28,0.03,1.21,0.07,3.70,0.98,0.80,0.0000,0.0019, 22720,0.24,0.01,97,47,1928.67,1511.76,2598.75,2.55,63.79,0.07,1.86,8.58,72.32,0.04,19.05,0.00,100.00,0.00,0.00,0.00,0.00,2.39,28.79,0.20,68.61,0.00,100.00,0.00,0.00,0.00,0.00,78.93,51.97,4.24 ,4.42 ,464144.44 ,465995.65 ,3.00,3.00,0.75,3.21,0.23,1.12,0.00,1.78,1.00,0.51,0.0000,0.0009,   320,21.04,78.96,0.00,0.00,0.00,50,1955.72,609.79,2598.75,6.41,160.36,1.51,37.63,
2024-02-26,20:20:06.048,0.16,2.43,0.07,1.12,0.04,26.34,1.00,0.35,0.0000,0.0032, 12280,0.54,0.82,99,48,8211.69,3381.61,2597.29,4.86,121.42,0.32,7.90,0.03,1.51,0.02,1.22,0.02,3.17,0.99,0.41,0.0000,0.0020, 22920,0.81,0.01,98,47,1571.38,1039.24,2597.29,3.02,75.60,0.06,1.51,5.84,76.47,0.00,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.25,0.13,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.54,51.90,4.57 ,4.54 ,0.00 ,0.33 ,3.00,3.00,0.46,2.92,0.16,1.12,0.00,2.99,1.00,0.11,0.0000,0.0025,   520,14.17,85.83,0.00,0.00,0.00,49,1197.06,410.55,2597.29,5.83,145.79,0.92,23.04,
2024-02-26,20:20:07.048,0.15,2.38,0.06,1.12,0.03,26.60,1.00,0.35,0.0000,0.0033, 13000,0.50,0.78,99,48,7964.20,3348.39,2596.98,4.76,118.93,0.31,7.67,0.03,1.52,0.02,1.22,0.01,3.22,1.00,0.40,0.0000,0.0021, 23560,0.78,0.01,98,47,1567.88,1029.26,2596.98,3.05,76.17,0.06,1.51,5.78,76.51,0.01,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.37,0.12,69.89,0.00,100.00,0.00,0.00,0.00,0.00,78.39,51.95,4.55 ,4.53 ,0.00 ,0.00 ,3.00,3.00,0.45,2.83,0.16,1.12,0.00,3.03,1.00,0.11,0.0000,0.0026,   880,14.17,85.83,0.00,0.00,0.00,49,1162.76,410.53,2596.98,5.66,141.62,0.90,22.39,
2024-02-26,20:20:08.049,0.15,2.30,0.06,1.12,0.10,26.17,1.00,0.35,0.0000,0.0034, 14080,0.51,0.80,98,48,7727.79,3357.48,2599.42,4.60,115.08,0.30,7.43,0.03,1.42,0.02,1.20,0.08,3.66,0.98,0.42,0.0001,0.0023, 24040,0.84,0.04,95,47,1577.09,1111.28,2599.42,2.84,70.96,0.06,1.52,5.79,77.17,0.03,17.02,0.00,100.00,0.00,0.00,0.00,0.00,1.77,30.83,0.26,67.14,0.00,100.00,0.00,0.00,0.00,0.00,78.67,52.72,4.55 ,4.57 ,0.33 ,0.00 ,3.00,3.00,0.43,2.81,0.15,1.12,0.01,2.96,1.00,0.11,0.0000,0.0027,   880,13.72,86.28,0.00,0.00,0.00,49,1116.13,397.87,2599.42,5.61,140.26,0.86,21.47,
2024-02-26,20:20:09.049,0.15,2.34,0.06,1.12,0.04,28.02,1.00,0.35,0.0000,0.0035, 14640,0.44,0.74,99,47,7910.49,3375.63,2597.12,4.69,117.17,0.30,7.61,0.03,1.50,0.02,1.22,0.03,3.10,0.99,0.40,0.0000,0.0021, 23840,0.83,0.02,98,46,1511.66,1009.63,2597.12,2.99,74.86,0.06,1.46,5.83,76.49,0.02,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.42,0.14,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.63,51.96,4.52 ,4.53 ,0.00 ,0.17 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,3.23,1.00,0.11,0.0000,0.0028,  1160,14.20,85.80,0.00,0.00,0.00,48,1146.72,411.40,2597.12,5.57,139.37,0.88,22.08,
2024-02-26,20:20:10.049,0.15,2.29,0.07,1.12,0.03,28.02,1.00,0.35,0.0000,0.0036, 15080,0.41,0.71,99,47,7794.23,3396.90,2597.30,4.59,114.73,0.30,7.50,0.03,1.55,0.02,1.22,0.02,3.23,0.99,0.40,0.0000,0.0020, 23520,0.80,0.01,98,46,1576.07,1019.82,2597.30,3.09,77.27,0.06,1.52,5.86,76.17,0.01,17.96,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.48,0.13,69.78,0.00,100.00,0.00,0.00,0.00,0.00,78.43,51.94,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.44,2.75,0.16,1.12,0.00,3.25,1.00,0.11,0.0000,0.0029,  1040,14.29,85.71,0.00,0.00,0.00,47,1139.34,413.91,2597.30,5.51,137.63,0.88,21.93,
2024-02-26,20:20:11.049,0.15,2.31,0.06,1.12,0.04,28.56,1.00,0.34,0.0000,0.0037, 14440,0.41,0.70,99,46,7705.63,3341.54,2597.20,4.61,115.30,0.30,7.42,0.03,1.49,0.02,1.22,0.02,3.16,0.99,0.41,0.0000,0.0020, 24000,0.78,0.01,98,46,1569.65,1052.81,2597.20,2.98,74.55,0.06,1.51,5.77,76.79,0.01,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.37,0.14,69.83,0.00,100.00,0.00,0.00,0.00,0.00,78.68,51.92,4.48 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.43,2.77,0.16,1.12,0.00,3.31,1.00,0.11,0.0000,0.0030,  1200,13.96,86.04,0.00,0.00,0.00,47,1120.66,404.29,2597.20,5.54,138.60,0.86,21.58,
2024-02-26,20:20:12.049,0.15,2.27,0.06,1.12,0.05,28.40,1.00,0.34,0.0000,0.0038, 14640,0.39,0.69,99,47,7548.76,3321.00,2596.94,4.55,113.65,0.29,7.27,0.03,1.55,0.02,1.22,0.01,3.07,1.00,0.40,0.0000,0.0020, 23760,0.77,0.01,98,46,1541.90,992.25,2596.94,3.11,77.70,0.06,1.48,5.73,76.51,0.02,17.74,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.21,0.16,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.67,51.96,4.48 ,4.53 ,0.33 ,0.07 ,3.00,3.00,0.42,2.70,0.16,1.12,0.00,3.30,1.00,0.11,0.0000,0.0030,  1360,13.93,86.07,0.00,0.00,0.00,48,1090.04,403.37,2596.94,5.40,135.12,0.84,20.99,
2024-02-26,20:20:13.049,0.15,2.31,0.07,1.12,0.05,29.27,1.00,0.34,0.0000,0.0037, 15000,0.38,0.68,99,46,7807.88,3384.28,2596.84,4.61,115.36,0.30,7.52,0.03,1.53,0.02,1.22,0.01,3.16,1.00,0.41,0.0000,0.0020, 23920,0.77,0.01,97,46,1568.61,1026.24,2596.84,3.06,76.43,0.06,1.51,5.84,76.40,0.01,17.75,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.22,0.12,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.71,51.98,4.47 ,4.52 ,0.00 ,0.17 ,3.00,3.00,0.44,2.76,0.16,1.12,0.00,3.41,1.00,0.11,0.0000,0.0030,  1280,14.18,85.82,0.00,0.00,0.00,49,1133.92,410.78,2596.84,5.52,138.02,0.87,21.83,
2024-02-26,20:20:14.049,0.15,2.27,0.06,1.12,0.03,29.28,1.00,0.34,0.0000,0.0038, 14720,0.37,0.68,99,46,7660.71,3368.87,2596.82,4.55,113.70,0.30,7.38,0.03,1.50,0.02,1.22,0.02,3.24,1.00,0.40,0.0000,0.0021, 24840,0.76,0.01,98,46,1566.34,1042.46,2596.82,3.01,75.13,0.06,1.51,5.82,76.52,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.31,0.11,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.76,52.02,4.48 ,4.52 ,0.33 ,0.03 ,3.00,3.00,0.43,2.70,0.16,1.12,0.00,3.41,1.00,0.11,0.0000,0.0031,  1240,14.20,85.80,0.00,0.00,0.00,48,1110.54,411.22,2596.82,5.40,135.03,0.86,21.38,
