System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core6 (Socket 0)-EXEC,Core6 (Socket 0)-IPC,Core6 (Socket 0)-FREQ,Core6 (Socket 0)-AFREQ,Core6 (Socket 0)-L3MISS,Core6 (Socket 0)-L2MISS,Core6 (Socket 0)-L3HIT,Core6 (Socket 0)-L2HIT,Core6 (Socket 0)-L3MPI,Core6 (Socket 0)-L2MPI,Core6 (Socket 0)-L3OCC,Core6 (Socket 0)-C0res%,Core6 (Socket 0)-C1res%,Core6 (Socket 0)-C3res%,Core6 (Socket 0)-C6res%,Core6 (Socket 0)-C7res%,Core6 (Socket 0)-TEMP,Core6 (Socket 0)-INST,Core6 (Socket 0)-ACYC,Core6 (Socket 0)-TIME(ticks),Core6 (Socket 0)-PhysIPC,Core6 (Socket 0)-PhysIPC%,Core6 (Socket 0)-INSTnom,Core6 (Socket 0)-INSTnom%,-
2024-02-26,20:20:05.300,0.21,2.77,0.08,1.12,0.06,18.58,1.00,0.47,0.0000,0.0017, 11160,0.30,0.45,99,47,11049.90,3989.04,2598.94,5.54,138.50,0.43,10.63,0.03,1.27,0.02,1.21,0.07,3.28,0.98,0.74,0.0000,0.0021, 23080,0.44,0.01,98,47,1598.09,1258.98,2598.94,2.54,63.47,0.06,1.54,6.88,74.62,0.03,18.47,0.00,100.00,0.00,0.00,0.00,0.00,2.00,29.09,0.18,68.73,0.00,100.00,0.00,0.00,0.00,0.00,78.82,52.02,4.39 ,4.47 ,965294.23 ,972368.27 ,3.00,3.00,0.61,3.31,0.19,1.12,0.01,3.01,1.00,0.09,0.0000,0.0019,  5240,16.65,83.35,0.00,0.00,0.00,51,1597.97,482.75,2598.94,6.62,165.51,1.23,30.74,
2024-02-26,20:20:06.300,0.15,2.39,0.06,1.12,0.05,25.92,1.00,0.36,0.0000,0.0032, 12280,0.53,0.81,99,48,8022.21,3356.99,2597.53,4.78,119.49,0.31,7.72,0.03,1.50,0.02,1.22,0.01,3.05,1.00,0.41,0.0000,0.0020, 22880,0.80,0.01,98,47,1528.37,1018.20,2597.53,3.00,75.05,0.06,1.47,5.79,76.51,0.00,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.26,0.12,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.51,51.90,4.56 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.45,2.85,0.16,1.12,0.01,4.21,1.00,0.09,0.0000,0.0036,  5320,14.09,85.91,0.00,0.00,0.00,51,1162.37,408.25,2597.53,5.69,142.36,0.90,22.38,
2024-02-26,20:20:07.300,0.15,2.38,0.06,1.12,0.05,26.56,1.00,0.35,0.0000,0.0034, 13040,0.49,0.77,99,47,7892.16,3320.29,2597.15,4.75,118.85,0.30,7.60,0.03,1.54,0.02,1.22,0.02,3.21,0.99,0.40,0.0000,0.0020, 23320,0.78,0.01,98,47,1582.17,1024.34,2597.15,3.09,77.23,0.06,1.52,5.73,76.56,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.38,0.12,69.88,0.00,100.00,0.00,0.00,0.00,0.00,78.47,51.96,4.54 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.44,2.85,0.15,1.12,0.01,4.30,1.00,0.09,0.0000,0.0038,  5000,13.87,86.13,0.00,0.00,0.00,50,1143.99,401.85,2597.15,5.69,142.34,0.88,22.02,
2024-02-26,20:20:08.300,0.15,2.29,0.07,1.12,0.09,25.87,1.00,0.36,0.0000,0.0033, 13680,0.51,0.81,98,47,7744.25,3376.17,2597.06,4.59,114.69,0.30,7.45,0.03,1.39,0.02,1.20,0.11,3.77,0.97,0.41,0.0001,0.0024, 23840,0.86,0.04,95,47,1560.75,1118.91,2597.06,2.79,69.74,0.06,1.50,5.83,77.10,0.03,17.05,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.84,0.26,67.11,0.00,100.00,0.00,0.00,0.00,0.00,78.62,52.68,4.55 ,4.56 ,0.33 ,0.00 ,3.00,3.00,0.43,2.79,0.15,1.12,0.01,4.17,1.00,0.09,0.0000,0.0037,  5040,13.87,86.13,0.00,0.00,0.00,50,1119.74,401.84,2597.06,5.57,139.33,0.86,21.56,
2024-02-26,20:20:09.300,0.15,2.31,0.07,1.12,0.04,28.17,1.00,0.35,0.0000,0.0036, 13920,0.43,0.73,99,47,7830.44,3393.70,2597.20,4.61,115.37,0.30,7.54,0.03,1.51,0.02,1.22,0.04,3.23,0.99,0.40,0.0000,0.0021, 24160,0.82,0.02,98,47,1541.09,1021.22,2597.20,3.02,75.45,0.06,1.48,5.86,75.92,0.02,18.20,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.40,0.14,69.85,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.89,4.51 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.44,2.76,0.16,1.12,0.01,4.56,1.00,0.10,0.0000,0.0040,  5400,14.21,85.79,0.00,0.00,0.00,51,1135.02,411.54,2597.20,5.52,137.90,0.87,21.85,
2024-02-26,20:20:10.300,0.15,2.30,0.06,1.12,0.04,27.98,1.00,0.35,0.0000,0.0036, 14080,0.42,0.71,99,46,7703.19,3351.36,2597.13,4.60,114.93,0.30,7.42,0.03,1.50,0.02,1.22,0.01,3.10,1.00,0.41,0.0000,0.0020, 23640,0.80,0.01,98,47,1536.33,1027.21,2597.13,2.99,74.78,0.06,1.48,5.78,77.16,0.02,17.03,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.68,0.13,69.57,0.00,100.00,0.00,0.00,0.00,0.00,78.73,51.97,4.49 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.42,2.72,0.16,1.12,0.01,4.53,1.00,0.10,0.0000,0.0041,  5000,14.00,86.00,0.00,0.00,0.00,50,1101.58,405.42,2597.13,5.43,135.86,0.85,21.21,
2024-02-26,20:20:11.300,0.14,2.28,0.06,1.12,0.04,27.78,1.00,0.34,0.0000,0.0037, 14400,0.40,0.70,99,47,7481.56,3279.34,2597.21,4.56,114.07,0.29,7.20,0.03,1.52,0.02,1.22,0.02,3.18,0.99,0.43,0.0000,0.0020, 23720,0.78,0.01,98,45,1585.91,1040.28,2597.21,3.05,76.23,0.06,1.53,5.66,76.57,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.23,0.15,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.64,51.97,4.47 ,4.54 ,0.00 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.01,4.50,1.00,0.10,0.0000,0.0042,  5000,13.70,86.30,0.00,0.00,0.00,49,1064.09,396.83,2597.21,5.36,134.07,0.82,20.48,
2024-02-26,20:20:12.300,0.15,2.32,0.06,1.12,0.03,29.23,1.00,0.34,0.0000,0.0038, 14040,0.39,0.69,99,46,7750.30,3338.17,2597.05,4.64,116.09,0.30,7.46,0.03,1.55,0.02,1.22,0.01,3.11,1.00,0.40,0.0000,0.0020, 23880,0.77,0.01,98,45,1559.40,1007.59,2597.05,3.10,77.38,0.06,1.50,5.76,76.50,0.01,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.20,0.14,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.69,51.97,4.47 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.43,2.72,0.16,1.12,0.00,4.73,1.00,0.10,0.0000,0.0043,  4960,14.09,85.91,0.00,0.00,0.00,49,1109.20,408.16,2597.05,5.44,135.88,0.85,21.36,
2024-02-26,20:20:13.300,0.15,2.29,0.06,1.12,0.04,28.90,1.00,0.35,0.0000,0.0038, 14240,0.38,0.68,99,46,7649.53,3346.33,2597.10,4.57,114.30,0.29,7.36,0.03,1.52,0.02,1.22,0.01,3.02,1.00,0.41,0.0000,0.0020, 24440,0.77,0.01,98,45,1536.96,1008.95,2597.10,3.05,76.17,0.06,1.48,5.78,76.46,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.26,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.72,51.99,4.48 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.42,2.66,0.16,1.12,0.01,4.67,1.00,0.10,0.0000,0.0043,  5560,14.11,85.89,0.00,0.00,0.00,50,1087.32,408.59,2597.10,5.32,133.06,0.84,20.93,
2024-02-26,20:20:14.300,0.15,2.29,0.06,1.12,0.05,29.17,1.00,0.34,0.0000,0.0038, 14280,0.37,0.67,99,46,7615.48,3323.85,2597.00,4.58,114.56,0.29,7.33,0.03,1.55,0.02,1.22,0.01,3.25,1.00,0.41,0.0000,0.0021, 24080,0.76,0.01,98,45,1582.33,1019.46,2597.00,3.10,77.61,0.06,1.52,5.74,76.60,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.35,0.12,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.04,4.48 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.42,2.69,0.16,1.12,0.01,4.71,1.00,0.10,0.0000,0.0044,  5440,13.90,86.10,0.00,0.00,0.00,48,1081.75,402.59,2597.00,5.37,134.35,0.83,20.83,
