,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-26,20:20:05.694,  110.86,  311.15,  406.17,  469.70,,,,,  517.04,  780.84,1969494549, 1297.88,  382.59,    7.12,  386.82,   10.21,,,,,  769.41,   17.33,1969659844,  786.74,   1286.44,    798.18,   2084.62
2024-02-26,20:20:06.694,  110.28,  316.50,  405.61,  477.69,,,,,  515.89,  794.19,2132958369, 1310.08,  391.07,    4.59,  395.36,    7.89,,,,,  786.43,   12.48,2132893572,  798.91,   1302.32,    806.67,   2108.99
2024-02-26,20:20:07.695,  103.01,  302.60,  380.35,  455.66,,,,,  483.36,  758.26,2132425462, 1241.62,  386.41,    2.99,  390.13,    6.31,,,,,  776.53,    9.30,2132427924,  785.84,   1259.89,    767.56,   2027.46
2024-02-26,20:20:08.695,  105.51,  324.09,  382.27,  477.15,,,,,  487.77,  801.24,2134535250, 1289.01,  441.60,   20.90,  444.40,   23.99,,,,,  886.00,   44.90,2134513798,  930.90,   1373.78,    846.14,   2219.91
2024-02-26,20:20:09.694,   89.15,  290.50,  328.98,  425.26,,,,,  418.13,  715.76,2132472319, 1133.89,  402.19,    5.19,  408.27,    8.55,,,,,  810.47,   13.74,2132440965,  824.21,   1228.59,    729.50,   1958.10
2024-02-26,20:20:10.695,   88.43,  288.20,  325.34,  420.59,,,,,  413.77,  708.79,2134500768, 1122.56,  393.28,    3.84,  398.90,    7.18,,,,,  792.19,   11.02,2134505464,  803.20,   1205.95,    719.80,   1925.76
2024-02-26,20:20:11.695,   83.83,  283.03,  308.81,  409.69,,,,,  392.63,  692.72,2132311300, 1085.36,  384.75,    2.55,  390.57,    5.89,,,,,  775.32,    8.45,2132297076,  783.77,   1167.95,    701.17,   1869.12
2024-02-26,20:20:12.695,   82.79,  281.21,  305.81,  406.94,,,,,  388.61,  688.14,2134448929, 1076.75,  384.20,    3.40,  388.56,    6.75,,,,,  772.76,   10.15,2134438732,  782.91,   1161.37,    698.30,   1859.66
2024-02-26,20:20:13.695,   80.31,  278.14,  296.19,  400.10,,,,,  376.50,  678.24,2132309607, 1054.74,  378.68,    2.96,  384.20,    6.33,,,,,  762.87,    9.28,2132340973,  772.16,   1139.37,    687.52,   1826.89
2024-02-26,20:20:14.696,   79.60,  276.82,  292.81,  397.36,,,,,  372.42,  674.19,2134405781, 1046.60,  379.75,    3.07,  385.76,    6.42,,,,,  765.51,    9.49,2134386052,  775.00,   1137.93,    683.68,   1821.60
2024-02-26,20:20:15.695,   78.03,  273.97,  286.94,  392.45,,,,,  364.97,  666.42,2132302671, 1031.39,  384.18,    3.75,  389.55,    7.08,,,,,  773.73,   10.83,2132270594,  784.56,   1138.70,    677.25,   1815.95
