Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,2338090958,4039742,1750070,147188244,15815478,140,640052(Total)
0,216272,2547636,57148,588812,7795634,0,619920(Miss)
0,2337874686,1492106,1692922,146599432,8019844,140,20132(Hit)
1,103708962,236152,4698932,16313528,0,53004,312508(Total)
1,12852392,0,14280,190078,0,52864,308070(Miss)
1,90856570,236152,4684652,16123450,0,140,4438(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21716030,4749178,1712214,153622756,15695134,224,672392(Total)
0,143696,1995490,237818,651028,7591374,0,654528(Miss)
0,21572334,2753688,1474396,152971728,8103760,224,17864(Hit)
1,21407106,235018,4443964,15850926,0,52346,312004(Total)
1,11988060,0,11690,15862,0,53060,310030(Miss)
