skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
2338090958,4039742,1750070,147188244,15815478,140,640052,216272,2547636,57148,588812,7795634,0,619920,2337874686,1492106,1692922,146599432,8019844,140,20132,103708962,236152,4698932,16313528,0,53004,312508,12852392,0,14280,190078,0,52864,308070,90856570,236152,4684652,16123450,0,140,4438
21716030,4749178,1712214,153622756,15695134,224,672392,143696,1995490,237818,651028,7591374,0,654528,21572334,2753688,1474396,152971728,8103760,224,17864,21407106,235018,4443964,15850926,0,52346,312004,11988060,0,11690,15862,0,53060,310030,9419046,235018,4432274,15835064,0,0,1974
22024296,5041974,1770230,157871420,15608376,140,692174,114716,1693608,269276,711788,7494634,0,678678,21909580,3348366,1500954,157159632,8113742,140,13496,21414722,235480,4674320,16294824,0,52486,312172,11751040,0,47362,24290,0,53144,309288,9663682,235480,4626958,16270534,0,0,2884
17071726,4315626,1722098,161268450,15507366,0,744170,97986,1664362,257740,604296,7709128,140,741454,16973740,2651264,1464358,160664154,7798238,0,2716,21233870,237874,4546584,16183748,0,52906,312060,11595738,0,91658,207438,0,52066,309456,9638132,237874,4454926,15976310,0,840,2604
22332114,5413786,1885422,163580368,15428644,0,780178,68950,1380232,347676,701274,7368690,140,760326,22263164,4033554,1537746,162879094,8059954,0,19852,21398202,233730,4641770,17164336,0,52808,312522,12165678,0,93030,140826,0,52262,310002,9232524,233730,4548740,17023510,0,546,2520
22325422,5445804,1844598,163176510,15457652,0,794598,50736,1243886,328664,1399034,7464212,140,781312,22274686,4201918,1515934,161777476,7993440,0,13286,21424998,231812,4827242,16421426,0,53144,312452,11888674,0,39858,31556,0,52388,309428,9536324,231812,4787384,16389870,0,756,3024
22668422,5503456,1918896,170176818,15577856,0,799204,52010,1186808,305158,643076,7325864,140,794962,22616412,4316648,1613738,169533742,8251992,0,4242,21301812,232092,4934426,16848398,0,52864,312242,11796792,0,19530,59374,0,52388,308308,9505020,232092,4914896,16789024,0,476,3934
22098748,5467224,2007782,169222270,15549688,0,818804,46410,1150590,283360,714000,7276976,140,777868,22052338,4316634,1724422,168508270,8272712,0,40936,21088396,232120,5044396,16713410,0,52752,312494,11492180,0,24822,105042,0,52584,309918,9596216,232120,5019574,16608368,0,168,2576
22366078,5539338,1997408,171229408,15336874,182,830718,36568,1112062,295526,640486,7248822,140,816200,22329510,4427276,1701882,170588922,8088052,42,14518,21225008,231476,4918410,16668554,0,52682,312046,11441178,0,21070,27650,0,52472,309932,9783830,231476,4897340,16640904,0,210,2114
22273230,5520970,2017806,171995558,15549548,0,846062,27160,1083838,284816,634872,7225806,140,822822,22246070,4437132,1732990,171360686,8323742,0,23240,21187810,231350,5541298,17500784,0,53060,311934,11409006,0,17542,56658,0,52402,310702,9778804,231350,5523756,17444126,0,658,1232
22370040,5605698,2038106,174822228,15507604,0,824474,31052,1074878,223118,684922,7165130,140,824474,22338988,4530820,1814988,174137306,8342474,0,0,21135170,231196,5203702,17135020,0,52794,310016,11428018,0,49602,110838,0,52472,308826,9707152,231196,5154100,17024182,0,322,1190
22289176,5593420,2249576,175506982,15537018,0,836934,15652,1049608,161840,651406,7178262,140,834148,22273524,4543812,2087736,174855576,8358756,0,2786,21183036,231378,6160154,16251214,0,52920,309218,11458664,0,21154,83076,0,52374,309904,9724372,231378,6139000,16168138,0,546,0
