Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708975201,Device: id=1,RX,0.16654926149077,396.59810712492,423.24598896344,193698,57655640
1708975202,Device: id=1,RX,0.22439805862094,558.5586872744,594.46237665375,424976,129616120
1708975203,Device: id=1,RX,0.27519508956898,713.87727155846,757.9084858895,702413,219577740
1708975204,Device: id=1,RX,0.38756552561539,1046.5987732065,1108.6092573049,1096081,352462510
1708975205,Device: id=1,RX,2.3157475639012,6493.762741553,6864.2823517772,3411872,1164198078
1708975206,Device: id=1,RX,3.3050934640024,9347.6194340089,9876.4343882493,6717023,2332670848
1708975207,Device: id=1,RX,3.3132780281555,9362.8870850752,9893.01156958,10030358,3503051858
1708975208,Device: id=1,RX,3.2205609874152,9077.2718314545,9592.5615894409,13250921,4637711546
1708975209,Device: id=1,RX,3.3102127262699,9357.961535359,9887.5955715622,16561199,5807479804
1708975210,Device: id=1,RX,3.2914229838876,9305.7587147112,9832.3863921332,19852661,6970713432
1708975211,Device: id=1,RX,3.3133173266281,9378.6128188624,9908.7435911229,23166005,8143049472
1708975212,Device: id=1,RX,3.3090631796902,9366.8367020467,9896.2868107971,26475081,9313908596
