System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,20:20:05.766,0.16,2.46,0.06,1.12,0.03,25.30,1.00,0.36,0.0000,0.0031, 12280,0.55,0.82,99,47,8146.78,3306.93,2600.21,4.93,123.18,0.31,7.83,0.03,1.52,0.02,1.22,0.03,3.12,0.99,0.40,0.0000,0.0021, 23240,0.81,0.02,98,47,1513.35,997.12,2600.21,3.04,75.89,0.06,1.46,5.70,76.53,0.00,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.44,0.16,69.82,0.00,100.00,0.00,0.00,0.00,0.00,78.62,51.96,4.59 ,4.55 ,465853.84 ,0.00 ,3.00,3.00,0.40,2.58,0.15,1.12,0.00,4.56,1.00,0.42,0.0000,0.0044,   240,13.87,86.13,0.00,0.00,0.00,47,1037.33,402.39,2600.21,5.16,128.90,0.80,19.95,
2024-02-26,20:20:06.767,0.15,2.35,0.07,1.12,0.04,26.43,1.00,0.35,0.0000,0.0033, 12480,0.51,0.79,99,48,7964.99,3384.26,2597.34,4.71,117.68,0.31,7.67,0.03,1.46,0.02,1.22,0.02,3.21,0.99,0.41,0.0000,0.0021, 23640,0.78,0.01,98,46,1548.23,1062.46,2597.34,2.91,72.86,0.06,1.49,5.84,76.49,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.29,0.12,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.49,51.94,4.55 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.48,0.16,1.12,0.00,4.77,1.00,0.41,0.0000,0.0047,   240,14.11,85.89,0.00,0.00,0.00,48,1013.30,408.68,2597.34,4.96,123.97,0.78,19.51,
2024-02-26,20:20:07.767,0.15,2.37,0.06,1.12,0.04,27.22,1.00,0.35,0.0000,0.0034, 13120,0.48,0.76,99,48,7987.54,3372.71,2597.11,4.74,118.41,0.31,7.69,0.03,1.60,0.02,1.23,0.01,3.17,1.00,0.40,0.0000,0.0020, 23760,0.78,0.01,98,47,1576.79,985.97,2597.11,3.20,79.96,0.06,1.52,5.82,76.46,0.00,17.72,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.30,0.11,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.47,51.91,4.54 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.49,0.16,1.12,0.00,4.91,1.00,0.41,0.0000,0.0048,   200,14.21,85.79,0.00,0.00,0.00,48,1024.34,411.64,2597.11,4.98,124.42,0.79,19.72,
2024-02-26,20:20:08.767,0.15,2.27,0.06,1.12,0.11,25.84,1.00,0.36,0.0000,0.0034, 14280,0.48,0.80,98,47,7672.45,3374.70,2597.15,4.55,113.68,0.30,7.39,0.03,1.38,0.02,1.20,0.09,3.68,0.97,0.44,0.0001,0.0023, 24040,0.89,0.05,95,47,1575.74,1144.73,2597.15,2.75,68.83,0.06,1.52,5.82,77.16,0.03,16.99,0.00,100.00,0.00,0.00,0.00,0.00,1.84,30.96,0.29,66.92,0.00,100.00,0.00,0.00,0.00,0.00,78.70,52.71,4.54 ,4.56 ,0.33 ,0.33 ,3.00,3.00,0.38,2.47,0.15,1.12,0.00,4.55,1.00,0.41,0.0000,0.0047,   120,13.64,86.36,0.00,0.00,0.00,48,977.98,395.25,2597.15,4.95,123.72,0.75,18.83,
2024-02-26,20:20:09.767,0.15,2.29,0.06,1.12,0.04,27.95,1.00,0.35,0.0000,0.0036, 14400,0.42,0.71,99,47,7664.05,3350.74,2597.31,4.57,114.36,0.30,7.38,0.03,1.58,0.02,1.23,0.02,3.07,0.99,0.41,0.0000,0.0020, 24360,0.81,0.01,98,47,1547.62,977.39,2597.31,3.17,79.17,0.06,1.49,5.78,76.21,0.02,17.99,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.53,0.12,69.82,0.00,100.00,0.00,0.00,0.00,0.00,78.43,51.95,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.37,2.35,0.16,1.12,0.00,5.01,1.00,0.42,0.0000,0.0052,   240,14.12,85.88,0.00,0.00,0.00,48,963.19,409.08,2597.31,4.71,117.73,0.74,18.54,
2024-02-26,20:20:10.767,0.15,2.31,0.07,1.12,0.04,28.75,1.00,0.34,0.0000,0.0037, 14360,0.41,0.71,99,46,7830.10,3394.33,2597.14,4.61,115.34,0.30,7.54,0.03,1.48,0.02,1.22,0.01,3.13,1.00,0.40,0.0000,0.0020, 24240,0.79,0.01,98,45,1563.30,1052.77,2597.14,2.97,74.25,0.06,1.50,5.86,76.81,0.02,17.31,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.53,0.13,69.67,0.00,100.00,0.00,0.00,0.00,0.00,78.67,51.99,4.48 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.39,2.46,0.16,1.12,0.00,5.18,1.00,0.40,0.0000,0.0051,   120,14.13,85.87,0.00,0.00,0.00,48,1008.49,409.21,2597.14,4.93,123.22,0.78,19.42,
2024-02-26,20:20:11.767,0.15,2.28,0.06,1.12,0.03,28.69,1.00,0.34,0.0000,0.0037, 14480,0.39,0.69,99,47,7687.72,3370.06,2596.98,4.56,114.06,0.30,7.40,0.03,1.53,0.02,1.22,0.01,3.19,1.00,0.40,0.0000,0.0020, 23840,0.77,0.01,98,46,1583.67,1035.29,2596.98,3.06,76.48,0.06,1.52,5.82,76.40,0.02,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.13,0.16,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.66,51.94,4.47 ,4.53 ,0.30 ,0.33 ,3.00,3.00,0.38,2.41,0.16,1.12,0.00,5.17,1.00,0.39,0.0000,0.0052,   160,14.15,85.85,0.00,0.00,0.00,47,988.89,409.95,2596.98,4.82,120.61,0.76,19.04,
2024-02-26,20:20:12.767,0.15,2.31,0.06,1.12,0.04,28.49,1.00,0.34,0.0000,0.0038, 14160,0.39,0.69,99,46,7592.06,3284.48,2597.05,4.62,115.57,0.29,7.31,0.03,1.54,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 24080,0.77,0.01,97,46,1521.56,990.87,2597.05,3.07,76.78,0.06,1.46,5.67,76.59,0.01,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.28,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.70,52.00,4.47 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.38,2.45,0.15,1.12,0.00,5.13,1.00,0.39,0.0000,0.0053,   200,13.73,86.27,0.00,0.00,0.00,46,976.16,397.70,2597.05,4.91,122.73,0.75,18.79,
2024-02-26,20:20:13.767,0.15,2.26,0.07,1.12,0.04,29.06,1.00,0.34,0.0000,0.0038, 15080,0.38,0.68,99,46,7658.18,3393.72,2597.01,4.51,112.83,0.29,7.37,0.03,1.46,0.02,1.21,0.01,3.20,1.00,0.41,0.0000,0.0021, 24960,0.76,0.01,98,45,1550.19,1064.74,2597.01,2.91,72.80,0.06,1.49,5.86,76.39,0.00,17.75,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.17,0.09,70.05,0.00,100.00,0.00,0.00,0.00,0.00,78.74,52.01,4.48 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.38,2.41,0.16,1.12,0.00,5.24,1.00,0.39,0.0000,0.0053,   200,14.14,85.86,0.00,0.00,0.00,46,986.26,409.51,2597.01,4.82,120.42,0.76,18.99,
