System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core6 (Socket 0)-EXEC,Core6 (Socket 0)-IPC,Core6 (Socket 0)-FREQ,Core6 (Socket 0)-AFREQ,Core6 (Socket 0)-L3MISS,Core6 (Socket 0)-L2MISS,Core6 (Socket 0)-L3HIT,Core6 (Socket 0)-L2HIT,Core6 (Socket 0)-L3MPI,Core6 (Socket 0)-L2MPI,Core6 (Socket 0)-L3OCC,Core6 (Socket 0)-C0res%,Core6 (Socket 0)-C1res%,Core6 (Socket 0)-C3res%,Core6 (Socket 0)-C6res%,Core6 (Socket 0)-C7res%,Core6 (Socket 0)-TEMP,Core6 (Socket 0)-INST,Core6 (Socket 0)-ACYC,Core6 (Socket 0)-TIME(ticks),Core6 (Socket 0)-PhysIPC,Core6 (Socket 0)-PhysIPC%,Core6 (Socket 0)-INSTnom,Core6 (Socket 0)-INSTnom%,-
2024-03-04,00:14:42.361,0.36,3.12,0.11,1.12,0.11,9.40,0.99,0.67,0.0000,0.0005, 12200,0.09,0.10,96,49,18564.08,5949.62,2600.00,6.24,156.01,0.71,17.85,0.04,1.21,0.03,1.21,0.07,3.20,0.98,0.86,0.0000,0.0015, 24120,0.09,0.01,86,49,2178.63,1803.07,2600.00,2.42,60.41,0.08,2.09,10.26,72.66,0.01,17.07,0.00,100.00,0.00,0.00,0.00,0.00,2.86,29.40,0.21,67.54,0.00,100.00,0.00,0.00,0.00,0.00,79.83,52.15,4.09 ,4.32 ,788438.29 ,795162.04 ,3.00,3.00,0.99,3.57,0.28,1.12,0.00,1.38,1.00,0.11,0.0000,0.0005,  1280,24.83,75.17,0.00,0.00,0.00,52,2568.47,720.11,2600.00,7.13,178.34,1.98,49.39,
2024-03-04,00:14:43.361,0.15,2.24,0.07,1.12,0.16,18.23,0.99,0.40,0.0000,0.0023, 14360,0.64,0.70,98,49,8027.99,3583.30,2597.86,4.48,112.02,0.31,7.73,0.03,1.27,0.02,1.19,0.05,2.63,0.98,0.38,0.0000,0.0017, 24160,0.58,0.03,93,46,1534.88,1206.78,2597.86,2.54,63.59,0.06,1.48,6.18,79.19,0.03,14.59,0.00,100.00,0.00,0.00,0.00,0.00,1.95,32.76,0.24,65.06,0.00,100.00,0.00,0.00,0.00,0.00,78.56,53.02,4.54 ,4.42 ,0.33 ,0.00 ,3.00,3.00,0.41,2.66,0.16,1.12,0.00,2.75,1.00,0.10,0.0000,0.0026,  3520,13.93,86.07,0.00,0.00,0.00,52,1072.63,403.51,2597.86,5.32,132.91,0.83,20.65,
2024-03-04,00:14:44.361,0.16,2.51,0.06,1.12,0.05,20.31,1.00,0.37,0.0000,0.0025, 15320,0.56,0.62,99,49,8267.89,3296.88,2597.66,5.02,125.39,0.32,7.96,0.03,1.60,0.02,1.22,0.01,2.30,1.00,0.36,0.0000,0.0014, 24080,0.52,0.01,96,47,1633.23,1019.87,2597.66,3.20,80.07,0.06,1.57,5.69,76.80,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.25,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.25,51.90,4.48 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.43,2.77,0.16,1.12,0.00,3.13,1.00,0.09,0.0000,0.0028,  3320,14.00,86.00,0.00,0.00,0.00,51,1121.96,405.67,2597.66,5.53,138.28,0.86,21.60,
2024-03-04,00:14:45.361,0.16,2.43,0.06,1.12,0.06,20.37,1.00,0.37,0.0000,0.0025, 15480,0.55,0.61,99,49,8159.63,3363.64,2597.80,4.85,121.29,0.31,7.85,0.03,1.59,0.02,1.22,0.01,2.23,1.00,0.36,0.0000,0.0014, 23680,0.51,0.01,96,47,1605.28,1007.62,2597.80,3.19,79.66,0.06,1.54,5.80,76.65,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.32,0.12,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.31,51.90,4.48 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.42,2.71,0.16,1.12,0.00,3.14,1.00,0.10,0.0000,0.0028,  2800,14.06,85.94,0.00,0.00,0.00,51,1102.35,407.51,2597.80,5.41,135.25,0.85,21.22,
2024-03-04,00:14:46.361,0.16,2.49,0.06,1.12,0.05,20.17,1.00,0.36,0.0000,0.0025, 15280,0.54,0.59,99,48,8078.00,3238.60,2595.56,4.99,124.71,0.31,7.78,0.03,1.62,0.02,1.22,0.01,2.31,0.99,0.36,0.0000,0.0014, 24520,0.50,0.01,97,46,1615.37,997.10,2595.56,3.24,81.00,0.06,1.56,5.59,76.85,0.00,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.46,0.12,69.86,0.00,100.00,0.00,0.00,0.00,0.00,78.23,51.88,4.46 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.42,2.74,0.15,1.12,0.00,3.12,1.00,0.09,0.0000,0.0029,  3240,13.68,86.32,0.00,0.00,0.00,51,1087.15,396.07,2595.56,5.49,137.24,0.84,20.94,
2024-03-04,00:14:47.361,0.16,2.42,0.06,1.12,0.04,20.35,1.00,0.36,0.0000,0.0025, 15520,0.54,0.60,99,47,8128.95,3360.23,2597.93,4.84,120.96,0.31,7.82,0.03,1.60,0.02,1.22,0.02,2.33,0.99,0.36,0.0000,0.0014, 24320,0.51,0.01,96,46,1640.96,1025.21,2597.93,3.20,80.03,0.06,1.58,5.80,77.09,0.02,17.10,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.70,0.10,69.59,0.00,100.00,0.00,0.00,0.00,0.00,78.39,52.01,4.48 ,4.40 ,0.24 ,0.37 ,3.00,3.00,0.42,2.70,0.16,1.12,0.00,3.14,1.00,0.10,0.0000,0.0029,  3800,14.05,85.95,0.00,0.00,0.00,51,1098.37,407.17,2597.93,5.40,134.88,0.85,21.14,
2024-03-04,00:14:48.361,0.16,2.49,0.06,1.12,0.04,20.84,1.00,0.36,0.0000,0.0025, 16160,0.53,0.58,99,47,8247.34,3312.84,2597.41,4.98,124.48,0.32,7.94,0.03,1.58,0.02,1.22,0.02,2.35,0.99,0.35,0.0000,0.0015, 23920,0.51,0.01,97,46,1595.10,1006.53,2597.41,3.17,79.24,0.06,1.54,5.72,77.15,0.01,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.73,0.13,69.56,0.00,100.00,0.00,0.00,0.00,0.00,78.44,51.97,4.46 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.43,2.75,0.16,1.12,0.00,3.22,1.00,0.09,0.0000,0.0029,  3360,14.04,85.96,0.00,0.00,0.00,51,1118.46,406.88,2597.41,5.50,137.44,0.86,21.53,
2024-03-04,00:14:49.362,0.16,2.40,0.06,1.12,0.07,20.33,1.00,0.37,0.0000,0.0025, 16360,0.53,0.58,99,47,8077.05,3361.18,2597.65,4.81,120.15,0.31,7.77,0.03,1.44,0.02,1.21,0.01,2.37,0.99,0.36,0.0000,0.0015, 24360,0.51,0.01,96,47,1597.91,1108.43,2597.65,2.88,72.08,0.06,1.54,5.80,76.60,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.77,29.04,0.12,69.07,0.00,100.00,0.00,0.00,0.00,0.00,78.45,52.26,4.47 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.42,2.69,0.16,1.12,0.00,3.13,1.00,0.10,0.0000,0.0029,  3280,13.98,86.02,0.00,0.00,0.00,50,1090.75,405.15,2597.65,5.38,134.61,0.84,21.00,
2024-03-04,00:14:50.362,0.15,2.41,0.06,1.12,0.05,20.01,1.00,0.37,0.0000,0.0025, 16840,0.53,0.58,99,47,7979.20,3309.45,2597.81,4.82,120.55,0.31,7.68,0.03,1.61,0.02,1.22,0.01,2.34,1.00,0.36,0.0000,0.0014, 23840,0.50,0.01,96,45,1626.49,1012.21,2597.81,3.21,80.34,0.06,1.57,5.71,76.72,0.00,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.20,0.10,70.10,0.00,100.00,0.00,0.00,0.00,0.00,78.42,51.95,4.46 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.41,2.69,0.15,1.12,0.00,3.09,1.00,0.10,0.0000,0.0029,  3800,13.78,86.22,0.00,0.00,0.00,50,1072.55,399.26,2597.81,5.37,134.32,0.83,20.64,
2024-03-04,00:14:51.362,0.16,2.48,0.06,1.12,0.05,20.56,1.00,0.36,0.0000,0.0025, 17320,0.53,0.58,99,48,8165.70,3291.08,2598.32,4.96,124.06,0.31,7.86,0.03,1.60,0.02,1.22,0.01,2.35,1.00,0.36,0.0000,0.0014, 23520,0.49,0.01,96,47,1636.26,1021.45,2598.32,3.20,80.10,0.06,1.57,5.68,76.82,0.01,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.26,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.41,52.01,4.45 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.43,2.73,0.16,1.12,0.00,3.18,1.00,0.10,0.0000,0.0029,  4320,13.97,86.03,0.00,0.00,0.00,51,1105.27,404.75,2598.32,5.46,136.54,0.85,21.27,
