System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core2 (Socket 0)-EXEC,Core2 (Socket 0)-IPC,Core2 (Socket 0)-FREQ,Core2 (Socket 0)-AFREQ,Core2 (Socket 0)-L3MISS,Core2 (Socket 0)-L2MISS,Core2 (Socket 0)-L3HIT,Core2 (Socket 0)-L2HIT,Core2 (Socket 0)-L3MPI,Core2 (Socket 0)-L2MPI,Core2 (Socket 0)-L3OCC,Core2 (Socket 0)-C0res%,Core2 (Socket 0)-C1res%,Core2 (Socket 0)-C3res%,Core2 (Socket 0)-C6res%,Core2 (Socket 0)-C7res%,Core2 (Socket 0)-TEMP,Core2 (Socket 0)-INST,Core2 (Socket 0)-ACYC,Core2 (Socket 0)-TIME(ticks),Core2 (Socket 0)-PhysIPC,Core2 (Socket 0)-PhysIPC%,Core2 (Socket 0)-INSTnom,Core2 (Socket 0)-INSTnom%,-
2024-03-04,00:14:43.248,0.15,2.32,0.07,1.12,0.17,17.75,0.99,0.40,0.0000,0.0022, 14360,0.66,0.72,97,50,8046.05,3463.89,2599.80,4.65,116.14,0.31,7.74,0.03,1.33,0.02,1.20,0.05,2.52,0.98,0.36,0.0000,0.0016, 24200,0.60,0.04,92,46,1534.26,1151.14,2599.80,2.67,66.64,0.06,1.48,5.97,79.67,0.03,14.32,0.00,100.00,0.00,0.00,0.00,0.00,1.85,34.11,0.32,63.73,0.00,100.00,0.00,0.00,0.00,0.00,78.69,53.38,4.56 ,4.44 ,621265.04 ,624573.02 ,3.00,3.00,0.22,1.48,0.15,1.12,0.02,2.47,0.99,0.21,0.0000,0.0043,  1640,13.53,86.47,0.00,0.00,0.00,53,578.54,392.22,2599.80,2.95,73.75,0.45,11.13,
2024-03-04,00:14:44.249,0.16,2.43,0.07,1.12,0.05,20.26,1.00,0.37,0.0000,0.0025, 15080,0.56,0.62,99,49,8233.55,3387.72,2597.63,4.86,121.52,0.32,7.92,0.03,1.53,0.02,1.22,0.02,2.31,0.99,0.36,0.0000,0.0014, 24240,0.53,0.01,96,46,1599.13,1045.47,2597.63,3.06,76.48,0.06,1.54,5.85,76.64,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.21,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.25,51.89,4.48 ,4.40 ,0.27 ,0.33 ,3.00,3.00,0.25,1.60,0.16,1.12,0.01,2.73,1.00,0.20,0.0000,0.0042,  1720,13.98,86.02,0.00,0.00,0.00,52,646.72,405.13,2597.63,3.19,79.82,0.50,12.45,
2024-03-04,00:14:45.249,0.16,2.52,0.06,1.12,0.04,20.56,1.00,0.37,0.0000,0.0025, 15840,0.55,0.61,99,49,8329.91,3306.81,2597.25,5.04,125.95,0.32,8.02,0.03,1.64,0.02,1.23,0.01,2.38,1.00,0.36,0.0000,0.0015, 23680,0.51,0.01,96,46,1623.36,992.82,2597.25,3.27,81.75,0.06,1.56,5.71,76.75,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.32,0.12,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.25,51.89,4.47 ,4.39 ,0.10 ,0.33 ,3.00,3.00,0.26,1.64,0.16,1.12,0.01,2.78,1.00,0.20,0.0000,0.0042,  2160,13.98,86.02,0.00,0.00,0.00,52,666.16,405.00,2597.25,3.29,82.24,0.51,12.82,
2024-03-04,00:14:46.249,0.16,2.41,0.06,1.12,0.05,20.17,1.00,0.36,0.0000,0.0025, 15240,0.54,0.59,99,48,8088.91,3355.66,2597.48,4.82,120.53,0.31,7.79,0.03,1.49,0.02,1.21,0.04,2.32,0.98,0.37,0.0000,0.0014, 24320,0.50,0.01,96,46,1611.40,1081.74,2597.48,2.98,74.48,0.06,1.55,5.79,76.66,0.00,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.35,0.11,69.83,0.00,100.00,0.00,0.00,0.00,0.00,78.30,51.93,4.47 ,4.39 ,0.30 ,0.33 ,3.00,3.00,0.25,1.63,0.15,1.12,0.01,2.72,1.00,0.20,0.0000,0.0042,  2440,13.86,86.14,0.00,0.00,0.00,52,652.97,401.52,2597.48,3.25,81.31,0.50,12.57,
2024-03-04,00:14:47.249,0.16,2.45,0.06,1.12,0.06,20.04,1.00,0.37,0.0000,0.0025, 14960,0.54,0.60,99,47,8071.38,3298.69,2597.52,4.89,122.34,0.31,7.77,0.03,1.63,0.02,1.22,0.01,2.37,1.00,0.36,0.0000,0.0015, 24400,0.52,0.01,96,46,1591.65,973.76,2597.52,3.27,81.73,0.06,1.53,5.69,77.19,0.02,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.78,0.10,69.59,0.00,100.00,0.00,0.00,0.00,0.00,78.36,51.96,4.48 ,4.40 ,0.20 ,0.33 ,3.00,3.00,0.25,1.63,0.15,1.12,0.01,2.70,1.00,0.20,0.0000,0.0042,  2400,13.77,86.23,0.00,0.00,0.00,52,648.11,398.81,2597.52,3.25,81.25,0.50,12.48,
2024-03-04,00:14:48.249,0.16,2.45,0.06,1.12,0.05,20.45,1.00,0.36,0.0000,0.0025, 15720,0.53,0.58,99,47,8154.72,3334.94,2597.49,4.89,122.26,0.31,7.85,0.03,1.56,0.02,1.22,0.01,2.40,1.00,0.36,0.0000,0.0015, 24160,0.51,0.01,97,46,1630.47,1045.84,2597.49,3.12,77.95,0.06,1.57,5.76,77.11,0.01,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.66,0.12,69.56,0.00,100.00,0.00,0.00,0.00,0.00,78.51,51.97,4.47 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.26,1.64,0.16,1.12,0.01,2.75,1.00,0.20,0.0000,0.0041,  2600,13.90,86.10,0.00,0.00,0.00,52,662.38,402.73,2597.49,3.29,82.24,0.51,12.75,
2024-03-04,00:14:49.250,0.16,2.42,0.06,1.12,0.06,20.57,1.00,0.37,0.0000,0.0025, 16600,0.53,0.58,99,47,8172.60,3371.20,2597.91,4.85,121.21,0.31,7.86,0.03,1.61,0.02,1.22,0.01,2.29,1.00,0.36,0.0000,0.0014, 24440,0.51,0.01,96,46,1651.93,1023.19,2597.91,3.23,80.72,0.06,1.59,5.82,76.59,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.19,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.38,51.95,4.47 ,4.39 ,0.23 ,0.33 ,3.00,3.00,0.26,1.65,0.16,1.12,0.01,2.76,1.00,0.20,0.0000,0.0041,  2920,13.96,86.04,0.00,0.00,0.00,51,665.70,404.48,2597.91,3.29,82.29,0.51,12.81,
2024-03-04,00:14:50.250,0.15,2.48,0.06,1.12,0.07,20.26,1.00,0.36,0.0000,0.0025, 16240,0.53,0.58,99,48,8042.85,3244.64,2597.77,4.96,123.94,0.31,7.74,0.03,1.55,0.02,1.21,0.01,2.30,1.00,0.36,0.0000,0.0014, 23920,0.50,0.01,96,47,1612.95,1039.41,2597.77,3.10,77.59,0.06,1.55,5.60,76.81,0.00,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.65,29.14,0.11,69.10,0.00,100.00,0.00,0.00,0.00,0.00,78.42,52.25,4.46 ,4.40 ,438014.40 ,389170.26 ,3.00,3.00,0.25,1.67,0.15,1.12,0.01,2.71,1.00,0.20,0.0000,0.0041,  3040,13.56,86.44,0.00,0.00,0.00,52,656.90,392.95,2597.77,3.34,83.59,0.51,12.64,
2024-03-04,00:14:51.249,0.16,2.41,0.07,1.12,0.06,20.57,1.00,0.36,0.0000,0.0025, 16840,0.53,0.58,99,47,8139.83,3379.63,2595.57,4.82,120.42,0.31,7.84,0.03,1.54,0.02,1.22,0.01,2.32,1.00,0.36,0.0000,0.0014, 23520,0.49,0.01,96,46,1604.02,1044.76,2595.57,3.07,76.76,0.06,1.55,5.84,76.65,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.20,0.10,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.34,51.96,4.45 ,4.38 ,0.07 ,0.10 ,3.00,3.00,0.26,1.65,0.16,1.12,0.01,2.76,1.00,0.20,0.0000,0.0041,  3200,13.97,86.03,0.00,0.00,0.00,52,667.56,404.56,2595.57,3.30,82.50,0.51,12.86,
2024-03-04,00:14:52.250,0.16,2.49,0.06,1.12,0.05,20.79,1.00,0.36,0.0000,0.0025, 16600,0.53,0.58,99,47,8257.65,3318.39,2598.36,4.98,124.42,0.32,7.94,0.03,1.64,0.02,1.23,0.01,2.33,0.99,0.36,0.0000,0.0014, 24080,0.49,0.01,96,46,1618.77,985.85,2598.36,3.28,82.10,0.06,1.56,5.72,76.85,0.00,17.42,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.40,0.11,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.55,52.08,4.46 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.26,1.67,0.16,1.12,0.01,2.78,1.00,0.20,0.0000,0.0041,  3240,13.93,86.07,0.00,0.00,0.00,52,674.73,403.84,2598.36,3.34,83.54,0.52,12.98,
2024-03-04,00:14:53.250,0.15,2.26,0.07,1.12,0.18,19.56,0.99,0.39,0.0000,0.0024, 16640,0.59,0.65,97,47,8049.49,3563.47,2598.11,4.52,112.94,0.31,7.75,0.03,1.33,0.02,1.19,0.06,2.70,0.98,0.38,0.0000,0.0017, 24200,0.57,0.04,92,46,1608.18,1213.54,2598.11,2.65,66.26,0.06,1.55,6.15,78.16,0.04,15.66,0.00,100.00,0.00,0.00,0.00,0.00,1.96,33.30,0.26,64.48,0.00,100.00,0.00,0.00,0.00,0.00,78.55,53.29,4.50 ,4.44 ,0.03 ,0.10 ,3.00,3.00,0.24,1.56,0.15,1.12,0.02,2.68,0.99,0.20,0.0000,0.0043,  3560,13.89,86.11,0.00,0.00,0.00,51,628.99,402.51,2598.11,3.13,78.13,0.48,12.10,
2024-03-04,00:14:54.251,0.16,2.47,0.06,1.12,0.05,20.31,1.00,0.37,0.0000,0.0025, 16960,0.51,0.58,99,46,8064.67,3270.68,2597.56,4.93,123.29,0.31,7.76,0.03,1.62,0.02,1.22,0.03,2.39,0.99,0.36,0.0000,0.0015, 23600,0.54,0.01,97,45,1592.08,980.22,2597.56,3.25,81.21,0.06,1.53,5.64,76.86,0.04,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.39,0.15,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.67,52.04,4.45 ,4.41 ,0.03 ,0.10 ,3.00,3.00,0.25,1.66,0.15,1.12,0.01,2.70,1.00,0.20,0.0000,0.0041,  3800,13.67,86.33,0.00,0.00,0.00,51,656.57,396.10,2597.56,3.32,82.88,0.51,12.64,
