System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,00:14:43.197,0.15,2.18,0.07,1.12,0.15,17.48,0.99,0.40,0.0000,0.0022, 14320,0.63,0.68,97,50,7991.21,3660.57,2600.57,4.37,109.15,0.31,7.68,0.03,1.14,0.03,1.18,0.09,2.99,0.97,0.38,0.0001,0.0019, 24200,0.57,0.04,91,48,1593.88,1395.69,2600.57,2.28,57.10,0.06,1.53,6.31,79.34,0.03,14.32,0.00,100.00,0.00,0.00,0.00,0.00,2.28,33.69,0.32,63.71,0.00,100.00,0.00,0.00,0.00,0.00,78.71,53.38,4.57 ,4.44 ,442695.01 ,444295.41 ,3.00,3.00,0.37,2.38,0.15,1.12,0.00,3.11,1.00,0.41,0.0000,0.0032,   120,13.86,86.14,0.00,0.00,0.00,49,958.76,402.17,2600.57,4.77,119.20,0.74,18.43,
2024-03-04,00:14:44.196,0.16,2.42,0.07,1.12,0.05,20.26,1.00,0.37,0.0000,0.0025, 14680,0.56,0.62,99,49,8222.90,3393.31,2595.46,4.85,121.16,0.32,7.92,0.03,1.51,0.02,1.22,0.01,2.25,1.00,0.36,0.0000,0.0014, 24240,0.53,0.01,96,47,1630.51,1078.30,2595.46,3.02,75.61,0.06,1.57,5.86,76.62,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.16,0.11,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.17,51.90,4.48 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.39,2.48,0.16,1.12,0.00,3.78,1.00,0.38,0.0000,0.0038,   280,14.01,85.99,0.00,0.00,0.00,50,1006.34,405.44,2595.46,4.96,124.11,0.78,19.39,
2024-03-04,00:14:45.197,0.16,2.49,0.06,1.12,0.06,20.28,1.00,0.37,0.0000,0.0025, 15440,0.55,0.61,99,48,8216.56,3293.35,2597.80,4.99,124.74,0.32,7.91,0.03,1.62,0.02,1.23,0.01,2.36,0.99,0.35,0.0000,0.0015, 23760,0.51,0.01,96,46,1578.86,975.61,2597.80,3.24,80.92,0.06,1.52,5.68,76.77,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.34,0.12,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.26,51.89,4.47 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.39,2.53,0.15,1.12,0.00,3.78,1.00,0.38,0.0000,0.0037,   160,13.80,86.20,0.00,0.00,0.00,50,1012.80,399.79,2597.80,5.07,126.67,0.78,19.49,
2024-03-04,00:14:46.197,0.15,2.42,0.06,1.12,0.06,20.03,1.00,0.36,0.0000,0.0025, 14520,0.54,0.59,99,48,8015.54,3318.93,2597.79,4.83,120.76,0.31,7.71,0.03,1.55,0.02,1.22,0.01,2.37,1.00,0.36,0.0000,0.0015, 24440,0.50,0.01,96,46,1616.37,1040.99,2597.79,3.11,77.64,0.06,1.56,5.73,76.72,0.00,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.41,0.11,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.29,51.94,4.47 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.37,2.44,0.15,1.12,0.00,3.74,1.00,0.38,0.0000,0.0038,   280,13.73,86.27,0.00,0.00,0.00,48,972.60,397.90,2597.79,4.89,122.22,0.75,18.72,
2024-03-04,00:14:47.197,0.16,2.49,0.06,1.12,0.07,20.67,1.00,0.37,0.0000,0.0025, 14560,0.54,0.60,99,47,8281.85,3329.65,2597.68,4.97,124.37,0.32,7.97,0.03,1.61,0.02,1.22,0.01,2.30,0.99,0.36,0.0000,0.0014, 24560,0.51,0.01,96,46,1628.40,1012.29,2597.68,3.22,80.43,0.06,1.57,5.75,77.07,0.02,17.17,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.64,0.11,69.67,0.00,100.00,0.00,0.00,0.00,0.00,78.35,51.94,4.48 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.39,2.52,0.16,1.12,0.00,3.86,1.00,0.38,0.0000,0.0038,   280,13.97,86.03,0.00,0.00,0.00,49,1018.38,404.76,2597.68,5.03,125.80,0.78,19.60,
2024-03-04,00:14:48.197,0.16,2.43,0.06,1.12,0.04,20.33,1.00,0.36,0.0000,0.0025, 15400,0.53,0.58,99,48,8160.64,3354.67,2597.54,4.87,121.63,0.31,7.85,0.03,1.59,0.02,1.22,0.02,2.34,0.99,0.36,0.0000,0.0014, 24160,0.51,0.01,97,47,1620.06,1017.45,2597.54,3.18,79.61,0.06,1.56,5.79,77.16,0.01,17.04,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.79,0.11,69.49,0.00,100.00,0.00,0.00,0.00,0.00,78.52,51.97,4.47 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.38,2.45,0.16,1.12,0.00,3.81,1.00,0.38,0.0000,0.0038,   200,13.96,86.04,0.00,0.00,0.00,49,992.46,404.60,2597.54,4.91,122.65,0.76,19.10,
2024-03-04,00:14:49.198,0.15,2.41,0.06,1.12,0.07,20.00,1.00,0.37,0.0000,0.0025, 16480,0.53,0.58,99,47,7968.66,3301.50,2597.88,4.83,120.68,0.31,7.67,0.03,1.56,0.02,1.22,0.01,2.31,0.99,0.36,0.0000,0.0014, 24440,0.51,0.01,96,46,1593.28,1023.75,2597.88,3.11,77.82,0.06,1.53,5.70,76.71,0.01,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.21,0.14,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.95,4.47 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.38,2.46,0.15,1.12,0.00,3.73,1.00,0.38,0.0000,0.0038,   320,13.66,86.34,0.00,0.00,0.00,49,974.31,395.89,2597.88,4.92,123.05,0.75,18.75,
2024-03-04,00:14:50.197,0.16,2.45,0.06,1.12,0.06,20.46,1.00,0.36,0.0000,0.0025, 16360,0.53,0.58,99,47,8102.50,3307.26,2595.49,4.90,122.50,0.31,7.80,0.03,1.61,0.02,1.22,0.00,2.26,1.00,0.37,0.0000,0.0014, 23920,0.50,0.01,96,47,1650.41,1027.75,2595.49,3.21,80.29,0.06,1.59,5.71,76.71,0.00,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.62,29.16,0.10,69.11,0.00,100.00,0.00,0.00,0.00,0.00,78.34,52.20,4.45 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.38,2.45,0.16,1.12,0.00,3.82,1.00,0.38,0.0000,0.0039,   280,13.91,86.09,0.00,0.00,0.00,49,988.08,402.62,2595.49,4.91,122.71,0.76,19.03,
2024-03-04,00:14:51.196,0.16,2.40,0.07,1.12,0.06,20.51,1.00,0.36,0.0000,0.0025, 16800,0.53,0.58,99,47,8123.99,3390.47,2594.95,4.79,119.81,0.31,7.83,0.03,1.51,0.02,1.22,0.01,2.26,1.00,0.36,0.0000,0.0014, 23680,0.49,0.01,96,47,1630.10,1078.00,2594.95,3.02,75.61,0.06,1.57,5.86,76.63,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.15,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.33,51.95,4.45 ,4.38 ,0.07 ,0.10 ,3.00,3.00,0.38,2.43,0.16,1.12,0.00,3.82,1.00,0.38,0.0000,0.0039,   240,13.95,86.05,0.00,0.00,0.00,48,981.79,403.75,2594.95,4.86,121.58,0.76,18.92,
