System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,09:57:32.884,0.40,3.18,0.13,1.12,0.13,9.72,0.99,0.69,0.0000,0.0005, 14160,0.08,0.09,99,50,20757.03,6530.34,2599.72,6.36,158.93,0.80,19.96,0.06,1.30,0.04,1.20,0.07,3.39,0.98,0.90,0.0000,0.0011, 22720,0.08,0.00,97,49,3002.04,2304.43,2599.72,2.61,65.14,0.12,2.89,11.26,65.79,0.11,22.85,0.00,100.00,0.00,0.00,0.00,0.00,3.70,31.91,0.11,64.28,0.00,100.00,0.00,0.00,0.00,0.00,76.70,54.96,4.06 ,4.32 ,593585.91 ,596762.56 ,3.00,3.00,1.16,3.67,0.32,1.12,0.01,1.37,0.99,0.15,0.0000,0.0005,  3480,28.29,71.71,0.00,0.00,0.00,52,3009.71,820.23,2599.72,7.34,183.47,2.32,57.89,
2024-03-04,09:57:33.885,0.15,2.42,0.06,1.12,0.06,20.03,1.00,0.36,0.0000,0.0026, 14680,0.66,0.74,99,50,7816.37,3235.98,2598.90,4.83,120.77,0.30,7.52,0.03,1.60,0.02,1.21,0.02,2.61,0.99,0.65,0.0000,0.0015, 23440,0.62,0.02,97,47,1800.50,1123.47,2598.90,3.21,80.13,0.07,1.73,5.58,74.88,0.02,19.52,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.46,0.21,67.54,0.00,100.00,0.00,0.00,0.00,0.00,76.71,53.33,4.56 ,4.43 ,0.33 ,0.00 ,3.00,3.00,0.41,2.69,0.15,1.12,0.00,2.94,1.00,0.15,0.0000,0.0027,  3280,13.80,86.20,0.00,0.00,0.00,51,1075.99,400.12,2598.90,5.38,134.46,0.83,20.70,
2024-03-04,09:57:34.886,0.15,2.43,0.06,1.12,0.06,20.41,1.00,0.40,0.0000,0.0025, 14960,0.64,0.72,99,49,8047.78,3306.57,2598.13,4.87,121.69,0.31,7.74,0.03,1.56,0.02,1.22,0.01,2.56,1.00,0.40,0.0000,0.0016, 23880,0.60,0.01,97,48,1611.18,1033.10,2598.13,3.12,77.98,0.06,1.55,5.71,76.89,0.01,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.38,0.16,69.83,0.00,100.00,0.00,0.00,0.00,0.00,77.78,51.98,4.54 ,4.42 ,0.33 ,0.00 ,3.00,3.00,0.42,2.72,0.15,1.12,0.00,3.02,1.00,0.15,0.0000,0.0028,  3360,13.82,86.18,0.00,0.00,0.00,51,1089.23,400.44,2598.13,5.44,136.01,0.84,20.96,
2024-03-04,09:57:35.885,0.15,2.39,0.06,1.12,0.05,20.49,1.00,0.39,0.0000,0.0026, 14960,0.63,0.71,99,49,7963.35,3332.41,2595.95,4.78,119.48,0.31,7.67,0.03,1.58,0.02,1.22,0.01,2.56,1.00,0.40,0.0000,0.0016, 24320,0.58,0.01,97,47,1597.36,1013.91,2595.95,3.15,78.77,0.06,1.54,5.75,77.05,0.01,17.19,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.42,0.12,69.85,0.00,100.00,0.00,0.00,0.00,0.00,77.74,52.01,4.53 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.41,2.66,0.15,1.12,0.00,3.02,1.00,0.15,0.0000,0.0028,  3120,13.89,86.11,0.00,0.00,0.00,52,1069.70,402.23,2595.95,5.32,132.97,0.82,20.60,
2024-03-04,09:57:36.885,0.15,2.43,0.06,1.12,0.05,20.32,1.00,0.39,0.0000,0.0026, 15040,0.62,0.70,99,49,7877.79,3237.32,2597.79,4.87,121.67,0.30,7.58,0.03,1.55,0.02,1.22,0.01,2.63,1.00,0.39,0.0000,0.0016, 24360,0.57,0.01,97,48,1602.80,1036.06,2597.79,3.09,77.35,0.06,1.54,5.59,77.17,0.02,17.22,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.35,0.15,69.86,0.00,100.00,0.00,0.00,0.00,0.00,77.89,51.97,4.54 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.41,2.72,0.15,1.12,0.00,2.99,1.00,0.15,0.0000,0.0028,  2920,13.47,86.53,0.00,0.00,0.00,51,1060.50,390.38,2597.79,5.43,135.83,0.82,20.41,
2024-03-04,09:57:37.886,0.15,2.39,0.06,1.12,0.05,20.60,1.00,0.39,0.0000,0.0026, 14600,0.61,0.69,99,49,7938.70,3322.31,2598.15,4.78,119.48,0.31,7.64,0.03,1.53,0.02,1.22,0.01,2.68,0.99,0.39,0.0000,0.0017, 24680,0.58,0.01,97,46,1591.50,1042.94,2598.15,3.05,76.30,0.06,1.53,5.73,77.12,0.03,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.67,0.12,69.56,0.00,100.00,0.00,0.00,0.00,0.00,77.88,52.04,4.52 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.41,2.68,0.15,1.12,0.00,3.04,1.00,0.15,0.0000,0.0028,  3240,13.84,86.16,0.00,0.00,0.00,50,1073.35,401.10,2598.15,5.35,133.80,0.83,20.66,
2024-03-04,09:57:38.885,0.15,2.37,0.06,1.12,0.09,20.71,1.00,0.39,0.0000,0.0026, 16120,0.61,0.69,99,48,7954.26,3361.10,2595.56,4.73,118.33,0.31,7.66,0.03,1.57,0.02,1.22,0.01,2.53,0.99,0.39,0.0000,0.0016, 24640,0.59,0.01,97,47,1604.57,1024.74,2595.56,3.13,78.29,0.06,1.55,5.81,77.31,0.01,16.88,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.88,0.14,69.36,0.00,100.00,0.00,0.00,0.00,0.00,77.86,51.94,4.51 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.00,3.04,1.00,0.15,0.0000,0.0028,  3720,13.86,86.14,0.00,0.00,0.00,50,1075.63,401.32,2595.56,5.36,134.01,0.83,20.72,
2024-03-04,09:57:39.886,0.15,2.40,0.06,1.12,0.06,20.90,1.00,0.38,0.0000,0.0026, 15600,0.60,0.68,99,48,7933.79,3304.51,2597.87,4.80,120.04,0.31,7.63,0.03,1.55,0.02,1.22,0.01,2.58,1.00,0.40,0.0000,0.0016, 24400,0.58,0.01,97,47,1580.58,1020.92,2597.87,3.10,77.41,0.06,1.52,5.70,76.90,0.01,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.33,0.16,69.90,0.00,100.00,0.00,0.00,0.00,0.00,77.91,52.03,4.52 ,4.40 ,0.00 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.00,3.08,1.00,0.15,0.0000,0.0029,  3480,13.82,86.18,0.00,0.00,0.00,50,1071.40,400.31,2597.87,5.35,133.82,0.82,20.62,
2024-03-04,09:57:40.886,0.15,2.30,0.07,1.12,0.12,20.02,0.99,0.41,0.0000,0.0026, 16120,0.62,0.71,98,47,7771.95,3383.91,2598.78,4.59,114.84,0.30,7.48,0.03,1.51,0.02,1.21,0.06,2.97,0.98,0.44,0.0000,0.0018, 24840,0.65,0.04,94,46,1663.77,1103.07,2598.78,3.02,75.42,0.06,1.60,5.84,77.34,0.05,16.77,0.00,100.00,0.00,0.00,0.00,0.00,1.76,30.70,0.23,67.31,0.00,100.00,0.00,0.00,0.00,0.00,77.95,52.66,4.54 ,4.45 ,0.33 ,0.33 ,3.00,3.00,0.40,2.65,0.15,1.12,0.01,2.93,1.00,0.15,0.0000,0.0028,  3080,13.62,86.38,0.00,0.00,0.00,50,1048.18,394.89,2598.78,5.31,132.72,0.81,20.17,
2024-03-04,09:57:41.887,0.16,2.45,0.06,1.12,0.05,21.38,1.00,0.39,0.0000,0.0027, 16680,0.56,0.66,99,48,8055.77,3290.41,2597.97,4.90,122.41,0.31,7.75,0.03,1.56,0.02,1.22,0.02,2.61,0.99,0.39,0.0000,0.0016, 24000,0.62,0.01,97,46,1605.72,1026.36,2597.97,3.13,78.22,0.06,1.55,5.68,76.83,0.01,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.31,0.16,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.14,51.97,4.50 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.42,2.73,0.15,1.12,0.00,3.16,1.00,0.15,0.0000,0.0029,  3480,13.83,86.17,0.00,0.00,0.00,50,1095.46,400.75,2597.97,5.47,136.68,0.84,21.08,
2024-03-04,09:57:42.886,0.15,2.39,0.06,1.12,0.05,21.30,1.00,0.39,0.0000,0.0027, 17160,0.56,0.66,99,48,7982.72,3341.96,2594.99,4.78,119.43,0.31,7.69,0.03,1.57,0.02,1.22,0.01,2.57,0.99,0.40,0.0000,0.0016, 24520,0.60,0.01,97,47,1585.46,1006.83,2594.99,3.15,78.74,0.06,1.53,5.77,76.89,0.00,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.48,0.15,69.78,0.00,100.00,0.00,0.00,0.00,0.00,78.18,51.93,4.49 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,3.13,1.00,0.15,0.0000,0.0029,  3400,13.92,86.08,0.00,0.00,0.00,50,1078.17,402.93,2594.99,5.35,133.79,0.83,20.77,
