System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-03-05,12:55:18.497,1.16,3.48,0.33,1.12,0.13,15.29,0.99,0.65,0.0000,0.0003, 10160,0.05,0.05,96,50,60467.17,17357.70,2599.58,6.97,174.18,2.33,58.15,0.17,1.39,0.13,1.18,0.13,7.29,0.98,0.93,0.0000,0.0008, 16120,0.05,0.01,94,49,9072.24,6543.60,2599.58,2.77,69.32,0.35,8.73,29.93,46.35,0.04,23.68,0.00,100.00,0.00,0.00,0.00,0.00,10.66,23.89,0.01,65.45,0.00,100.00,0.00,0.00,0.00,0.00,76.74,54.71,3.95 ,4.23 ,2282.69 ,798.41 ,3.00,3.00,3.40,3.84,0.88,1.12,0.00,1.89,1.00,0.13,0.0000,0.0002,   360,79.26,20.74,0.00,0.00,0.00,52,8831.91,2298.09,2599.58,7.69,192.16,6.79,169.87,
2024-03-05,12:55:19.498,0.28,3.31,0.08,1.12,0.07,12.15,0.99,0.28,0.0000,0.0008, 11840,0.11,0.18,100,50,14537.11,4393.50,2600.26,6.62,165.44,0.56,13.97,0.05,1.35,0.04,1.19,0.07,2.44,0.97,0.93,0.0000,0.0009, 21880,0.16,18446744073.70,100,48,2774.15,2056.78,2600.26,2.70,67.44,0.11,2.67,7.57,66.60,0.01,25.82,0.00,100.00,0.00,0.00,0.00,0.00,3.33,32.17,0.05,64.46,0.00,100.00,0.00,0.00,0.00,0.00,74.66,55.92,4.26 ,4.37 ,2428087.04 ,2478942.40 ,3.00,3.00,0.86,3.65,0.23,1.12,0.00,1.42,1.00,0.13,0.0000,0.0006,   560,21.03,78.97,0.00,0.00,0.00,52,2223.34,609.83,2600.26,7.29,182.29,1.71,42.75,
2024-03-05,12:55:20.497,0.15,2.35,0.07,1.12,0.08,24.51,1.00,0.37,0.0000,0.0031, 14000,0.58,0.85,99,50,7985.14,3404.39,2595.70,4.69,117.28,0.31,7.69,0.03,1.45,0.02,1.21,0.07,3.37,0.98,0.42,0.0000,0.0021, 24120,0.85,0.05,95,48,1602.45,1101.85,2595.70,2.91,72.72,0.06,1.54,5.88,76.99,0.02,17.10,0.00,100.00,0.00,0.00,0.00,0.00,1.76,31.11,0.27,66.86,0.00,100.00,0.00,0.00,0.00,0.00,78.51,52.66,4.58 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.45,2.84,0.16,1.12,0.00,3.12,1.00,0.12,0.0000,0.0027,  1000,14.08,85.92,0.00,0.00,0.00,51,1156.42,407.67,2595.70,5.67,141.83,0.89,22.28,
2024-03-05,12:55:21.498,0.15,2.36,0.06,1.12,0.03,25.78,1.00,0.35,0.0000,0.0033, 14160,0.51,0.76,99,48,7805.42,3312.80,2597.97,4.71,117.81,0.30,7.51,0.03,1.50,0.02,1.22,0.02,3.05,0.99,0.38,0.0000,0.0020, 22680,0.76,0.01,98,48,1532.49,1021.96,2597.97,3.00,74.98,0.06,1.47,5.72,76.67,0.00,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.27,0.11,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.39,51.92,4.54 ,4.45 ,473358.74 ,474600.29 ,3.00,3.00,0.42,2.77,0.15,1.12,0.00,3.25,1.00,0.13,0.0000,0.0030,  1040,13.72,86.28,0.00,0.00,0.00,52,1100.34,397.68,2597.97,5.53,138.35,0.85,21.18,
2024-03-05,12:55:22.498,0.15,2.36,0.06,1.12,0.06,26.43,1.00,0.34,0.0000,0.0034, 14840,0.49,0.74,99,49,7747.45,3284.20,2598.45,4.72,117.95,0.30,7.45,0.03,1.57,0.02,1.22,0.01,3.09,1.00,0.52,0.0000,0.0018, 22360,0.75,0.01,97,49,1676.59,1066.66,2598.45,3.14,78.59,0.06,1.61,5.67,75.97,0.00,18.36,0.00,100.00,0.00,0.00,0.00,0.00,1.69,29.01,0.12,69.19,0.00,100.00,0.00,0.00,0.00,0.00,77.87,52.50,4.53 ,4.46 ,0.33 ,0.20 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,3.35,1.00,0.12,0.0000,0.0030,  1480,13.99,86.01,0.00,0.00,0.00,51,1117.99,405.50,2598.45,5.51,137.85,0.86,21.51,
2024-03-05,12:55:23.499,0.14,2.32,0.06,1.12,0.04,26.23,1.00,0.32,0.0000,0.0035, 15240,0.47,0.72,99,48,7461.27,3218.15,2598.05,4.64,115.92,0.29,7.18,0.03,1.56,0.02,1.20,0.01,3.02,1.00,0.61,0.0000,0.0017, 22960,0.74,0.01,98,48,1728.55,1104.77,2598.05,3.13,78.23,0.07,1.66,5.55,75.07,0.01,19.37,0.00,100.00,0.00,0.00,0.00,0.00,1.77,30.36,0.14,67.74,0.00,100.00,0.00,0.00,0.00,0.00,77.31,53.14,4.53 ,4.45 ,0.33 ,0.24 ,3.00,3.00,0.42,2.70,0.16,1.12,0.00,3.39,1.00,0.13,0.0000,0.0031,  1240,14.05,85.95,0.00,0.00,0.00,51,1100.26,407.04,2598.05,5.41,135.15,0.85,21.17,
2024-03-05,12:55:24.499,0.15,2.34,0.06,1.12,0.04,26.92,1.00,0.35,0.0000,0.0034, 14680,0.47,0.71,99,48,7813.36,3337.12,2597.78,4.68,117.07,0.30,7.52,0.03,1.55,0.02,1.22,0.01,2.91,1.00,0.39,0.0000,0.0019, 23400,0.74,0.01,98,47,1555.73,1005.08,2597.78,3.10,77.39,0.06,1.50,5.76,77.52,0.02,16.70,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.50,0.13,69.78,0.00,100.00,0.00,0.00,0.00,0.00,78.56,51.89,4.52 ,4.45 ,0.33 ,0.17 ,3.00,3.00,0.43,2.75,0.16,1.12,0.00,3.43,1.00,0.13,0.0000,0.0031,  1400,14.01,85.99,0.00,0.00,0.00,51,1117.08,405.83,2597.78,5.51,137.63,0.86,21.50,
2024-03-05,12:55:25.499,0.15,2.28,0.06,1.12,0.04,26.23,1.00,0.35,0.0000,0.0035, 15000,0.46,0.70,99,48,7569.37,3323.34,2597.41,4.56,113.88,0.29,7.29,0.03,1.48,0.02,1.22,0.02,3.05,0.99,0.39,0.0000,0.0020, 23320,0.75,0.01,98,47,1564.90,1054.98,2597.41,2.97,74.17,0.06,1.51,5.74,77.03,0.03,17.21,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.68,0.13,69.52,0.00,100.00,0.00,0.00,0.00,0.00,78.40,51.94,4.50 ,4.45 ,0.30 ,0.07 ,3.00,3.00,0.41,2.69,0.15,1.12,0.00,3.31,1.00,0.13,0.0000,0.0031,  1120,13.65,86.35,0.00,0.00,0.00,50,1062.51,395.59,2597.41,5.37,134.29,0.82,20.45,
2024-03-05,12:55:26.499,0.15,2.32,0.06,1.12,0.06,26.98,1.00,0.35,0.0000,0.0035, 15560,0.46,0.70,99,47,7704.60,3327.65,2597.38,4.63,115.77,0.30,7.42,0.03,1.55,0.02,1.22,0.01,3.05,1.00,0.38,0.0000,0.0020, 23600,0.74,0.01,97,46,1563.24,1011.37,2597.38,3.09,77.28,0.06,1.50,5.74,76.75,0.02,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.28,0.12,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.37,51.92,4.50 ,4.45 ,0.03 ,0.20 ,3.00,3.00,0.42,2.72,0.16,1.12,0.00,3.48,1.00,0.13,0.0000,0.0032,  1400,13.99,86.01,0.00,0.00,0.00,51,1101.89,405.32,2597.38,5.44,135.93,0.85,21.21,
2024-03-05,12:55:27.500,0.15,2.30,0.06,1.12,0.06,26.93,1.00,0.34,0.0000,0.0035, 15080,0.46,0.69,99,48,7633.63,3323.55,2597.47,4.59,114.84,0.29,7.35,0.03,1.53,0.02,1.22,0.02,3.09,0.99,0.38,0.0000,0.0019, 24000,0.74,0.01,98,47,1588.96,1035.38,2597.47,3.07,76.73,0.06,1.53,5.74,76.81,0.02,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.60,0.14,69.62,0.00,100.00,0.00,0.00,0.00,0.00,78.40,52.07,4.51 ,4.45 ,0.20 ,0.00 ,3.00,3.00,0.42,2.67,0.16,1.12,0.00,3.46,1.00,0.13,0.0000,0.0032,  1360,14.00,86.00,0.00,0.00,0.00,50,1084.32,405.74,2597.47,5.34,133.62,0.83,20.87,
