Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1706170004,4189640,2872478,146660556,13155870,140,567504(Total)
0,5213510540,2545620,136892,688198,7410802,140,575064(Miss)
0,0,1644020,2735586,145972358,5745068,0,0(Hit)
1,82051438,221592,5619488,15794856,0,48622,292390(Total)
1,252668430,0,644,293832,0,49266,298354(Miss)
1,0,221592,5618844,15501024,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,20157676,4562922,2579010,155215732,15062572,140,597856(Total)
0,9646,2078202,96628,673848,7233366,140,675234(Miss)
0,20148030,2484720,2482382,154541884,7829206,0,0(Hit)
1,19298496,220556,5480342,15725080,0,49448,292782(Total)
1,12150572,0,2856,61502,0,49560,298228(Miss)
