System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-13,13:12:24.113,0.28,2.78,0.10,1.12,0.16,17.19,0.99,0.29,0.0000,0.0012, 11760,0.47,0.40,99,47,14585.14,5246.55,2600.42,5.56,139.00,0.56,14.02,0.05,1.44,0.03,1.22,0.06,3.56,0.98,0.75,0.0000,0.0014, 22000,0.29,0.01,98,41,2551.02,1777.61,2600.42,2.87,71.75,0.10,2.45,9.04,64.98,0.05,25.92,0.00,100.00,0.00,0.00,0.00,0.00,2.80,27.70,0.23,69.26,0.00,100.00,0.00,0.00,0.00,0.00,72.93,52.98,4.39 ,4.38 ,1051253.08 ,1063461.85 ,3.00,3.00,0.81,2.91,0.28,1.12,0.01,2.48,1.00,0.11,0.0000,0.0012,  3120,24.91,75.09,0.00,0.00,0.00,50,2103.66,722.47,2600.42,5.82,145.59,1.62,40.45,
2024-02-13,13:12:25.113,0.19,2.36,0.08,1.12,0.14,20.90,0.99,0.23,0.0000,0.0021, 12880,0.74,0.63,99,47,9822.47,4160.02,2596.42,4.72,118.06,0.38,9.46,0.04,1.59,0.03,1.22,0.02,2.86,0.99,0.40,0.0000,0.0013, 22920,0.44,0.01,96,40,2284.83,1441.36,2596.42,3.17,79.26,0.09,2.20,7.18,66.54,0.04,26.24,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.65,0.15,69.92,0.00,100.00,0.00,0.00,0.00,0.00,72.11,53.00,4.56 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.56,2.55,0.22,1.12,0.01,3.06,1.00,0.10,0.0000,0.0021,  3400,19.73,80.27,0.00,0.00,0.00,50,1456.07,571.30,2596.42,5.10,127.43,1.12,28.04,
2024-02-13,13:12:26.113,0.19,2.37,0.08,1.12,0.13,21.15,0.99,0.22,0.0000,0.0021, 15000,0.73,0.62,99,46,9835.51,4144.51,2598.22,4.75,118.66,0.38,9.46,0.04,1.59,0.03,1.22,0.01,2.88,1.00,0.40,0.0000,0.0013, 23040,0.42,0.01,97,40,2291.48,1441.29,2598.22,3.18,79.49,0.09,2.20,7.15,66.70,0.02,26.13,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.65,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,72.42,53.02,4.57 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.56,2.55,0.22,1.12,0.01,3.08,1.00,0.10,0.0000,0.0021,  4160,19.73,80.27,0.00,0.00,0.00,49,1456.47,571.84,2598.22,5.09,127.35,1.12,28.03,
2024-02-13,13:12:27.113,0.19,2.37,0.08,1.12,0.14,21.34,0.99,0.22,0.0000,0.0022, 15240,0.73,0.62,99,46,9877.65,4170.82,2598.10,4.74,118.41,0.38,9.50,0.04,1.60,0.03,1.22,0.01,2.89,1.00,0.39,0.0000,0.0013, 23240,0.42,0.01,96,40,2289.40,1427.40,2598.10,3.21,80.19,0.09,2.20,7.20,66.72,0.02,26.06,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.55,0.15,70.05,0.00,100.00,0.00,0.00,0.00,0.00,72.37,53.00,4.57 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.56,2.56,0.22,1.12,0.01,3.11,1.00,0.10,0.0000,0.0021,  4120,19.77,80.23,0.00,0.00,0.00,50,1467.29,572.89,2598.10,5.12,128.06,1.13,28.24,
2024-02-13,13:12:28.113,0.18,1.96,0.09,1.12,0.31,20.14,0.98,0.25,0.0000,0.0021, 16440,0.75,0.68,97,46,9551.80,4867.98,2595.49,3.92,98.11,0.37,9.20,0.04,1.20,0.03,1.19,0.06,3.23,0.98,0.40,0.0000,0.0015, 23480,0.46,0.02,91,40,2169.91,1801.50,2595.49,2.41,60.23,0.08,2.09,8.41,69.33,0.05,22.21,0.00,100.00,0.00,0.00,0.00,0.00,2.93,32.81,0.18,64.08,0.00,100.00,0.00,0.00,0.00,0.00,73.09,54.33,4.57 ,4.41 ,0.00 ,0.00 ,3.00,3.00,0.55,2.49,0.22,1.12,0.01,2.86,1.00,0.11,0.0000,0.0020,  2720,19.73,80.27,0.00,0.00,0.00,49,1423.83,571.33,2595.49,4.98,124.61,1.10,27.43,
2024-02-13,13:12:29.113,0.20,2.45,0.08,1.12,0.15,23.63,0.99,0.23,0.0000,0.0023, 17960,0.62,0.59,99,46,10475.87,4282.37,2598.54,4.89,122.31,0.40,10.08,0.04,1.56,0.03,1.22,0.05,3.09,0.98,0.40,0.0000,0.0014, 23480,0.47,0.01,96,40,2278.01,1456.58,2598.54,3.13,78.20,0.09,2.19,7.39,67.42,0.03,25.16,0.00,100.00,0.00,0.00,0.00,0.00,2.31,28.60,0.16,68.93,0.00,100.00,0.00,0.00,0.00,0.00,73.43,53.16,4.53 ,4.41 ,0.28 ,0.33 ,3.00,3.00,0.63,2.84,0.22,1.12,0.00,3.34,1.00,0.11,0.0000,0.0021,  4040,19.77,80.23,0.00,0.00,0.00,48,1626.86,572.89,2598.54,5.68,141.99,1.25,31.31,
2024-02-13,13:12:30.114,0.20,2.50,0.08,1.12,0.10,23.89,1.00,0.21,0.0000,0.0023, 17520,0.61,0.58,99,46,10551.79,4227.00,2597.87,4.99,124.81,0.41,10.15,0.04,1.55,0.03,1.22,0.02,2.92,0.99,0.40,0.0000,0.0013, 23280,0.44,0.01,96,40,2267.78,1463.18,2597.87,3.10,77.50,0.09,2.18,7.29,66.59,0.02,26.10,0.00,100.00,0.00,0.00,0.00,0.00,2.32,28.00,0.14,69.54,0.00,100.00,0.00,0.00,0.00,0.00,73.29,53.09,4.51 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.63,2.86,0.22,1.12,0.00,3.39,1.00,0.11,0.0000,0.0021,  3840,19.78,80.22,0.00,0.00,0.00,48,1636.84,573.21,2597.87,5.71,142.78,1.26,31.50,
2024-02-13,13:12:31.113,0.20,2.55,0.08,1.12,0.08,24.24,1.00,0.21,0.0000,0.0023, 17720,0.58,0.56,99,46,10576.91,4150.49,2595.49,5.10,127.42,0.41,10.19,0.04,1.60,0.03,1.22,0.02,2.97,0.99,0.39,0.0000,0.0013, 23560,0.44,0.01,96,40,2296.28,1434.55,2595.49,3.20,80.04,0.09,2.21,7.17,66.39,0.00,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.49,0.12,70.12,0.00,100.00,0.00,0.00,0.00,0.00,73.27,52.94,4.50 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.63,2.87,0.22,1.12,0.00,3.44,1.00,0.11,0.0000,0.0021,  3520,19.80,80.20,0.00,0.00,0.00,48,1644.01,573.19,2595.49,5.74,143.41,1.27,31.67,
2024-02-13,13:12:32.113,0.20,2.54,0.08,1.12,0.11,24.30,1.00,0.21,0.0000,0.0023, 19160,0.59,0.56,99,46,10599.16,4166.88,2597.76,5.09,127.18,0.41,10.20,0.04,1.60,0.03,1.22,0.02,2.98,0.99,0.42,0.0000,0.0013, 25240,0.44,0.02,96,39,2322.92,1451.51,2597.76,3.20,80.02,0.09,2.24,7.19,66.52,0.01,26.27,0.00,100.00,0.00,0.00,0.00,0.00,2.30,28.04,0.14,69.52,0.00,100.00,0.00,0.00,0.00,0.00,73.49,53.25,4.52 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.63,2.87,0.22,1.12,0.00,3.44,1.00,0.11,0.0000,0.0021,  3680,19.76,80.24,0.00,0.00,0.00,48,1645.05,572.57,2597.76,5.75,143.65,1.27,31.66,
2024-02-13,13:12:33.121,0.20,2.53,0.08,1.12,0.11,24.16,1.00,0.21,0.0000,0.0023, 18400,0.59,0.56,99,46,10561.40,4170.25,2598.21,5.07,126.63,0.41,10.16,0.04,1.58,0.03,1.22,0.04,2.97,0.99,0.40,0.0000,0.0013, 31720,0.47,0.02,96,39,2305.66,1461.44,2598.21,3.16,78.88,0.09,2.22,7.20,66.45,0.02,26.33,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.84,0.14,69.72,0.00,100.00,0.00,0.00,0.00,0.00,73.37,53.17,4.51 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.63,2.85,0.22,1.12,0.01,3.42,1.00,0.11,0.0000,0.0021,  4440,19.79,80.21,0.00,0.00,0.00,48,1636.02,573.55,2598.21,5.70,142.62,1.26,31.48,
