SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  148.60,  194.07,  530.51,  381.91,  679.11,  575.98,1919088342, 1255.10,  206.01,    5.97,  210.49,    8.94,  416.50,   14.91,1919304048,  431.41,   1095.61,    590.89,   1686.51
  160.08,  210.13,  574.79,  415.17,  734.87,  625.30,2133150613, 1360.17,  214.63,    1.64,  219.03,    4.97,  433.66,    6.62,2133069304,  440.27,   1168.53,    631.91,   1800.44
  159.91,  211.02,  572.88,  414.75,  732.79,  625.77,2132601867, 1358.56,  208.51,    1.63,  212.45,    4.96,  420.96,    6.59,2132626225,  427.55,   1153.75,    632.37,   1786.11
  158.42,  209.18,  568.55,  411.96,  726.97,  621.14,2132593363, 1348.11,  204.85,    1.76,  208.65,    5.06,  413.49,    6.82,2132681514,  420.31,   1140.46,    627.96,   1768.42
  164.49,  241.79,  580.54,  446.87,  745.03,  688.66,2134832182, 1433.70,  239.71,   11.94,  242.59,   15.24,  482.30,   27.18,2134652547,  509.47,   1227.33,    715.84,   1943.17
  128.56,  195.87,  465.90,  368.59,  594.46,  564.46,2132579118, 1158.92,  225.84,    3.72,  229.28,    7.03,  455.12,   10.75,2132580959,  465.86,   1049.58,    575.20,   1624.78
  131.81,  200.56,  476.57,  376.31,  608.38,  576.87,2134651953, 1185.25,  218.98,    2.82,  223.13,    6.12,  442.10,    8.94,2134714258,  451.04,   1050.49,    585.81,   1636.30
  125.32,  193.75,  456.65,  363.50,  581.97,  557.25,2132503476, 1139.22,  214.03,    1.93,  218.88,    5.25,  432.91,    7.17,2132455533,  440.08,   1014.88,    564.42,   1579.31
  129.77,  198.51,  468.54,  371.77,  598.31,  570.28,2132581675, 1168.59,  227.57,   12.03,  231.76,   15.37,  459.33,   27.40,2132540679,  486.73,   1057.63,    597.68,   1655.32
  125.36,  192.39,  455.63,  361.89,  580.99,  554.28,2134679520, 1135.27,  234.07,    8.30,  237.97,   11.62,  472.04,   19.92,2134673095,  491.96,   1053.03,    574.19,   1627.23
  124.98,  191.79,  454.74,  360.63,  579.71,  552.41,2132584110, 1132.13,  222.57,    3.16,  226.76,    6.49,  449.32,    9.65,2132595969,  458.98,   1029.04,    562.07,   1591.11
  123.90,  189.84,  450.58,  357.43,  574.47,  547.27,2132487136, 1121.74,  215.70,    2.70,  219.40,    6.00,  435.11,    8.71,2132530633,  443.82,   1009.58,    555.98,   1565.56
