Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11309046,2808526,1764602,95243078,8319248,140,368816
1,10632244,127176,4517016,10847284,0,27692,162484
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11507342,2940448,1786344,97567246,8180816,140,341782
1,10775940,127610,4500188,10261160,0,27524,162974
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11563496,3010196,1873172,97042918,8266776,140,347466
1,10771880,125972,4630682,10166940,0,27706,164430
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11570566,3019632,1875314,97917162,8193010,140,365372
1,10773924,127120,4640678,10168886,0,27636,166628
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
