System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core7 (Socket 0)-EXEC,Core7 (Socket 0)-IPC,Core7 (Socket 0)-FREQ,Core7 (Socket 0)-AFREQ,Core7 (Socket 0)-L3MISS,Core7 (Socket 0)-L2MISS,Core7 (Socket 0)-L3HIT,Core7 (Socket 0)-L2HIT,Core7 (Socket 0)-L3MPI,Core7 (Socket 0)-L2MPI,Core7 (Socket 0)-L3OCC,Core7 (Socket 0)-C0res%,Core7 (Socket 0)-C1res%,Core7 (Socket 0)-C3res%,Core7 (Socket 0)-C6res%,Core7 (Socket 0)-C7res%,Core7 (Socket 0)-TEMP,Core7 (Socket 0)-INST,Core7 (Socket 0)-ACYC,Core7 (Socket 0)-TIME(ticks),Core7 (Socket 0)-PhysIPC,Core7 (Socket 0)-PhysIPC%,Core7 (Socket 0)-INSTnom,Core7 (Socket 0)-INSTnom%,-
2024-02-13,16:42:17.595,0.19,2.41,0.08,1.12,0.12,21.44,0.99,0.20,0.0000,0.0021, 13760,0.74,0.65,99,49,10063.00,4168.46,2601.11,4.83,120.70,0.39,9.67,0.04,1.61,0.03,1.22,0.02,2.84,0.99,0.40,0.0000,0.0012, 22880,0.46,0.02,97,48,2285.61,1421.19,2601.11,3.22,80.41,0.09,2.20,7.18,66.32,0.01,26.48,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.71,0.12,69.94,0.00,100.00,0.00,0.00,0.00,0.00,72.42,52.01,4.55 ,4.40 ,496274.01 ,500713.33 ,3.00,3.00,0.62,2.84,0.22,1.12,0.00,2.15,1.00,0.15,0.0000,0.0013,     0,19.63,80.37,0.00,0.00,0.00,55,1616.92,569.55,2601.11,5.68,141.95,1.24,31.08,
2024-02-13,16:42:18.595,0.20,2.43,0.08,1.12,0.12,21.92,0.99,0.20,0.0000,0.0022, 14360,0.72,0.63,99,49,10154.34,4174.36,2602.19,4.87,121.63,0.39,9.76,0.04,1.60,0.03,1.22,0.01,2.86,1.00,0.40,0.0000,0.0012, 23760,0.43,0.01,96,49,2292.36,1434.45,2602.19,3.20,79.90,0.09,2.20,7.19,66.21,0.01,26.58,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.66,0.12,69.96,0.00,100.00,0.00,0.00,0.00,0.00,72.31,51.87,4.55 ,4.38 ,0.00 ,0.33 ,3.00,3.00,0.62,2.83,0.22,1.12,0.00,2.23,1.00,0.15,0.0000,0.0014,    80,19.63,80.37,0.00,0.00,0.00,54,1614.72,569.62,2602.19,5.67,141.74,1.24,31.03,
2024-02-13,16:42:19.595,0.19,2.44,0.08,1.12,0.11,21.96,0.99,0.20,0.0000,0.0022, 14000,0.72,0.63,99,49,10102.42,4148.01,2591.59,4.87,121.77,0.39,9.74,0.04,1.61,0.03,1.22,0.01,2.79,1.00,0.40,0.0000,0.0012, 23600,0.42,0.01,96,48,2291.49,1424.20,2591.59,3.22,80.45,0.09,2.21,7.17,66.27,0.02,26.53,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.39,0.14,70.22,0.00,100.00,0.00,0.00,0.00,0.00,72.36,51.89,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.62,2.83,0.22,1.12,0.00,2.24,1.00,0.15,0.0000,0.0014,   160,19.69,80.31,0.00,0.00,0.00,54,1611.52,569.22,2591.59,5.66,141.55,1.24,31.09,
2024-02-13,16:42:20.595,0.20,2.41,0.08,1.12,0.12,22.13,0.99,0.20,0.0000,0.0022, 15080,0.70,0.62,99,50,10164.22,4225.82,2597.50,4.81,120.26,0.39,9.78,0.04,1.59,0.03,1.22,0.01,2.86,1.00,0.40,0.0000,0.0012, 23680,0.41,0.01,96,47,2288.77,1438.73,2597.50,3.18,79.54,0.09,2.20,7.29,66.60,0.00,26.11,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.75,0.13,69.85,0.00,100.00,0.00,0.00,0.00,0.00,72.52,51.85,4.56 ,4.37 ,0.27 ,0.33 ,3.00,3.00,0.62,2.84,0.22,1.12,0.00,2.28,1.00,0.15,0.0000,0.0014,    80,19.67,80.33,0.00,0.00,0.00,53,1615.82,569.84,2597.50,5.67,141.78,1.24,31.10,
2024-02-13,16:42:21.596,0.20,2.45,0.08,1.12,0.11,22.58,1.00,0.20,0.0000,0.0022, 15080,0.69,0.61,99,49,10204.11,4168.76,2602.66,4.90,122.39,0.39,9.81,0.04,1.59,0.03,1.22,0.01,2.89,1.00,0.40,0.0000,0.0013, 23160,0.41,0.01,96,48,2291.84,1443.60,2602.66,3.18,79.38,0.09,2.20,7.18,66.33,0.03,26.45,0.00,100.00,0.00,0.00,0.00,0.00,2.28,28.08,0.15,69.49,0.00,100.00,0.00,0.00,0.00,0.00,72.61,52.08,4.55 ,4.38 ,0.00 ,0.33 ,3.00,3.00,0.62,2.83,0.22,1.12,0.00,2.34,1.00,0.15,0.0000,0.0014,   160,19.60,80.40,0.00,0.00,0.00,53,1612.71,568.93,2602.66,5.67,141.73,1.24,30.98,
2024-02-13,16:42:22.596,0.20,2.37,0.08,1.12,0.17,22.16,0.99,0.21,0.0000,0.0021, 16600,0.69,0.63,97,49,10326.78,4356.28,2599.25,4.74,118.53,0.40,9.93,0.04,1.42,0.03,1.19,0.11,3.70,0.97,0.43,0.0000,0.0016, 23240,0.50,0.05,92,48,2316.66,1626.74,2599.25,2.85,71.21,0.09,2.23,7.51,68.16,0.11,24.22,0.00,100.00,0.00,0.00,0.00,0.00,2.62,32.13,0.34,64.90,0.00,100.00,0.00,0.00,0.00,0.00,73.02,53.13,4.54 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.62,2.83,0.22,1.12,0.00,2.25,1.00,0.15,0.0000,0.0014,   200,19.65,80.35,0.00,0.00,0.00,54,1611.57,569.69,2599.25,5.66,141.44,1.24,31.00,
2024-02-13,16:42:23.596,0.20,2.53,0.08,1.12,0.08,23.88,1.00,0.20,0.0000,0.0023, 17520,0.62,0.58,99,48,10520.52,4159.19,2596.58,5.06,126.47,0.41,10.13,0.04,1.59,0.03,1.22,0.02,2.93,0.99,0.40,0.0000,0.0013, 23360,0.45,0.01,97,47,2295.02,1440.08,2596.58,3.19,79.68,0.09,2.21,7.18,66.17,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.62,0.15,69.95,0.00,100.00,0.00,0.00,0.00,0.00,72.88,51.97,4.50 ,4.38 ,0.20 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.58,1.00,0.16,0.0000,0.0016,   280,19.70,80.30,0.00,0.00,0.00,53,1627.92,570.57,2596.58,5.71,142.66,1.25,31.35,
2024-02-13,16:42:24.597,0.20,2.52,0.08,1.12,0.09,23.95,1.00,0.20,0.0000,0.0023, 17120,0.62,0.58,99,48,10516.72,4169.13,2597.77,5.05,126.13,0.40,10.12,0.04,1.61,0.03,1.22,0.01,2.87,1.00,0.40,0.0000,0.0013, 23480,0.43,0.01,96,47,2291.13,1422.93,2597.77,3.22,80.51,0.09,2.20,7.19,66.14,0.01,26.66,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.64,0.14,69.98,0.00,100.00,0.00,0.00,0.00,0.00,72.89,51.96,4.53 ,4.39 ,0.30 ,0.33 ,3.00,3.00,0.63,2.86,0.22,1.12,0.00,2.59,1.00,0.16,0.0000,0.0016,   120,19.69,80.31,0.00,0.00,0.00,53,1632.63,570.62,2597.77,5.72,143.06,1.26,31.42,
2024-02-13,16:42:25.596,0.20,2.53,0.08,1.12,0.08,23.93,1.00,0.20,0.0000,0.0023, 17920,0.62,0.57,99,47,10474.21,4145.63,2596.71,5.05,126.33,0.40,10.08,0.04,1.61,0.03,1.22,0.01,2.89,1.00,0.40,0.0000,0.0013, 23120,0.43,0.01,96,47,2292.03,1424.09,2596.71,3.22,80.47,0.09,2.21,7.16,66.19,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.54,0.13,70.09,0.00,100.00,0.00,0.00,0.00,0.00,72.94,51.99,4.53 ,4.39 ,0.20 ,0.33 ,3.00,3.00,0.62,2.84,0.22,1.12,0.01,2.59,1.00,0.16,0.0000,0.0016,   200,19.67,80.33,0.00,0.00,0.00,52,1619.42,569.75,2596.71,5.68,142.12,1.25,31.18,
2024-02-13,16:42:26.597,0.20,2.52,0.08,1.12,0.09,23.92,1.00,0.20,0.0000,0.0023, 16760,0.62,0.57,99,47,10503.39,4163.52,2598.76,5.05,126.14,0.40,10.10,0.04,1.62,0.03,1.22,0.01,2.86,1.00,0.40,0.0000,0.0012, 23320,0.42,0.01,96,47,2300.59,1424.26,2598.76,3.23,80.76,0.09,2.21,7.18,66.24,0.01,26.57,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.55,0.11,70.09,0.00,100.00,0.00,0.00,0.00,0.00,73.02,51.99,4.51 ,4.38 ,430832.67 ,334990.74 ,3.00,3.00,0.63,2.86,0.22,1.12,0.00,2.59,1.00,0.16,0.0000,0.0016,   160,19.68,80.32,0.00,0.00,0.00,53,1630.43,570.58,2598.76,5.72,142.88,1.25,31.37,
