System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,16:42:17.248,0.27,2.77,0.10,1.12,0.14,18.10,0.99,0.23,0.0000,0.0013, 12320,0.50,0.44,99,50,14139.55,5108.71,2599.28,5.54,138.39,0.54,13.60,0.05,1.37,0.03,1.22,0.07,3.34,0.98,0.77,0.0000,0.0014, 22720,0.31,0.01,96,47,2359.85,1719.76,2599.28,2.74,68.61,0.09,2.27,8.81,65.11,0.06,26.02,0.00,100.00,0.00,0.00,0.00,0.00,2.72,27.90,0.17,69.21,0.00,100.00,0.00,0.00,0.00,0.00,72.89,51.95,4.34 ,4.36 ,6609516.36 ,7026930.02 ,3.00,3.00,0.79,2.91,0.27,1.12,0.01,2.63,1.00,0.13,0.0000,0.0013,  3200,24.34,75.66,0.00,0.00,0.00,52,2056.34,705.64,2599.28,5.83,145.71,1.58,39.55,
2024-02-13,16:42:18.249,0.20,2.43,0.08,1.12,0.12,21.87,0.99,0.20,0.0000,0.0022, 13880,0.72,0.63,99,48,10166.14,4187.62,2598.71,4.86,121.38,0.39,9.78,0.04,1.61,0.03,1.22,0.02,2.90,0.99,0.40,0.0000,0.0013, 23720,0.44,0.01,96,47,2293.19,1427.40,2598.71,3.21,80.33,0.09,2.21,7.22,66.13,0.00,26.65,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.59,0.11,70.05,0.00,100.00,0.00,0.00,0.00,0.00,72.36,51.92,4.56 ,4.39 ,0.00 ,48580.50 ,3.00,3.00,0.58,2.60,0.22,1.12,0.01,3.18,1.00,0.13,0.0000,0.0021,  3840,19.89,80.11,0.00,0.00,0.00,51,1497.23,576.65,2598.71,5.19,129.82,1.15,28.81,
2024-02-13,16:42:19.249,0.20,2.43,0.08,1.12,0.13,22.11,0.99,0.20,0.0000,0.0022, 13960,0.72,0.63,99,49,10195.72,4189.60,2598.36,4.87,121.68,0.39,9.81,0.04,1.61,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 23680,0.42,0.01,96,47,2290.76,1424.93,2598.36,3.22,80.38,0.09,2.20,7.23,66.27,0.02,26.48,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.51,0.12,70.13,0.00,100.00,0.00,0.00,0.00,0.00,72.35,51.86,4.54 ,4.37 ,0.33 ,0.00 ,3.00,3.00,0.58,2.60,0.22,1.12,0.01,3.20,1.00,0.13,0.0000,0.0021,  3720,19.89,80.11,0.00,0.00,0.00,51,1496.09,576.37,2598.36,5.19,129.78,1.15,28.79,
2024-02-13,16:42:20.250,0.20,2.41,0.08,1.12,0.12,22.17,0.99,0.20,0.0000,0.0022, 14320,0.71,0.62,99,49,10219.79,4246.07,2598.09,4.81,120.34,0.39,9.83,0.04,1.60,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 23760,0.42,0.01,96,47,2309.87,1447.55,2598.09,3.19,79.79,0.09,2.22,7.33,66.55,0.00,26.12,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.67,0.16,69.89,0.00,100.00,0.00,0.00,0.00,0.00,72.55,51.92,4.56 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.58,2.63,0.22,1.12,0.01,3.21,1.00,0.13,0.0000,0.0021,  3720,19.90,80.10,0.00,0.00,0.00,50,1518.89,576.74,2598.09,5.27,131.68,1.17,29.23,
2024-02-13,16:42:21.250,0.20,2.47,0.08,1.12,0.11,22.68,1.00,0.20,0.0000,0.0022, 15240,0.69,0.61,99,49,10306.48,4179.48,2597.88,4.93,123.30,0.40,9.92,0.04,1.59,0.03,1.22,0.01,2.98,1.00,0.40,0.0000,0.0013, 23280,0.41,0.01,96,47,2306.99,1455.07,2597.88,3.17,79.27,0.09,2.22,7.21,66.30,0.02,26.47,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.92,0.13,69.65,0.00,100.00,0.00,0.00,0.00,0.00,72.52,52.06,4.55 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.59,2.65,0.22,1.12,0.01,3.28,1.00,0.14,0.0000,0.0021,  3760,19.88,80.12,0.00,0.00,0.00,50,1528.29,575.95,2597.88,5.31,132.68,1.18,29.41,
2024-02-13,16:42:22.249,0.20,2.32,0.08,1.12,0.17,21.47,0.99,0.21,0.0000,0.0021, 16400,0.71,0.63,97,49,10173.07,4381.36,2595.35,4.64,116.09,0.39,9.80,0.04,1.35,0.03,1.19,0.13,3.60,0.96,0.42,0.0001,0.0016, 23480,0.47,0.04,92,47,2269.89,1682.06,2595.35,2.70,67.47,0.09,2.19,7.57,67.99,0.10,24.34,0.00,100.00,0.00,0.00,0.00,0.00,2.72,31.59,0.28,65.40,0.00,100.00,0.00,0.00,0.00,0.00,72.83,52.87,4.54 ,4.40 ,0.43 ,0.33 ,3.00,3.00,0.58,2.60,0.22,1.12,0.01,3.07,1.00,0.14,0.0000,0.0020,  2400,19.96,80.04,0.00,0.00,0.00,50,1499.49,577.81,2595.35,5.19,129.76,1.16,28.89,
2024-02-13,16:42:23.250,0.20,2.52,0.08,1.12,0.09,23.97,1.00,0.20,0.0000,0.0023, 17600,0.63,0.59,99,48,10582.97,4199.21,2598.61,5.04,126.01,0.41,10.18,0.04,1.58,0.03,1.22,0.04,3.08,0.99,0.40,0.0000,0.0013, 23120,0.47,0.02,96,47,2313.04,1460.51,2598.61,3.17,79.19,0.09,2.23,7.24,66.20,0.03,26.53,0.00,100.00,0.00,0.00,0.00,0.00,2.31,28.08,0.23,69.39,0.00,100.00,0.00,0.00,0.00,0.00,72.96,52.07,4.53 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.61,2.74,0.22,1.12,0.00,3.41,1.00,0.14,0.0000,0.0022,  3880,19.89,80.11,0.00,0.00,0.00,50,1577.39,576.33,2598.61,5.47,136.85,1.21,30.35,
2024-02-13,16:42:24.250,0.20,2.53,0.08,1.12,0.09,23.97,1.00,0.20,0.0000,0.0023, 17640,0.62,0.58,99,49,10614.20,4190.53,2598.06,5.07,126.65,0.41,10.21,0.04,1.61,0.03,1.22,0.01,2.92,1.00,0.40,0.0000,0.0013, 23400,0.43,0.01,97,47,2309.38,1431.73,2598.06,3.23,80.65,0.09,2.22,7.23,66.04,0.01,26.72,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.54,0.15,70.06,0.00,100.00,0.00,0.00,0.00,0.00,72.85,51.93,4.51 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.62,2.78,0.22,1.12,0.00,3.42,1.00,0.14,0.0000,0.0021,  4320,19.94,80.06,0.00,0.00,0.00,50,1607.09,577.87,2598.06,5.56,139.05,1.24,30.93,
2024-02-13,16:42:25.250,0.20,2.53,0.08,1.12,0.09,24.10,1.00,0.20,0.0000,0.0023, 17640,0.62,0.57,99,48,10581.20,4186.85,2595.12,5.05,126.36,0.41,10.19,0.04,1.61,0.03,1.22,0.01,3.01,1.00,0.40,0.0000,0.0013, 22960,0.43,0.01,97,46,2305.18,1434.25,2595.12,3.21,80.36,0.09,2.22,7.23,66.10,0.01,26.66,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.60,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,72.86,51.99,4.52 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.61,2.74,0.22,1.12,0.00,3.44,1.00,0.14,0.0000,0.0022,  4480,19.96,80.04,0.00,0.00,0.00,50,1580.49,577.68,2595.12,5.47,136.80,1.22,30.45,
2024-02-13,16:42:26.250,0.20,2.52,0.08,1.12,0.10,24.13,1.00,0.20,0.0000,0.0023, 17520,0.62,0.57,99,48,10595.82,4203.22,2597.95,5.04,126.04,0.41,10.20,0.04,1.62,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 23200,0.42,0.01,96,46,2312.46,1428.98,2597.95,3.24,80.91,0.09,2.23,7.25,66.21,0.02,26.52,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.52,0.13,70.10,0.00,100.00,0.00,0.00,0.00,0.00,72.97,51.99,4.52 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.62,2.78,0.22,1.12,0.00,3.44,1.00,0.14,0.0000,0.0021,  4240,19.92,80.08,0.00,0.00,0.00,50,1602.53,577.14,2597.95,5.55,138.83,1.23,30.84,
2024-02-13,16:42:27.251,0.20,2.53,0.08,1.12,0.10,24.11,1.00,0.20,0.0000,0.0023, 17080,0.62,0.57,99,48,10591.08,4189.39,2598.93,5.06,126.40,0.41,10.19,0.04,1.61,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 23360,0.41,0.01,96,46,2301.97,1432.58,2598.93,3.21,80.34,0.09,2.21,7.23,66.33,0.00,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.70,0.11,69.94,0.00,100.00,0.00,0.00,0.00,0.00,73.03,52.00,4.50 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.61,2.75,0.22,1.12,0.00,3.44,1.00,0.14,0.0000,0.0022,  4400,19.94,80.06,0.00,0.00,0.00,49,1591.67,578.04,2598.93,5.51,137.68,1.23,30.63,
