Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707838933,Device: id=0,TX,0.27064071788511,766.57023363049,809.87274849211,274704,97258968
1707838934,Device: id=0,TX,0.21212434147138,600.71864518809,634.65853982351,491075,173852072
1707838935,Device: id=0,TX,0.24026919464296,681.11507540019,719.55814654306,739186,261770200
1707838936,Device: id=0,TX,0.46711050148428,1323.1171142548,1397.8547944923,1206300,427161078
1707838937,Device: id=0,TX,1.7534354719759,4958.3128676915,5238.8625432076,2959757,1046957796
1707838938,Device: id=0,TX,1.7534093839504,4957.2982038163,5237.8437052484,4713169,1666620996
1707838939,Device: id=0,TX,1.753649778449,4961.8941631239,5242.4781276757,6466834,2286863150
1707838940,Device: id=0,TX,1.7498724158533,4956.3917154205,5236.3713019571,8216721,2906417278
1707838941,Device: id=0,TX,1.753391945476,4963.9122929726,5244.4550042487,9970162,3526923674
1707838942,Device: id=0,TX,1.7452540630993,4937.9835757132,5217.2242258091,11715479,4144193880
1707838943,Device: id=0,TX,1.7529303096238,4963.9063363659,5244.3751859057,13468425,4764687726
1707838944,Device: id=0,TX,1.7529075377417,4963.4511969972,5243.9164030359,15221391,5385139818
