System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-02-13,21:54:32.908,1.07,3.48,0.31,1.12,0.23,13.40,0.98,0.52,0.0000,0.0002, 10560,18446744073.71,18446744073.71,100,48,55624.39,15970.09,2599.04,6.97,174.15,2.14,53.50,0.13,1.23,0.10,1.22,0.12,8.05,0.98,0.89,0.0000,0.0012, 22240,18446744073.71,18446744073.71,100,48,6562.25,5318.67,2599.04,2.47,61.69,0.25,6.31,27.54,44.91,0.00,27.55,0.00,100.00,0.00,0.00,0.00,0.00,8.37,20.10,0.07,71.46,0.00,100.00,0.00,0.00,0.00,0.00,74.81,51.36,3.75 ,4.25 ,5628513.80 ,5916120.81 ,3.00,3.00,3.19,3.75,0.85,1.12,0.01,1.73,0.99,0.82,0.0000,0.0002,   920,76.35,23.65,0.00,0.00,0.00,53,8299.83,2213.34,2599.04,7.50,187.50,6.39,159.66,
2024-02-13,21:54:33.910,0.19,2.34,0.08,1.12,0.19,20.40,0.99,0.24,0.0000,0.0021, 14920,0.74,0.64,99,50,9883.94,4229.91,2595.49,4.67,116.83,0.38,9.52,0.04,1.52,0.03,1.21,0.07,3.16,0.98,0.39,0.0000,0.0014, 24800,0.47,0.03,95,48,2255.65,1488.28,2595.49,3.03,75.78,0.09,2.17,7.30,67.78,0.04,24.87,0.00,100.00,0.00,0.00,0.00,0.00,2.36,28.88,0.17,68.59,0.00,100.00,0.00,0.00,0.00,0.00,72.38,52.26,4.55 ,4.39 ,501240.72 ,501736.88 ,3.00,3.00,0.61,2.80,0.22,1.12,0.01,2.76,1.00,0.28,0.0000,0.0017,   960,19.60,80.40,0.00,0.00,0.00,52,1586.10,567.36,2595.49,5.59,139.78,1.22,30.55,
2024-02-13,21:54:34.908,0.20,2.33,0.09,1.12,0.22,22.85,0.99,0.23,0.0000,0.0022, 15520,0.64,0.63,98,48,10551.79,4526.69,2597.96,4.66,116.55,0.41,10.16,0.04,1.37,0.03,1.20,0.07,3.37,0.98,0.40,0.0000,0.0015, 24120,0.49,0.02,92,47,2230.01,1633.70,2597.96,2.73,68.25,0.09,2.15,7.81,68.89,0.06,23.24,0.00,100.00,0.00,0.00,0.00,0.00,2.62,30.60,0.22,66.55,0.00,100.00,0.00,0.00,0.00,0.00,73.75,52.80,4.52 ,4.40 ,0.00 ,0.10 ,3.00,3.00,0.64,2.90,0.22,1.12,0.00,3.11,1.00,0.23,0.0000,0.0019,  2280,19.69,80.31,0.00,0.00,0.00,52,1652.66,570.49,2597.96,5.79,144.85,1.27,31.81,
2024-02-13,21:54:35.908,0.21,2.61,0.08,1.12,0.07,24.71,1.00,0.21,0.0000,0.0023, 16280,0.56,0.56,99,50,10765.65,4120.08,2597.35,5.23,130.65,0.41,10.36,0.04,1.61,0.03,1.22,0.02,2.84,0.99,0.39,0.0000,0.0012, 23560,0.43,0.01,97,46,2281.05,1417.54,2597.35,3.22,80.46,0.09,2.20,7.11,66.21,0.01,26.67,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.56,0.15,70.06,0.00,100.00,0.00,0.00,0.00,0.00,73.16,52.00,4.50 ,4.38 ,0.17 ,0.10 ,3.00,3.00,0.65,2.93,0.22,1.12,0.01,3.47,1.00,0.21,0.0000,0.0021,  2400,19.76,80.24,0.00,0.00,0.00,52,1675.72,572.57,2597.35,5.85,146.33,1.29,32.26,
2024-02-13,21:54:36.908,0.21,2.59,0.08,1.12,0.10,24.69,1.00,0.22,0.0000,0.0023, 16360,0.56,0.55,99,48,10747.05,4145.71,2597.31,5.18,129.62,0.41,10.34,0.04,1.61,0.03,1.22,0.01,2.91,1.00,0.39,0.0000,0.0013, 23080,0.42,0.01,96,46,2277.66,1417.62,2597.31,3.21,80.33,0.09,2.19,7.16,66.20,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.58,0.13,70.06,0.00,100.00,0.00,0.00,0.00,0.00,73.18,52.06,4.50 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.65,2.93,0.22,1.12,0.00,3.46,1.00,0.22,0.0000,0.0021,  2480,19.77,80.23,0.00,0.00,0.00,51,1678.03,572.69,2597.31,5.86,146.50,1.29,32.30,
2024-02-13,21:54:37.908,0.21,2.60,0.08,1.12,0.07,24.67,1.00,0.21,0.0000,0.0023, 16600,0.56,0.55,99,49,10715.09,4121.02,2597.06,5.20,130.01,0.41,10.31,0.04,1.60,0.03,1.22,0.02,2.94,0.99,0.39,0.0000,0.0013, 22840,0.42,0.01,96,47,2279.52,1425.09,2597.06,3.20,79.98,0.09,2.19,7.11,66.27,0.01,26.60,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.61,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,73.20,52.08,4.49 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.64,2.92,0.22,1.12,0.00,3.46,1.00,0.21,0.0000,0.0021,  3200,19.74,80.26,0.00,0.00,0.00,52,1671.59,571.95,2597.06,5.85,146.13,1.29,32.18,
2024-02-13,21:54:38.909,0.21,2.59,0.08,1.12,0.09,24.76,1.00,0.21,0.0000,0.0023, 17080,0.56,0.55,99,48,10754.91,4144.87,2599.60,5.19,129.74,0.41,10.34,0.04,1.57,0.03,1.22,0.02,2.93,0.99,0.39,0.0000,0.0013, 23960,0.42,0.01,96,47,2261.57,1441.57,2599.60,3.14,78.44,0.09,2.17,7.15,66.63,0.01,26.21,0.00,100.00,0.00,0.00,0.00,0.00,2.28,28.49,0.11,69.13,0.00,100.00,0.00,0.00,0.00,0.00,73.36,52.28,4.51 ,4.38 ,0.07 ,0.10 ,3.00,3.00,0.65,2.92,0.22,1.12,0.01,3.47,1.00,0.21,0.0000,0.0021,  2640,19.79,80.21,0.00,0.00,0.00,51,1677.38,573.96,2599.60,5.84,146.12,1.29,32.26,
2024-02-13,21:54:39.909,0.21,2.61,0.08,1.12,0.08,24.83,1.00,0.21,0.0000,0.0023, 17400,0.56,0.54,99,47,10728.89,4116.43,2597.15,5.21,130.32,0.41,10.33,0.04,1.60,0.03,1.22,0.02,2.99,0.99,0.39,0.0000,0.0013, 23880,0.42,0.01,97,46,2269.11,1415.62,2597.15,3.21,80.15,0.09,2.18,7.11,66.25,0.01,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.50,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,73.24,52.08,4.50 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.64,2.93,0.22,1.12,0.00,3.49,1.00,0.20,0.0000,0.0021,  2680,19.75,80.25,0.00,0.00,0.00,51,1674.55,572.09,2597.15,5.85,146.35,1.29,32.24,
2024-02-13,21:54:40.909,0.20,2.54,0.08,1.12,0.12,24.38,0.99,0.22,0.0000,0.0023, 17440,0.58,0.57,98,48,10630.34,4181.96,2597.07,5.08,127.10,0.41,10.23,0.04,1.57,0.03,1.21,0.07,3.57,0.98,0.40,0.0000,0.0015, 24880,0.46,0.02,95,46,2322.51,1483.29,2597.07,3.13,78.29,0.09,2.24,7.22,66.56,0.03,26.19,0.00,100.00,0.00,0.00,0.00,0.00,2.35,28.63,0.16,68.86,0.00,100.00,0.00,0.00,0.00,0.00,73.30,52.56,4.51 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.64,2.93,0.22,1.12,0.00,3.39,1.00,0.22,0.0000,0.0020,  2800,19.73,80.27,0.00,0.00,0.00,51,1674.13,571.65,2597.07,5.86,146.43,1.29,32.23,
2024-02-13,21:54:41.910,0.21,2.59,0.08,1.12,0.10,24.87,1.00,0.21,0.0000,0.0023, 17920,0.56,0.54,99,48,10720.97,4134.05,2597.51,5.19,129.67,0.41,10.32,0.04,1.60,0.03,1.22,0.03,2.95,0.99,0.39,0.0000,0.0013, 24640,0.45,0.01,97,46,2267.55,1415.05,2597.51,3.20,80.12,0.09,2.18,7.13,66.21,0.01,26.65,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.53,0.11,70.13,0.00,100.00,0.00,0.00,0.00,0.00,73.31,52.17,4.49 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.64,2.92,0.22,1.12,0.00,3.49,1.00,0.21,0.0000,0.0021,  2840,19.75,80.25,0.00,0.00,0.00,50,1673.50,572.15,2597.51,5.85,146.25,1.29,32.21,
