System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core6 (Socket 0)-EXEC,Core6 (Socket 0)-IPC,Core6 (Socket 0)-FREQ,Core6 (Socket 0)-AFREQ,Core6 (Socket 0)-L3MISS,Core6 (Socket 0)-L2MISS,Core6 (Socket 0)-L3HIT,Core6 (Socket 0)-L2HIT,Core6 (Socket 0)-L3MPI,Core6 (Socket 0)-L2MPI,Core6 (Socket 0)-L3OCC,Core6 (Socket 0)-C0res%,Core6 (Socket 0)-C1res%,Core6 (Socket 0)-C3res%,Core6 (Socket 0)-C6res%,Core6 (Socket 0)-C7res%,Core6 (Socket 0)-TEMP,Core6 (Socket 0)-INST,Core6 (Socket 0)-ACYC,Core6 (Socket 0)-TIME(ticks),Core6 (Socket 0)-PhysIPC,Core6 (Socket 0)-PhysIPC%,Core6 (Socket 0)-INSTnom,Core6 (Socket 0)-INSTnom%,-
2024-02-13,21:54:33.893,0.19,2.30,0.08,1.12,0.18,20.45,0.99,0.24,0.0000,0.0021, 14320,0.73,0.63,99,50,9895.93,4309.45,2603.01,4.59,114.82,0.38,9.49,0.04,1.48,0.03,1.21,0.07,3.19,0.98,0.41,0.0000,0.0014, 25440,0.46,0.03,95,49,2287.22,1545.81,2603.01,2.96,73.98,0.09,2.19,7.41,67.60,0.04,24.95,0.00,100.00,0.00,0.00,0.00,0.00,2.45,28.93,0.16,68.46,0.00,100.00,0.00,0.00,0.00,0.00,72.73,52.52,4.57 ,4.42 ,695219.24 ,700763.76 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.20,1.00,0.10,0.0000,0.0021,  2120,19.61,80.39,0.00,0.00,0.00,52,1559.40,569.58,2603.01,5.48,136.89,1.20,29.94,
2024-02-13,21:54:34.890,0.20,2.31,0.09,1.12,0.20,22.46,0.99,0.23,0.0000,0.0021, 15360,0.64,0.63,98,49,10488.16,4539.44,2596.58,4.62,115.52,0.40,10.11,0.04,1.38,0.03,1.20,0.06,3.25,0.98,0.39,0.0000,0.0014, 24240,0.49,0.02,92,47,2274.50,1648.94,2596.58,2.76,68.97,0.09,2.19,7.84,69.04,0.05,23.06,0.00,100.00,0.00,0.00,0.00,0.00,2.66,30.65,0.22,66.48,0.00,100.00,0.00,0.00,0.00,0.00,73.62,52.76,4.51 ,4.40 ,0.00 ,0.10 ,3.00,3.00,0.62,2.84,0.22,1.12,0.01,3.47,1.00,0.11,0.0000,0.0021,  4000,19.72,80.28,0.00,0.00,0.00,51,1618.99,570.87,2596.58,5.67,141.80,1.25,31.18,
2024-02-13,21:54:35.889,0.21,2.59,0.08,1.12,0.07,24.54,1.00,0.21,0.0000,0.0023, 16040,0.56,0.56,99,49,10761.57,4156.02,2595.98,5.18,129.47,0.41,10.36,0.04,1.62,0.03,1.22,0.01,2.79,1.00,0.40,0.0000,0.0012, 23440,0.43,0.01,97,46,2289.08,1413.53,2595.98,3.24,80.97,0.09,2.20,7.18,66.15,0.01,26.67,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.55,0.13,70.09,0.00,100.00,0.00,0.00,0.00,0.00,73.16,51.95,4.49 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.65,2.95,0.22,1.12,0.01,3.83,1.00,0.11,0.0000,0.0023,  3920,19.73,80.27,0.00,0.00,0.00,51,1683.40,571.27,2595.98,5.89,147.34,1.30,32.42,
2024-02-13,21:54:36.889,0.21,2.57,0.08,1.12,0.07,24.47,1.00,0.22,0.0000,0.0023, 15920,0.56,0.55,99,48,10722.00,4169.39,2597.70,5.14,128.58,0.41,10.32,0.04,1.61,0.03,1.22,0.01,2.85,1.00,0.40,0.0000,0.0012, 23040,0.42,0.01,96,47,2296.87,1424.00,2597.70,3.23,80.65,0.09,2.21,7.20,66.16,0.02,26.62,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.56,0.15,70.04,0.00,100.00,0.00,0.00,0.00,0.00,73.19,52.05,4.50 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.65,2.94,0.22,1.12,0.01,3.82,1.00,0.11,0.0000,0.0023,  4000,19.71,80.29,0.00,0.00,0.00,51,1678.25,571.07,2597.70,5.88,146.94,1.29,32.30,
2024-02-13,21:54:37.890,0.21,2.58,0.08,1.12,0.08,24.57,1.00,0.21,0.0000,0.0023, 17000,0.56,0.55,99,49,10722.51,4148.60,2597.65,5.17,129.23,0.41,10.32,0.04,1.62,0.03,1.22,0.01,2.85,1.00,0.40,0.0000,0.0012, 23080,0.42,0.01,96,46,2293.26,1414.39,2597.65,3.24,81.07,0.09,2.21,7.16,66.22,0.01,26.61,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.64,0.14,69.99,0.00,100.00,0.00,0.00,0.00,0.00,73.20,52.09,4.49 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.65,2.94,0.22,1.12,0.01,3.84,1.00,0.11,0.0000,0.0023,  4160,19.73,80.27,0.00,0.00,0.00,50,1683.46,571.64,2597.65,5.89,147.25,1.30,32.40,
2024-02-13,21:54:38.890,0.21,2.57,0.08,1.12,0.08,24.62,1.00,0.22,0.0000,0.0023, 17000,0.56,0.55,99,49,10717.81,4173.30,2597.79,5.14,128.41,0.41,10.31,0.04,1.61,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23760,0.42,0.01,96,47,2278.12,1415.91,2597.79,3.22,80.45,0.09,2.19,7.20,66.59,0.01,26.20,0.00,100.00,0.00,0.00,0.00,0.00,2.24,28.20,0.11,69.45,0.00,100.00,0.00,0.00,0.00,0.00,73.29,52.18,4.50 ,4.38 ,0.37 ,0.33 ,3.00,3.00,0.65,2.93,0.22,1.12,0.01,3.84,1.00,0.11,0.0000,0.0023,  4320,19.73,80.27,0.00,0.00,0.00,51,1675.89,571.73,2597.79,5.86,146.56,1.29,32.26,
2024-02-13,21:54:39.891,0.21,2.58,0.08,1.12,0.08,24.66,1.00,0.21,0.0000,0.0023, 17480,0.56,0.54,99,47,10751.94,4170.93,2598.68,5.16,128.89,0.41,10.34,0.04,1.59,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23960,0.42,0.01,97,46,2292.64,1441.79,2598.68,3.18,79.51,0.09,2.21,7.20,66.16,0.01,26.64,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.78,0.13,69.81,0.00,100.00,0.00,0.00,0.00,0.00,73.25,52.22,4.50 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.65,2.94,0.22,1.12,0.01,3.84,1.00,0.11,0.0000,0.0023,  3800,19.74,80.26,0.00,0.00,0.00,51,1681.82,572.13,2598.68,5.88,146.98,1.29,32.36,
2024-02-13,21:54:40.891,0.20,2.52,0.08,1.12,0.11,24.26,1.00,0.22,0.0000,0.0023, 17280,0.58,0.57,98,47,10640.61,4222.47,2597.79,5.04,126.00,0.41,10.24,0.04,1.56,0.03,1.21,0.05,3.64,0.99,0.42,0.0000,0.0016, 24840,0.46,0.02,95,46,2311.80,1478.88,2597.79,3.13,78.16,0.09,2.22,7.29,66.48,0.03,26.20,0.00,100.00,0.00,0.00,0.00,0.00,2.35,28.63,0.15,68.87,0.00,100.00,0.00,0.00,0.00,0.00,73.37,52.56,4.51 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.64,2.91,0.22,1.12,0.01,3.77,1.00,0.11,0.0000,0.0023,  3880,19.74,80.26,0.00,0.00,0.00,51,1662.75,571.84,2597.79,5.82,145.39,1.28,32.00,
2024-02-13,21:54:41.892,0.21,2.58,0.08,1.12,0.07,24.61,1.00,0.21,0.0000,0.0023, 17600,0.56,0.54,99,48,10739.62,4160.83,2598.25,5.16,129.06,0.41,10.33,0.04,1.61,0.03,1.22,0.02,2.90,0.99,0.39,0.0000,0.0013, 24760,0.45,0.01,97,46,2289.39,1419.13,2598.25,3.23,80.66,0.09,2.20,7.18,66.16,0.01,26.65,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.53,0.11,70.12,0.00,100.00,0.00,0.00,0.00,0.00,73.31,52.17,4.49 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.65,2.93,0.22,1.12,0.01,3.84,1.00,0.11,0.0000,0.0023,  4120,19.77,80.23,0.00,0.00,0.00,50,1676.01,572.93,2598.25,5.85,146.27,1.29,32.25,
2024-02-13,21:54:42.892,0.21,2.56,0.08,1.12,0.09,24.66,1.00,0.22,0.0000,0.0023, 17800,0.56,0.54,99,47,10719.77,4182.98,2597.90,5.13,128.14,0.41,10.32,0.04,1.61,0.03,1.22,0.01,2.87,1.00,0.40,0.0000,0.0013, 23960,0.43,0.01,96,46,2297.10,1423.90,2597.90,3.23,80.66,0.09,2.21,7.22,66.10,0.01,26.68,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.54,0.14,70.08,0.00,100.00,0.00,0.00,0.00,0.00,73.30,52.31,4.50 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.64,2.92,0.22,1.12,0.01,3.85,1.00,0.11,0.0000,0.0023,  4000,19.72,80.28,0.00,0.00,0.00,50,1669.09,571.37,2597.90,5.84,146.06,1.29,32.13,
