System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,23:54:41.504,0.19,2.40,0.08,1.12,0.12,20.90,0.99,0.20,0.0000,0.0021, 14200,0.74,0.63,99,49,9934.81,4139.45,2599.50,4.80,120.00,0.38,9.55,0.04,1.56,0.03,1.22,0.05,2.89,0.98,0.40,0.0000,0.0013, 22400,0.46,0.02,97,45,2248.69,1446.10,2599.50,3.11,77.75,0.09,2.16,7.14,66.56,0.01,26.29,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.74,0.16,69.82,0.00,100.00,0.00,0.00,0.00,0.00,72.23,52.39,4.54 ,4.40 ,1100163.89 ,1112021.47 ,3.00,3.00,0.61,2.81,0.22,1.12,0.00,2.06,1.00,0.14,0.0000,0.0013,    80,19.56,80.44,0.00,0.00,0.00,53,1595.06,567.04,2599.50,5.63,140.65,1.23,30.68,
2024-02-13,23:54:42.504,0.19,2.39,0.08,1.12,0.14,21.74,0.99,0.20,0.0000,0.0022, 15000,0.73,0.62,99,48,9934.64,4157.27,2597.85,4.78,119.49,0.38,9.56,0.04,1.59,0.03,1.22,0.01,2.87,1.00,0.40,0.0000,0.0013, 22720,0.43,0.01,96,45,2282.72,1434.60,2597.85,3.18,79.56,0.09,2.20,7.17,66.79,0.02,26.02,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.54,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,72.33,52.32,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.61,2.80,0.22,1.12,0.01,2.17,1.00,0.14,0.0000,0.0014,    80,19.61,80.39,0.00,0.00,0.00,53,1591.37,568.08,2597.85,5.60,140.06,1.23,30.63,
2024-02-13,23:54:43.504,0.19,2.39,0.08,1.12,0.13,21.97,0.99,0.20,0.0000,0.0022, 15080,0.72,0.62,99,49,9945.49,4159.31,2598.44,4.78,119.56,0.38,9.57,0.04,1.57,0.03,1.22,0.01,2.90,1.00,0.41,0.0000,0.0013, 22640,0.42,0.01,97,45,2276.96,1445.97,2598.44,3.15,78.73,0.09,2.19,7.18,66.40,0.01,26.42,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.48,0.14,70.10,0.00,100.00,0.00,0.00,0.00,0.00,72.38,52.41,4.55 ,4.39 ,0.17 ,0.33 ,3.00,3.00,0.61,2.79,0.22,1.12,0.00,2.21,1.00,0.14,0.0000,0.0014,    80,19.57,80.43,0.00,0.00,0.00,53,1583.57,567.11,2598.44,5.58,139.62,1.22,30.47,
2024-02-13,23:54:44.505,0.19,2.39,0.08,1.12,0.12,22.04,0.99,0.20,0.0000,0.0022, 16080,0.72,0.61,99,50,9936.64,4155.34,2598.62,4.78,119.56,0.38,9.56,0.04,1.59,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 22600,0.41,0.01,96,45,2292.26,1441.16,2598.62,3.18,79.53,0.09,2.21,7.17,66.66,0.01,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.52,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,72.36,52.41,4.55 ,4.39 ,0.30 ,0.33 ,3.00,3.00,0.61,2.79,0.22,1.12,0.00,2.23,1.00,0.14,0.0000,0.0014,    80,19.55,80.45,0.00,0.00,0.00,53,1581.36,566.71,2598.62,5.58,139.52,1.22,30.43,
2024-02-13,23:54:45.504,0.19,2.40,0.08,1.12,0.13,22.14,0.99,0.20,0.0000,0.0022, 16840,0.71,0.61,99,49,9961.29,4149.97,2593.85,4.80,120.02,0.38,9.60,0.04,1.60,0.03,1.22,0.01,2.85,1.00,0.40,0.0000,0.0012, 22720,0.41,0.01,96,44,2285.87,1430.55,2593.85,3.20,79.89,0.09,2.20,7.17,66.55,0.02,26.26,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.55,0.13,70.06,0.00,100.00,0.00,0.00,0.00,0.00,72.32,52.34,4.54 ,4.37 ,350101.86 ,350369.26 ,3.00,3.00,0.61,2.80,0.22,1.12,0.00,2.24,1.00,0.14,0.0000,0.0014,   160,19.59,80.41,0.00,0.00,0.00,52,1585.74,566.88,2593.85,5.59,139.86,1.22,30.57,
2024-02-13,23:54:46.505,0.19,2.40,0.08,1.12,0.14,22.18,0.99,0.20,0.0000,0.0022, 16880,0.71,0.61,99,48,9993.98,4161.43,2599.85,4.80,120.08,0.38,9.61,0.04,1.58,0.03,1.22,0.03,2.95,0.99,0.39,0.0000,0.0013, 23200,0.42,0.01,96,45,2260.80,1428.17,2599.85,3.17,79.15,0.09,2.17,7.18,67.16,0.02,25.64,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.83,0.12,69.80,0.00,100.00,0.00,0.00,0.00,0.00,72.66,52.41,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.61,2.81,0.22,1.12,0.00,2.25,1.00,0.14,0.0000,0.0014,   160,19.58,80.42,0.00,0.00,0.00,53,1594.51,567.62,2599.85,5.62,140.46,1.23,30.67,
2024-02-13,23:54:47.505,0.19,2.10,0.09,1.12,0.26,21.21,0.99,0.22,0.0000,0.0021, 17800,0.73,0.66,97,48,9887.28,4717.58,2598.42,4.19,104.79,0.38,9.51,0.04,1.20,0.03,1.19,0.08,3.30,0.98,0.41,0.0000,0.0015, 23400,0.46,0.02,92,44,2174.52,1804.71,2598.42,2.41,60.25,0.08,2.09,8.14,70.90,0.06,20.91,0.00,100.00,0.00,0.00,0.00,0.00,2.92,32.55,0.24,64.29,0.00,100.00,0.00,0.00,0.00,0.00,73.82,53.76,4.55 ,4.41 ,0.03 ,0.20 ,3.00,3.00,0.61,2.78,0.22,1.12,0.00,2.04,1.00,0.14,0.0000,0.0013,   120,19.59,80.41,0.00,0.00,0.00,51,1579.42,567.68,2598.42,5.56,139.11,1.22,30.39,
2024-02-13,23:54:48.505,0.20,2.52,0.08,1.12,0.09,25.09,1.00,0.19,0.0000,0.0024, 17680,0.58,0.56,99,48,10558.18,4192.07,2595.91,5.04,125.93,0.41,10.17,0.04,1.56,0.03,1.21,0.04,3.08,0.99,0.41,0.0000,0.0013, 23840,0.46,0.01,96,44,2289.90,1465.87,2595.91,3.12,78.11,0.09,2.21,7.24,66.58,0.01,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.32,28.26,0.16,69.26,0.00,100.00,0.00,0.00,0.00,0.00,73.24,52.63,4.48 ,4.39 ,0.00 ,0.10 ,3.00,3.00,0.62,2.82,0.22,1.12,0.00,2.75,1.00,0.15,0.0000,0.0017,   280,19.71,80.29,0.00,0.00,0.00,52,1610.86,570.68,2595.91,5.65,141.13,1.24,31.03,
2024-02-13,23:54:49.506,0.20,2.55,0.08,1.12,0.07,25.50,1.00,0.19,0.0000,0.0024, 17920,0.56,0.54,99,47,10595.30,4147.33,2598.29,5.11,127.74,0.41,10.19,0.04,1.60,0.03,1.22,0.01,2.81,1.00,0.40,0.0000,0.0012, 23640,0.43,0.01,97,43,2291.69,1430.67,2598.29,3.20,80.09,0.09,2.21,7.16,66.25,0.01,26.58,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.48,0.14,70.13,0.00,100.00,0.00,0.00,0.00,0.00,73.32,52.53,4.46 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.62,2.85,0.22,1.12,0.00,2.82,1.00,0.15,0.0000,0.0017,   160,19.66,80.34,0.00,0.00,0.00,51,1622.44,569.67,2598.29,5.70,142.40,1.25,31.22,
