System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-13,23:54:40.502,1.12,3.49,0.32,1.12,0.21,14.40,0.99,0.26,0.0000,0.0002, 11480,18446744073.71,18446744073.71,99,49,58156.16,16671.75,2599.51,6.98,174.42,2.23,55.87,0.13,1.25,0.11,1.23,0.13,8.01,0.98,0.90,0.0000,0.0012, 20520,18446744073.71,0.00,99,46,6843.33,5489.71,2599.51,2.49,62.33,0.26,6.57,28.72,46.06,0.02,25.20,0.00,100.00,0.00,0.00,0.00,0.00,8.60,19.13,0.09,72.18,0.00,100.00,0.00,0.00,0.00,0.00,75.15,51.55,3.95 ,4.28 ,108245120919.32 ,0.33 ,3.00,3.00,3.42,3.79,0.90,1.12,0.01,1.83,0.99,0.14,0.0000,0.0002,  1160,80.87,19.13,0.00,0.00,0.00,51,8891.04,2344.91,2599.51,7.58,189.58,6.84,171.01,
2024-02-13,23:54:41.501,0.19,2.42,0.08,1.12,0.13,21.34,0.99,0.20,0.0000,0.0022, 13920,0.74,0.63,99,49,9910.31,4089.31,2597.04,4.85,121.17,0.38,9.54,0.04,1.58,0.03,1.22,0.03,2.91,0.99,0.40,0.0000,0.0013, 22480,0.46,0.02,97,46,2296.36,1454.96,2597.04,3.16,78.92,0.09,2.21,7.06,66.62,0.01,26.31,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.70,0.15,69.86,0.00,100.00,0.00,0.00,0.00,0.00,72.15,52.33,4.54 ,4.39 ,1191704.55 ,1205852.23 ,3.00,3.00,0.64,2.95,0.22,1.12,0.01,2.68,1.00,0.14,0.0000,0.0016,  1480,19.50,80.50,0.00,0.00,0.00,51,1664.76,564.98,2597.04,5.89,147.33,1.28,32.05,
2024-02-13,23:54:42.501,0.19,2.44,0.08,1.12,0.13,21.81,0.99,0.20,0.0000,0.0022, 14520,0.72,0.62,99,48,9976.29,4088.73,2595.94,4.88,122.00,0.38,9.61,0.04,1.61,0.03,1.22,0.01,2.92,1.00,0.40,0.0000,0.0013, 22800,0.43,0.01,96,45,2301.66,1430.89,2595.94,3.22,80.43,0.09,2.22,7.06,66.89,0.01,26.03,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.52,0.15,70.07,0.00,100.00,0.00,0.00,0.00,0.00,72.26,52.26,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.65,2.97,0.22,1.12,0.01,2.73,1.00,0.14,0.0000,0.0016,  1480,19.54,80.46,0.00,0.00,0.00,50,1680.46,565.85,2595.94,5.94,148.49,1.29,32.37,
2024-02-13,23:54:43.501,0.19,2.45,0.08,1.12,0.12,22.06,0.99,0.20,0.0000,0.0022, 15080,0.72,0.62,99,50,10009.19,4090.42,2598.20,4.89,122.35,0.38,9.62,0.04,1.61,0.03,1.22,0.01,2.86,1.00,0.40,0.0000,0.0012, 22760,0.42,0.01,97,45,2298.29,1428.65,2598.20,3.22,80.44,0.09,2.21,7.05,66.54,0.02,26.39,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.55,0.13,70.08,0.00,100.00,0.00,0.00,0.00,0.00,72.39,52.41,4.55 ,4.39 ,0.17 ,0.33 ,3.00,3.00,0.64,2.95,0.22,1.12,0.01,2.76,1.00,0.14,0.0000,0.0016,  1400,19.51,80.49,0.00,0.00,0.00,50,1671.41,566.20,2598.20,5.90,147.60,1.28,32.12,
2024-02-13,23:54:44.502,0.19,2.44,0.08,1.12,0.12,22.17,0.99,0.20,0.0000,0.0022, 15920,0.72,0.61,99,50,9986.08,4095.21,2601.31,4.88,121.92,0.38,9.61,0.04,1.61,0.03,1.22,0.01,2.90,1.00,0.40,0.0000,0.0013, 22680,0.41,0.01,96,45,2298.55,1431.80,2601.31,3.21,80.27,0.09,2.21,7.06,66.76,0.02,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.55,0.14,70.06,0.00,100.00,0.00,0.00,0.00,0.00,72.36,52.41,4.55 ,4.39 ,438926.43 ,439403.21 ,3.00,3.00,0.64,2.94,0.22,1.12,0.01,2.77,1.00,0.14,0.0000,0.0017,  2000,19.53,80.47,0.00,0.00,0.00,51,1665.05,565.91,2601.31,5.88,147.11,1.28,32.04,
2024-02-13,23:54:45.502,0.19,2.45,0.08,1.12,0.14,22.25,0.99,0.20,0.0000,0.0022, 16520,0.71,0.61,99,50,9998.37,4085.94,2596.93,4.89,122.35,0.38,9.62,0.04,1.61,0.03,1.22,0.01,2.88,1.00,0.40,0.0000,0.0013, 22720,0.41,0.01,96,44,2295.06,1427.59,2596.93,3.22,80.38,0.09,2.21,7.05,66.69,0.02,26.24,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.60,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,72.39,52.39,4.55 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.64,2.96,0.22,1.12,0.01,2.77,1.00,0.14,0.0000,0.0017,  2040,19.51,80.49,0.00,0.00,0.00,49,1672.02,565.02,2596.93,5.92,147.96,1.29,32.19,
2024-02-13,23:54:46.502,0.20,2.48,0.08,1.12,0.12,22.03,0.99,0.20,0.0000,0.0022, 16560,0.71,0.61,99,49,10153.60,4087.32,2596.87,4.97,124.21,0.39,9.77,0.04,1.57,0.03,1.22,0.03,2.95,0.99,0.39,0.0000,0.0013, 23320,0.42,0.01,96,44,2253.12,1432.47,2596.87,3.15,78.64,0.09,2.17,7.06,67.27,0.02,25.66,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.80,0.12,69.82,0.00,100.00,0.00,0.00,0.00,0.00,72.58,52.40,4.54 ,4.39 ,0.13 ,0.10 ,3.00,3.00,0.65,3.00,0.22,1.12,0.01,2.74,1.00,0.14,0.0000,0.0016,  1960,19.53,80.47,0.00,0.00,0.00,49,1697.77,565.73,2596.87,6.00,150.05,1.31,32.69,
2024-02-13,23:54:47.502,0.19,2.15,0.09,1.12,0.27,21.17,0.99,0.21,0.0000,0.0021, 17560,0.73,0.66,97,48,9947.43,4635.85,2598.19,4.29,107.29,0.38,9.57,0.04,1.24,0.03,1.19,0.06,3.33,0.98,0.40,0.0000,0.0015, 23480,0.46,0.02,92,45,2195.53,1764.03,2598.19,2.49,62.23,0.08,2.11,8.00,71.05,0.06,20.90,0.00,100.00,0.00,0.00,0.00,0.00,2.85,32.62,0.24,64.28,0.00,100.00,0.00,0.00,0.00,0.00,73.74,53.73,4.55 ,4.41 ,0.03 ,0.20 ,3.00,3.00,0.64,2.95,0.22,1.12,0.01,2.59,1.00,0.14,0.0000,0.0016,  1040,19.48,80.52,0.00,0.00,0.00,51,1662.70,564.51,2598.19,5.89,147.27,1.28,32.00,
2024-02-13,23:54:48.502,0.20,2.58,0.08,1.12,0.09,25.23,1.00,0.20,0.0000,0.0024, 17520,0.58,0.56,99,48,10597.15,4106.22,2595.82,5.16,129.04,0.41,10.21,0.04,1.55,0.03,1.22,0.05,3.14,0.98,0.41,0.0000,0.0014, 24080,0.46,0.01,96,44,2318.48,1493.10,2595.82,3.11,77.64,0.09,2.23,7.09,66.73,0.01,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.37,28.21,0.16,69.26,0.00,100.00,0.00,0.00,0.00,0.00,73.31,52.62,4.48 ,4.39 ,0.00 ,0.10 ,3.00,3.00,0.66,3.04,0.22,1.12,0.00,3.07,1.00,0.15,0.0000,0.0018,  2240,19.57,80.43,0.00,0.00,0.00,51,1722.60,566.70,2595.82,6.08,151.99,1.33,33.18,
2024-02-13,23:54:49.502,0.20,2.61,0.08,1.12,0.08,25.56,1.00,0.19,0.0000,0.0024, 17480,0.56,0.54,99,48,10644.80,4083.56,2597.52,5.21,130.34,0.41,10.24,0.04,1.60,0.03,1.22,0.01,2.88,0.99,0.40,0.0000,0.0013, 23760,0.43,0.01,97,43,2291.29,1427.71,2597.52,3.21,80.24,0.09,2.21,7.05,66.36,0.01,26.58,0.00,100.00,0.00,0.00,0.00,0.00,2.25,27.49,0.14,70.12,0.00,100.00,0.00,0.00,0.00,0.00,73.33,52.48,4.47 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.05,0.22,1.12,0.00,3.11,1.00,0.15,0.0000,0.0018,  1880,19.58,80.42,0.00,0.00,0.00,51,1728.87,567.27,2597.52,6.10,152.38,1.33,33.28,
