System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,23:54:41.288,0.23,2.57,0.09,1.12,0.13,18.80,0.99,0.22,0.0000,0.0016, 13280,0.58,0.49,99,48,12106.46,4708.26,2599.09,5.14,128.57,0.47,11.64,0.05,1.45,0.03,1.21,0.06,3.22,0.98,0.71,0.0000,0.0014, 22520,0.36,0.02,97,45,2340.24,1615.80,2599.09,2.90,72.42,0.09,2.25,8.12,65.97,0.03,25.88,0.00,100.00,0.00,0.00,0.00,0.00,2.56,28.08,0.18,69.18,0.00,100.00,0.00,0.00,0.00,0.00,72.67,52.37,4.43 ,4.39 ,1074269.82 ,1085439.27 ,3.00,3.00,0.68,2.73,0.25,1.12,0.01,2.88,1.00,0.12,0.0000,0.0016,  3080,22.19,77.81,0.00,0.00,0.00,53,1757.62,643.22,2599.09,5.47,136.63,1.35,33.81,
2024-02-13,23:54:42.289,0.19,2.37,0.08,1.12,0.14,21.74,0.99,0.20,0.0000,0.0022, 13640,0.73,0.62,99,49,9916.43,4182.64,2598.17,4.74,118.54,0.38,9.54,0.04,1.62,0.03,1.22,0.01,2.95,1.00,0.40,0.0000,0.0013, 22760,0.44,0.01,96,45,2292.29,1419.20,2598.17,3.23,80.76,0.09,2.21,7.22,66.70,0.00,26.08,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.53,0.14,70.09,0.00,100.00,0.00,0.00,0.00,0.00,72.38,52.36,4.55 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.55,2.51,0.22,1.12,0.01,3.35,1.00,0.12,0.0000,0.0023,  3600,19.81,80.19,0.00,0.00,0.00,52,1440.05,574.19,2598.17,5.02,125.40,1.11,27.71,
2024-02-13,23:54:43.289,0.19,2.40,0.08,1.12,0.13,21.96,0.99,0.20,0.0000,0.0022, 14920,0.72,0.61,99,49,10004.58,4162.29,2598.45,4.81,120.18,0.39,9.63,0.04,1.62,0.03,1.22,0.01,2.92,1.00,0.40,0.0000,0.0013, 22960,0.42,0.01,97,45,2302.49,1420.93,2598.45,3.24,81.02,0.09,2.22,7.18,66.34,0.02,26.46,0.00,100.00,0.00,0.00,0.00,0.00,2.24,27.50,0.13,70.13,0.00,100.00,0.00,0.00,0.00,0.00,72.28,52.33,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.56,2.56,0.22,1.12,0.01,3.38,1.00,0.12,0.0000,0.0023,  3920,19.75,80.25,0.00,0.00,0.00,52,1464.70,572.45,2598.45,5.12,127.93,1.13,28.19,
2024-02-13,23:54:44.289,0.19,2.39,0.08,1.12,0.14,21.98,0.99,0.20,0.0000,0.0022, 15440,0.72,0.61,99,50,9994.69,4184.44,2597.76,4.78,119.43,0.38,9.62,0.04,1.62,0.03,1.22,0.01,2.90,1.00,0.40,0.0000,0.0013, 22760,0.41,0.01,96,45,2291.28,1415.52,2597.76,3.24,80.93,0.09,2.21,7.22,66.58,0.02,26.17,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.54,0.14,70.10,0.00,100.00,0.00,0.00,0.00,0.00,72.36,52.39,4.54 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.57,2.57,0.22,1.12,0.01,3.38,1.00,0.12,0.0000,0.0023,  3400,19.81,80.19,0.00,0.00,0.00,53,1473.30,574.11,2597.76,5.13,128.31,1.13,28.36,
2024-02-13,23:54:45.289,0.19,2.40,0.08,1.12,0.12,22.14,0.99,0.20,0.0000,0.0022, 15560,0.71,0.61,99,49,10023.51,4169.96,2595.41,4.81,120.19,0.39,9.66,0.04,1.61,0.03,1.22,0.01,2.89,1.00,0.39,0.0000,0.0013, 22800,0.41,0.01,96,43,2274.80,1412.13,2595.41,3.22,80.55,0.09,2.19,7.20,66.45,0.01,26.34,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.65,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,72.37,52.36,4.55 ,4.37 ,0.00 ,0.00 ,3.00,3.00,0.57,2.57,0.22,1.12,0.01,3.41,1.00,0.12,0.0000,0.0023,  4040,19.83,80.17,0.00,0.00,0.00,52,1474.45,574.11,2595.41,5.14,128.41,1.14,28.41,
2024-02-13,23:54:46.289,0.19,2.41,0.08,1.12,0.12,22.20,0.99,0.20,0.0000,0.0022, 16360,0.71,0.61,99,48,10051.45,4177.25,2597.70,4.81,120.31,0.39,9.67,0.04,1.61,0.03,1.22,0.02,2.96,0.99,0.39,0.0000,0.0013, 23320,0.42,0.01,96,44,2279.79,1416.61,2597.70,3.22,80.47,0.09,2.19,7.21,67.16,0.02,25.61,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.79,0.13,69.84,0.00,100.00,0.00,0.00,0.00,0.00,72.57,52.40,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.57,2.58,0.22,1.12,0.01,3.41,1.00,0.12,0.0000,0.0023,  4320,19.80,80.20,0.00,0.00,0.00,52,1481.11,573.58,2597.70,5.16,129.11,1.14,28.51,
2024-02-13,23:54:47.294,0.19,2.25,0.08,1.12,0.19,21.45,0.99,0.21,0.0000,0.0022, 17080,0.73,0.64,98,49,9938.90,4424.11,2611.32,4.49,112.33,0.38,9.53,0.04,1.35,0.03,1.20,0.06,3.22,0.98,0.40,0.0000,0.0014, 24760,0.44,0.02,93,46,2231.14,1656.42,2611.32,2.69,67.35,0.09,2.14,7.61,69.29,0.04,23.07,0.00,100.00,0.00,0.00,0.00,0.00,2.65,30.41,0.22,66.72,0.00,100.00,0.00,0.00,0.00,0.00,73.63,53.42,4.57 ,4.42 ,0.00 ,0.03 ,3.00,3.00,0.56,2.54,0.22,1.12,0.01,3.25,1.00,0.12,0.0000,0.0022,  2720,19.75,80.25,0.00,0.00,0.00,52,1459.07,573.43,2611.32,5.09,127.22,1.12,28.02,
2024-02-13,23:54:48.291,0.20,2.37,0.09,1.12,0.14,24.08,0.99,0.20,0.0000,0.0023, 17320,0.61,0.59,98,48,10464.78,4420.10,2587.40,4.74,118.38,0.40,10.09,0.04,1.41,0.03,1.20,0.07,3.25,0.98,0.41,0.0000,0.0014, 23760,0.47,0.02,95,45,2269.55,1609.02,2587.40,2.82,70.53,0.09,2.19,7.65,68.39,0.04,23.92,0.00,100.00,0.00,0.00,0.00,0.00,2.58,30.46,0.18,66.78,0.00,100.00,0.00,0.00,0.00,0.00,73.33,53.08,4.49 ,4.39 ,0.13 ,0.03 ,3.00,3.00,0.62,2.80,0.22,1.12,0.00,3.65,1.00,0.12,0.0000,0.0023,  4160,19.85,80.15,0.00,0.00,0.00,50,1608.62,574.60,2587.40,5.60,139.98,1.24,30.99,
2024-02-13,23:54:49.291,0.21,2.55,0.08,1.12,0.08,25.48,1.00,0.19,0.0000,0.0024, 17640,0.56,0.54,99,48,10652.30,4174.49,2597.19,5.10,127.59,0.41,10.25,0.04,1.62,0.03,1.22,0.02,2.89,0.99,0.40,0.0000,0.0013, 23960,0.44,0.01,97,43,2300.11,1418.28,2597.19,3.24,81.09,0.09,2.21,7.21,66.19,0.01,26.60,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.48,0.13,70.16,0.00,100.00,0.00,0.00,0.00,0.00,73.31,52.46,4.46 ,4.39 ,0.00 ,0.20 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,3.89,1.00,0.12,0.0000,0.0024,  4480,19.84,80.16,0.00,0.00,0.00,50,1638.02,574.76,2597.19,5.70,142.50,1.26,31.53,
