ndpi_stat-thread_info.core,ndpi_stat-rx_pps,ndpi_stat-tx_pps,ndpi_stat-rx,ndpi_stat-tx,ndpi_stat-act_out,ndpi_stat-act_tonf,ndpi_stat-act_drop,ndpi_stat-thread_info.parent,ndpi_stat-state,ndpi_stat-rte_atomic16_read,ndpi_stat-rx_drop_rate,ndpi_stat-tx_drop_rate,ndpi_stat-rx_drop,ndpi_stat-tx_drop,ndpi_stat-act_next,ndpi_stat-act_buffer,ndpi_stat-act_returned,router-thread_info.core,router-rx_pps,router-tx_pps,router-rx,router-tx,router-act_out,router-act_tonf,router-act_drop,router-thread_info.parent,router-state,router-rte_atomic16_read,router-rx_drop_rate,router-tx_drop_rate,router-rx_drop,router-tx_drop,router-act_next,router-act_buffer,router-act_returned,payload_scan-thread_info.core,payload_scan-rx_pps,payload_scan-tx_pps,payload_scan-rx,payload_scan-tx,payload_scan-act_out,payload_scan-act_tonf,payload_scan-act_drop,payload_scan-thread_info.parent,payload_scan-state,payload_scan-rte_atomic16_read,payload_scan-rx_drop_rate,payload_scan-tx_drop_rate,payload_scan-rx_drop,payload_scan-tx_drop,payload_scan-act_next,payload_scan-act_buffer,payload_scan-act_returned,bridge-thread_info.core,bridge-rx_pps,bridge-tx_pps,bridge-rx,bridge-tx,bridge-act_out,bridge-act_tonf,bridge-act_drop,bridge-thread_info.parent,bridge-state,bridge-rte_atomic16_read,bridge-rx_drop_rate,bridge-tx_drop_rate,bridge-rx_drop,bridge-tx_drop,bridge-act_next,bridge-act_buffer,bridge-act_returned,firewall-thread_info.core,firewall-rx_pps,firewall-tx_pps,firewall-rx,firewall-tx,firewall-act_out,firewall-act_tonf,firewall-act_drop,firewall-thread_info.parent,firewall-state,firewall-rte_atomic16_read,firewall-rx_drop_rate,firewall-tx_drop_rate,firewall-rx_drop,firewall-tx_drop,firewall-act_next,firewall-act_buffer,firewall-act_returned
5,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,124885,124885,124885,124885,0,124885,0.0,0.0,W,0.0,74326.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,124885,124885,124885,124885,0,124885,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,124885,124885,124885,124885,0,124885,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,124885,124885,124885,124885,0,124885,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,124885,124885,124885,124885,124885,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,207774,207770,332659,332655,0,332655,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,207906,207906,332791,332791,0,332791,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,207866,207866,332751,332751,0,332751,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,207950,207934,332835,332819,0,332820,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,207974,207974,332859,332859,332859,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,247218,247218,579973,579973,0,579973,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,247138,247138,579973,579973,0,579973,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,247182,247190,579973,579973,0,579973,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,247114,247114,579973,579973,0,579973,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,247106,247106,579973,579973,579973,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,437234,437234,1017207,1017207,0,1017207,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,437346,437318,1017319,1017291,0,1017291,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,437298,437298,1017271,1017271,0,1017271,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,437358,437358,1017331,1017331,0,1017331,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,437426,437426,1017399,1017399,1017399,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1746916,1746916,2764203,2764203,0,2764203,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1747072,1747072,2764431,2764419,0,2764419,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1747056,1747056,2764347,2764347,0,2764347,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1747083,1747083,2764482,2764482,0,2764482,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1747130,1747116,2764553,2764539,2764539,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1754648,1754632,4518995,4518979,0,4518979,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1754696,1754701,4519183,4519183,0,4519183,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1754712,1754712,4519131,4519131,0,4519131,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1754704,1754714,4519267,4519267,0,4519267,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1754724,1754736,4519343,4519335,4519335,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1754212,1754216,6273347,6273347,0,6273347,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1754188,1754204,6273471,6273471,0,6273471,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1754236,1754236,6273419,6273419,0,6273419,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1754152,1754148,6273495,6273491,0,6273492,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1754116,1754104,6273511,6273499,6273499,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1756168,1756168,8029587,8029587,0,8029587,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1756252,1756252,8029747,8029747,0,8029747,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1756220,1756208,8029691,8029679,0,8029679,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1756332,1756328,8029847,8029839,0,8029839,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1756360,1756360,8029899,8029899,8029899,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1750792,1750792,9780487,9780487,0,9780487,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1750764,1750740,9780611,9780587,0,9780587,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1750820,1750820,9780567,9780567,0,9780567,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1750760,1750752,9780659,9780651,0,9780651,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1750760,1750760,9780715,9780715,9780715,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1754776,1754780,11535347,11535347,0,11535347,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
5,1755532,1755532,11536195,11536195,0,11536195,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1754888,1754888,11535475,11535475,0,11535475,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1755532,1755524,11536247,11536239,0,11536239,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1755568,1755568,11536307,11536307,11536307,0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1729572,1729576,13265063,13265063,0,13265063,0.0,0.0,W,0.0,0.0,0.0,74326.0,0.0,0.0,0.0,0.0
