System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core4 (Socket 0)-EXEC,Core4 (Socket 0)-IPC,Core4 (Socket 0)-FREQ,Core4 (Socket 0)-AFREQ,Core4 (Socket 0)-L3MISS,Core4 (Socket 0)-L2MISS,Core4 (Socket 0)-L3HIT,Core4 (Socket 0)-L2HIT,Core4 (Socket 0)-L3MPI,Core4 (Socket 0)-L2MPI,Core4 (Socket 0)-L3OCC,Core4 (Socket 0)-C0res%,Core4 (Socket 0)-C1res%,Core4 (Socket 0)-C3res%,Core4 (Socket 0)-C6res%,Core4 (Socket 0)-C7res%,Core4 (Socket 0)-TEMP,Core4 (Socket 0)-INST,Core4 (Socket 0)-ACYC,Core4 (Socket 0)-TIME(ticks),Core4 (Socket 0)-PhysIPC,Core4 (Socket 0)-PhysIPC%,Core4 (Socket 0)-INSTnom,Core4 (Socket 0)-INSTnom%,-
2024-02-13,23:54:41.265,0.24,2.66,0.09,1.12,0.13,18.14,0.99,0.22,0.0000,0.0014, 12640,0.57,0.48,99,48,12570.89,4731.19,2599.18,5.31,132.85,0.48,12.09,0.05,1.45,0.03,1.22,0.05,3.19,0.98,0.73,0.0000,0.0014, 22440,0.35,0.01,97,46,2342.02,1616.43,2599.18,2.90,72.44,0.09,2.25,8.16,65.89,0.02,25.93,0.00,100.00,0.00,0.00,0.00,0.00,2.55,28.04,0.17,69.23,0.00,100.00,0.00,0.00,0.00,0.00,72.80,52.36,4.42 ,4.38 ,4869693.20 ,5108355.30 ,3.00,3.00,0.76,3.04,0.25,1.12,0.00,2.13,1.00,0.11,0.0000,0.0011,   360,22.26,77.74,0.00,0.00,0.00,51,1964.12,645.35,2599.18,6.09,152.18,1.51,37.78,
2024-02-13,23:54:42.266,0.19,2.39,0.08,1.12,0.14,21.92,0.99,0.20,0.0000,0.0022, 14000,0.73,0.62,99,49,10057.16,4213.78,2599.36,4.77,119.34,0.39,9.67,0.04,1.58,0.03,1.22,0.01,2.92,0.99,0.40,0.0000,0.0013, 22520,0.44,0.01,97,46,2279.26,1441.75,2599.36,3.16,79.04,0.09,2.19,7.27,66.59,0.00,26.14,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.47,0.15,70.10,0.00,100.00,0.00,0.00,0.00,0.00,72.29,52.35,4.55 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.62,2.78,0.22,1.12,0.00,2.63,1.00,0.11,0.0000,0.0016,   680,19.84,80.16,0.00,0.00,0.00,51,1601.18,575.23,2599.36,5.57,139.18,1.23,30.80,
2024-02-13,23:54:43.266,0.19,2.40,0.08,1.12,0.13,22.11,0.99,0.20,0.0000,0.0022, 15000,0.72,0.61,99,50,10089.84,4206.26,2595.92,4.80,119.94,0.39,9.72,0.04,1.57,0.03,1.22,0.02,2.91,0.99,0.40,0.0000,0.0013, 22920,0.42,0.01,97,45,2281.91,1449.13,2595.92,3.15,78.73,0.09,2.20,7.26,66.33,0.02,26.39,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.50,0.13,70.08,0.00,100.00,0.00,0.00,0.00,0.00,72.30,52.29,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.62,2.79,0.22,1.12,0.00,2.66,1.00,0.11,0.0000,0.0017,   520,19.86,80.14,0.00,0.00,0.00,51,1606.13,574.90,2595.92,5.59,139.69,1.24,30.94,
2024-02-13,23:54:44.266,0.19,2.39,0.08,1.12,0.13,22.23,0.99,0.20,0.0000,0.0022, 15160,0.72,0.61,99,50,10074.54,4217.60,2598.77,4.78,119.43,0.39,9.69,0.04,1.59,0.03,1.22,0.01,2.89,1.00,0.40,0.0000,0.0013, 22760,0.41,0.01,96,44,2293.58,1445.41,2598.77,3.17,79.34,0.09,2.21,7.27,66.54,0.02,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.49,0.14,70.09,0.00,100.00,0.00,0.00,0.00,0.00,72.37,52.45,4.54 ,4.39 ,0.03 ,0.03 ,3.00,3.00,0.61,2.76,0.22,1.12,0.00,2.68,1.00,0.11,0.0000,0.0017,   760,19.90,80.10,0.00,0.00,0.00,50,1593.52,576.89,2598.77,5.52,138.11,1.23,30.66,
2024-02-13,23:54:45.267,0.19,2.40,0.08,1.12,0.13,22.39,0.99,0.20,0.0000,0.0022, 15600,0.71,0.61,99,49,10120.32,4213.14,2598.61,4.80,120.10,0.39,9.74,0.04,1.58,0.03,1.22,0.01,2.90,1.00,0.40,0.0000,0.0013, 22800,0.41,0.01,96,44,2285.62,1442.56,2598.61,3.17,79.22,0.09,2.20,7.27,66.39,0.01,26.33,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.61,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,72.43,52.41,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.62,2.78,0.22,1.12,0.00,2.71,1.00,0.11,0.0000,0.0017,   800,19.94,80.06,0.00,0.00,0.00,51,1604.11,577.92,2598.61,5.55,138.78,1.23,30.87,
2024-02-13,23:54:46.267,0.20,2.39,0.08,1.12,0.15,22.43,0.99,0.20,0.0000,0.0022, 16560,0.71,0.61,99,50,10137.16,4242.91,2598.16,4.78,119.46,0.39,9.75,0.04,1.58,0.03,1.22,0.02,2.93,0.99,0.39,0.0000,0.0013, 23280,0.42,0.01,96,44,2282.56,1444.47,2598.16,3.16,79.01,0.09,2.20,7.32,67.05,0.02,25.61,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.75,0.13,69.84,0.00,100.00,0.00,0.00,0.00,0.00,72.57,52.45,4.54 ,4.39 ,0.33 ,0.03 ,3.00,3.00,0.62,2.78,0.22,1.12,0.00,2.71,1.00,0.11,0.0000,0.0017,   960,19.94,80.06,0.00,0.00,0.00,51,1604.29,577.84,2598.16,5.55,138.82,1.23,30.87,
2024-02-13,23:54:47.268,0.20,2.28,0.09,1.12,0.20,21.90,0.99,0.21,0.0000,0.0022, 17280,0.72,0.64,98,48,10133.88,4437.29,2598.32,4.57,114.19,0.39,9.75,0.04,1.37,0.03,1.20,0.05,3.28,0.99,0.40,0.0000,0.0015, 24480,0.44,0.02,93,45,2229.74,1631.13,2598.32,2.73,68.35,0.09,2.15,7.66,68.79,0.03,23.53,0.00,100.00,0.00,0.00,0.00,0.00,2.61,29.94,0.23,67.22,0.00,100.00,0.00,0.00,0.00,0.00,73.27,53.01,4.55 ,4.40 ,0.00 ,0.03 ,3.00,3.00,0.62,2.79,0.22,1.12,0.00,2.59,1.00,0.11,0.0000,0.0016,   400,19.86,80.14,0.00,0.00,0.00,49,1604.27,575.41,2598.32,5.58,139.40,1.23,30.87,
2024-02-13,23:54:48.267,0.20,2.26,0.09,1.12,0.17,23.85,0.99,0.20,0.0000,0.0023, 17400,0.62,0.60,98,48,10301.32,4558.14,2595.78,4.52,113.00,0.40,9.92,0.04,1.33,0.03,1.20,0.07,3.21,0.98,0.40,0.0000,0.0014, 23720,0.47,0.02,94,44,2255.26,1701.28,2595.78,2.65,66.28,0.09,2.17,7.87,68.62,0.05,23.46,0.00,100.00,0.00,0.00,0.00,0.00,2.74,30.80,0.18,66.28,0.00,100.00,0.00,0.00,0.00,0.00,73.60,53.32,4.50 ,4.40 ,0.13 ,0.20 ,3.00,3.00,0.62,2.82,0.22,1.12,0.00,2.91,1.00,0.11,0.0000,0.0018,  1160,19.87,80.13,0.00,0.00,0.00,50,1621.33,575.19,2595.78,5.64,140.94,1.25,31.23,
2024-02-13,23:54:49.268,0.21,2.55,0.08,1.12,0.07,25.70,1.00,0.19,0.0000,0.0024, 17400,0.56,0.54,99,47,10720.04,4200.24,2598.07,5.10,127.61,0.41,10.32,0.04,1.59,0.03,1.22,0.03,2.87,0.99,0.40,0.0000,0.0012, 24000,0.44,0.01,97,43,2295.56,1444.44,2598.07,3.18,79.46,0.09,2.21,7.25,66.14,0.01,26.60,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.43,0.13,70.17,0.00,100.00,0.00,0.00,0.00,0.00,73.30,52.52,4.46 ,4.39 ,0.00 ,49266.76 ,3.00,3.00,0.64,2.88,0.22,1.12,0.00,3.22,1.00,0.11,0.0000,0.0019,   880,19.95,80.05,0.00,0.00,0.00,49,1666.69,578.21,2598.07,5.77,144.13,1.28,32.08,
2024-02-13,23:54:50.268,0.21,2.54,0.08,1.12,0.08,25.71,1.00,0.19,0.0000,0.0024, 17720,0.56,0.54,99,48,10704.84,4207.23,2597.69,5.09,127.22,0.41,10.30,0.04,1.59,0.03,1.22,0.01,2.84,1.00,0.40,0.0000,0.0012, 23600,0.42,0.01,96,42,2297.84,1445.78,2597.69,3.18,79.47,0.09,2.21,7.26,66.37,0.00,26.36,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.45,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,73.38,52.48,4.48 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.64,2.87,0.22,1.12,0.00,3.22,1.00,0.11,0.0000,0.0019,   800,19.93,80.07,0.00,0.00,0.00,49,1659.61,577.39,2597.69,5.75,143.72,1.28,31.94,
