System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,23:54:41.503,0.19,2.37,0.08,1.12,0.13,21.33,0.99,0.20,0.0000,0.0022, 14080,0.74,0.63,99,49,9901.85,4178.75,2599.25,4.74,118.48,0.38,9.52,0.04,1.52,0.03,1.21,0.04,2.96,0.99,0.40,0.0000,0.0013, 22280,0.46,0.02,97,46,2296.60,1510.26,2599.25,3.04,76.03,0.09,2.21,7.21,66.49,0.01,26.29,0.00,100.00,0.00,0.00,0.00,0.00,2.39,27.63,0.16,69.82,0.00,100.00,0.00,0.00,0.00,0.00,72.15,52.33,4.54 ,4.39 ,1126179.40 ,1138756.18 ,3.00,3.00,0.59,2.69,0.22,1.12,0.01,3.36,1.00,0.10,0.0000,0.0022,  3520,19.66,80.34,0.00,0.00,0.00,52,1535.31,570.04,2599.25,5.39,134.67,1.18,29.53,
2024-02-13,23:54:42.504,0.19,2.39,0.08,1.12,0.12,21.83,0.99,0.20,0.0000,0.0022, 14800,0.73,0.62,99,48,10003.17,4182.30,2598.48,4.78,119.59,0.38,9.62,0.04,1.56,0.03,1.22,0.01,2.88,1.00,0.40,0.0000,0.0013, 22800,0.43,0.01,96,45,2301.60,1475.35,2598.48,3.12,78.00,0.09,2.21,7.22,66.75,0.02,26.01,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.48,0.13,70.06,0.00,100.00,0.00,0.00,0.00,0.00,72.49,52.37,4.56 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.60,2.71,0.22,1.12,0.01,3.43,1.00,0.10,0.0000,0.0022,  3600,19.68,80.32,0.00,0.00,0.00,52,1546.76,570.33,2598.48,5.42,135.60,1.19,29.76,
2024-02-13,23:54:43.504,0.19,2.40,0.08,1.12,0.11,22.06,0.99,0.20,0.0000,0.0022, 14880,0.72,0.62,99,49,9997.46,4169.69,2598.42,4.80,119.88,0.38,9.62,0.04,1.54,0.03,1.22,0.01,2.91,1.00,0.41,0.0000,0.0013, 22680,0.42,0.01,97,45,2292.02,1484.96,2598.42,3.09,77.17,0.09,2.21,7.19,66.38,0.01,26.42,0.00,100.00,0.00,0.00,0.00,0.00,2.35,27.41,0.14,70.10,0.00,100.00,0.00,0.00,0.00,0.00,72.30,52.41,4.55 ,4.39 ,0.17 ,0.33 ,3.00,3.00,0.60,2.72,0.22,1.12,0.01,3.46,1.00,0.10,0.0000,0.0022,  4440,19.66,80.34,0.00,0.00,0.00,53,1547.21,569.87,2598.42,5.43,135.75,1.19,29.77,
2024-02-13,23:54:44.505,0.19,2.39,0.08,1.12,0.12,22.07,0.99,0.20,0.0000,0.0022, 15960,0.72,0.61,99,50,10004.16,4182.48,2598.39,4.78,119.60,0.39,9.63,0.04,1.57,0.03,1.22,0.01,2.92,1.00,0.40,0.0000,0.0013, 22640,0.41,0.01,96,45,2304.32,1471.92,2598.39,3.13,78.28,0.09,2.22,7.22,66.61,0.01,26.17,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.46,0.13,70.08,0.00,100.00,0.00,0.00,0.00,0.00,72.36,52.34,4.55 ,4.38 ,0.30 ,0.33 ,3.00,3.00,0.60,2.73,0.22,1.12,0.01,3.46,1.00,0.10,0.0000,0.0022,  3720,19.67,80.33,0.00,0.00,0.00,52,1555.12,570.14,2598.39,5.46,136.38,1.20,29.93,
2024-02-13,23:54:45.504,0.19,2.42,0.08,1.12,0.11,22.20,1.00,0.20,0.0000,0.0022, 16760,0.71,0.61,99,49,10071.84,4169.20,2597.32,4.83,120.79,0.39,9.70,0.04,1.56,0.03,1.22,0.02,2.91,0.99,0.40,0.0000,0.0013, 22680,0.41,0.01,96,44,2295.68,1467.07,2597.32,3.13,78.24,0.09,2.21,7.20,66.55,0.02,26.23,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.56,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,72.39,52.40,4.55 ,4.37 ,345065.81 ,345123.99 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.48,1.00,0.10,0.0000,0.0022,  3880,19.69,80.31,0.00,0.00,0.00,52,1561.65,570.42,2597.32,5.48,136.89,1.20,30.06,
2024-02-13,23:54:46.505,0.19,2.40,0.08,1.12,0.12,22.28,0.99,0.20,0.0000,0.0022, 16720,0.71,0.61,99,48,10079.27,4194.04,2596.63,4.81,120.16,0.39,9.70,0.04,1.55,0.03,1.22,0.02,3.02,0.99,0.39,0.0000,0.0013, 23240,0.42,0.01,96,45,2292.93,1474.70,2596.63,3.11,77.74,0.09,2.21,7.24,67.07,0.02,25.67,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.69,0.12,69.86,0.00,100.00,0.00,0.00,0.00,0.00,72.58,52.47,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.49,1.00,0.10,0.0000,0.0022,  3440,19.71,80.29,0.00,0.00,0.00,51,1565.24,570.74,2596.63,5.48,137.12,1.21,30.14,
2024-02-13,23:54:47.506,0.19,2.04,0.09,1.12,0.28,21.19,0.99,0.22,0.0000,0.0021, 17400,0.73,0.66,97,48,9889.47,4837.48,2598.32,4.09,102.22,0.38,9.51,0.04,1.20,0.04,1.18,0.06,3.30,0.98,0.40,0.0000,0.0015, 23600,0.46,0.02,92,44,2195.15,1835.74,2598.32,2.39,59.79,0.08,2.11,8.35,70.69,0.06,20.91,0.00,100.00,0.00,0.00,0.00,0.00,2.98,32.49,0.24,64.29,0.00,100.00,0.00,0.00,0.00,0.00,73.82,53.70,4.55 ,4.41 ,0.03 ,0.20 ,3.00,3.00,0.58,2.63,0.22,1.12,0.01,3.24,1.00,0.10,0.0000,0.0022,  2480,19.67,80.33,0.00,0.00,0.00,51,1499.22,570.11,2598.32,5.26,131.49,1.15,28.85,
2024-02-13,23:54:48.505,0.20,2.51,0.08,1.12,0.08,25.20,1.00,0.19,0.0000,0.0024, 17560,0.58,0.56,99,48,10611.98,4219.76,2596.10,5.03,125.74,0.41,10.22,0.04,1.53,0.03,1.21,0.04,3.07,0.99,0.40,0.0000,0.0013, 23800,0.46,0.01,96,44,2293.38,1498.57,2596.10,3.06,76.52,0.09,2.21,7.29,66.54,0.01,26.16,0.00,100.00,0.00,0.00,0.00,0.00,2.38,28.20,0.16,69.26,0.00,100.00,0.00,0.00,0.00,0.00,73.24,52.68,4.48 ,4.39 ,0.00 ,0.10 ,3.00,3.00,0.63,2.88,0.22,1.12,0.01,3.92,1.00,0.10,0.0000,0.0024,  3880,19.76,80.24,0.00,0.00,0.00,50,1646.61,572.31,2596.10,5.75,143.86,1.27,31.71,
2024-02-13,23:54:49.506,0.20,2.55,0.08,1.12,0.07,25.59,1.00,0.19,0.0000,0.0024, 17600,0.56,0.54,99,47,10628.93,4165.91,2598.38,5.10,127.57,0.41,10.23,0.04,1.57,0.03,1.22,0.01,2.91,1.00,0.40,0.0000,0.0013, 23640,0.43,0.01,97,43,2299.91,1464.20,2598.38,3.14,78.54,0.09,2.21,7.19,66.22,0.01,26.58,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.42,0.14,70.13,0.00,100.00,0.00,0.00,0.00,0.00,73.40,52.48,4.47 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.63,2.88,0.22,1.12,0.01,3.98,1.00,0.10,0.0000,0.0024,  4320,19.73,80.27,0.00,0.00,0.00,51,1644.52,571.71,2598.38,5.75,143.82,1.27,31.65,
