Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11448654,2700222,1884190,97590696,8308384,0,402374
1,10772006,123662,4523890,10286612,0,27706,166250
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11464502,2912714,1861006,101464398,8347094,42,412650
1,10774316,124950,4784752,10098774,0,27888,165788
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11402538,2936374,1894312,102290300,8332842,0,417354
1,10662904,125272,4749766,10187856,0,27748,165830
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11481036,2979214,1782382,102828012,8365868,0,420434
1,10675994,125944,4561872,10164784,0,27846,165620
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
